ursus_americanus ENSUAMG00000014925
ailuropoda_melanoleuca ENSAMEG00000018692
neovison_vison ENSNVIG00000005309
panthera_pardus ENSPPRG00000014858
panthera_tigris_altaica ENSPTIG00000016107
felis_catus ENSFCAG00000007397
bos_taurus ENSBTAG00000047402
bos_mutus ENSBMUG00000019883
bison_bison_bison ENSBBBG00000008426
capra_hircus ENSCHIG00000012133
ovis_aries ENSOARG00000001902
tursiops_truncatus ENSTTRG00000003643
sus_scrofa ENSSSCG00000010387
equus_asinus_asinus ENSEASG00005019411
equus_caballus ENSECAG00000024059
pteropus_vampyrus ENSPVAG00000006468
erinaceus_europaeus ENSEEUG00000001633
sorex_araneus ENSSARG00000003851
peromyscus_maniculatus_bairdii ENSPEMG00000011875
microtus_ochrogaster ENSMOCG00000008529
cricetulus_griseus_chok1gshd ENSCGRG00001007947
cricetulus_griseus_crigri ENSCGRG00000014697
cricetulus_griseus_crigri-picr ENSCGRG00015020173
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019983
mus_musculus ENSMUSG00000078127
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019097
mus_pahari MGP_PahariEiJ_G0030115
rattus_norvegicus ENSRNOG00000020077
meriones_unguiculatus ENSMUGG00000026910
nannospalax_galili ENSNGAG00000015460
castor_canadensis ENSCCNG00000029391
urocitellus_parryii ENSUPAG00010003631
marmota_marmota_marmota ENSMMMG00000019156
ictidomys_tridecemlineatus ENSSTOG00000010499
dipodomys_ordii ENSDORG00000012428
oryctolagus_cuniculus ENSOCUG00000017286
pan_troglodytes ENSPTRG00000052097
homo_sapiens ENSG00000172538
pongo_abelii ENSPPYG00000002845
nomascus_leucogenys ENSNLEG00000015797
macaca_nemestrina ENSMNEG00000029499
macaca_fascicularis ENSMFAG00000003550
mandrillus_leucophaeus ENSMLEG00000029482
papio_anubis ENSPANG00000022621
theropithecus_gelada ENSTGEG00000012683
chlorocebus_sabaeus ENSCSAG00000010405
cercocebus_atys ENSCATG00000039165
piliocolobus_tephrosceles ENSPTEG00000021415
colobus_angolensis_palliatus ENSCANG00000033158
rhinopithecus_roxellana ENSRROG00000003889
rhinopithecus_bieti ENSRBIG00000037702
callithrix_jacchus ENSCJAG00000013498
saimiri_boliviensis_boliviensis ENSSBOG00000025184
cebus_capucinus ENSCCAG00000027371
aotus_nancymaae ENSANAG00000003291
carlito_syrichta ENSTSYG00000012434
prolemur_simus ENSPSMG00000002407
microcebus_murinus ENSMICG00000030825
otolemur_garnettii ENSOGAG00000001564
echinops_telfairi ENSETEG00000010738
procavia_capensis ENSPCAG00000005239
dasypus_novemcinctus ENSDNOG00000030961
chinchilla_lanigera ENSCLAG00000000265
fukomys_damarensis ENSFDAG00000019203
phascolarctos_cinereus ENSPCIG00000007881
monodelphis_domestica ENSMODG00000029333
sarcophilus_harrisii ENSSHAG00000018711
loxodonta_africana ENSLAFG00000029062
loxodonta_africana ENSLAFG00000025875
equus_caballus ENSECAG00000032855
sarcophilus_harrisii ENSSHAG00000008481
monodelphis_domestica ENSMODG00000008975
phascolarctos_cinereus ENSPCIG00000030465
monodelphis_domestica ENSMODG00000028292
sarcophilus_harrisii ENSSHAG00000009208
loxodonta_africana ENSLAFG00000031685
ornithorhynchus_anatinus ENSOANG00000021059
ornithorhynchus_anatinus ENSOANG00000011805
chrysemys_picta_bellii ENSCPBG00000017280
chrysemys_picta_bellii ENSCPBG00000001936
chrysemys_picta_bellii ENSCPBG00000013327
chrysemys_picta_bellii ENSCPBG00000011572
