ornithorhynchus_anatinus ENSOANG00000004550
chelonoidis_abingdonii ENSCABG00000019583
xenopus_tropicalis ENSXETG00000025462
latimeria_chalumnae ENSLACG00000004938
periophthalmus_magnuspinnatus ENSPMGG00000004501
hippocampus_comes ENSHCOG00000002263
scophthalmus_maximus ENSSMAG00000006455
cynoglossus_semilaevis ENSCSEG00000018397
seriola_dumerili ENSSDUG00000015279
seriola_lalandi_dorsalis ENSSLDG00000001543
mastacembelus_armatus ENSMAMG00000008866
monopterus_albus ENSMALG00000011970
anabas_testudineus ENSATEG00000023509
amphiprion_ocellaris ENSAOCG00000022710
amphiprion_percula ENSAPEG00000005504
acanthochromis_polyacanthus ENSAPOG00000018322
stegastes_partitus ENSSPAG00000004407
maylandia_zebra ENSMZEG00005027128
pundamilia_nyererei ENSPNYG00000015297
haplochromis_burtoni ENSHBUG00000006877
astatotilapia_calliptera ENSACLG00000008705
oreochromis_niloticus ENSONIG00000012366
amphilophus_citrinellus ENSACIG00000014248
cyprinodon_variegatus ENSCVAG00000009492
fundulus_heteroclitus ENSFHEG00000021434
xiphophorus_maculatus ENSXMAG00000008297
xiphophorus_couchianus ENSXCOG00000007645
gambusia_affinis ENSGAFG00000007108
poecilia_formosa ENSPFOG00000004985
poecilia_latipinna ENSPLAG00000013972
poecilia_mexicana ENSPMEG00000005162
poecilia_reticulata ENSPREG00000015942
kryptolebias_marmoratus ENSKMAG00000020005
oryzias_latipes ENSORLG00020004702
oryzias_latipes_asm223469v1 ENSORLG00015021103
oryzias_latipes ENSORLG00000008610
oryzias_melastigma ENSOMEG00000014372
takifugu_rubripes ENSTRUG00000020688
tetraodon_nigroviridis ENSTNIG00000015017
mola_mola ENSMMOG00000011590
gasterosteus_aculeatus ENSGACG00000009911
labrus_bergylta ENSLBEG00000008039
gadus_morhua ENSGMOG00000011058
esox_lucius ENSELUG00000019681
esox_lucius ENSELUG00000019695
pygocentrus_nattereri ENSPNAG00000005742
astyanax_mexicanus ENSAMXG00000037715
ictalurus_punctatus ENSIPUG00000014660
danio_rerio ENSDARG00000037554
paramormyrops_kingsleyae ENSPKIG00000007479
scleropages_formosus ENSSFOG00015010605
lepisosteus_oculatus ENSLOCG00000014322
