seriola_dumerili ENSSDUG00000014360
mastacembelus_armatus ENSMAMG00000017037
monopterus_albus ENSMALG00000015478
anabas_testudineus ENSATEG00000017648
seriola_lalandi_dorsalis ENSSLDG00000022819
xiphophorus_couchianus ENSXCOG00000020741
xiphophorus_maculatus ENSXMAG00000008638
gambusia_affinis ENSGAFG00000018314
poecilia_mexicana ENSPMEG00000000239
poecilia_formosa ENSPFOG00000014955
poecilia_latipinna ENSPLAG00000018896
poecilia_reticulata ENSPREG00000015562
fundulus_heteroclitus ENSFHEG00000013634
oryzias_latipes ENSORLG00000020581
oryzias_latipes_asm223469v1 ENSORLG00015013774
maylandia_zebra ENSMZEG00005010079
haplochromis_burtoni ENSHBUG00000009915
astatotilapia_calliptera ENSACLG00000016072
pundamilia_nyererei ENSPNYG00000014307
neolamprologus_brichardi ENSNBRG00000008808
oreochromis_niloticus ENSONIG00000001460
amphilophus_citrinellus ENSACIG00000004597
amphiprion_percula ENSAPEG00000012672
amphiprion_ocellaris ENSAOCG00000023705
acanthochromis_polyacanthus ENSAPOG00000021349
stegastes_partitus ENSSPAG00000010477
labrus_bergylta ENSLBEG00000020028
tetraodon_nigroviridis ENSTNIG00000002936
periophthalmus_magnuspinnatus ENSPMGG00000004729
