amphiprion_ocellaris ENSAOCG00000019630
amphiprion_percula ENSAPEG00000011712
acanthochromis_polyacanthus ENSAPOG00000004869
stegastes_partitus ENSSPAG00000006191
xiphophorus_maculatus ENSXMAG00000022540
xiphophorus_couchianus ENSXCOG00000016033
poecilia_formosa ENSPFOG00000014956
poecilia_latipinna ENSPLAG00000009577
poecilia_mexicana ENSPMEG00000009745
poecilia_reticulata ENSPREG00000018180
gambusia_affinis ENSGAFG00000010590
fundulus_heteroclitus ENSFHEG00000010853
tetraodon_nigroviridis ENSTNIG00000003693
tetraodon_nigroviridis ENSTNIG00000006264
takifugu_rubripes ENSTRUG00000003441
periophthalmus_magnuspinnatus ENSPMGG00000017732
cyprinodon_variegatus ENSCVAG00000016572
mastacembelus_armatus ENSMAMG00000006221
gasterosteus_aculeatus ENSGACG00000007796
seriola_dumerili ENSSDUG00000018902
seriola_lalandi ENSSLDG00000019105
scophthalmus_maximus ENSSMAG00000006396
anabas_testudineus ENSATEG00000006994
monopterus_albus ENSMALG00000012546
hippocampus_comes ENSHCOG00000004373
maylandia_zebra ENSMZEG00005007522
pundamilia_nyererei ENSPNYG00000018539
astatotilapia_calliptera ENSACLG00000010386
haplochromis_burtoni ENSHBUG00000013687
neolamprologus_brichardi ENSNBRG00000003971
oreochromis_niloticus ENSONIG00000008498
amphilophus_citrinellus ENSACIG00000009170
cynoglossus_semilaevis ENSCSEG00000019090
mola_mola ENSMMOG00000001804
oryzias_latipes ENSORLG00000023475
oryzias_latipes ENSORLG00020000186
oryzias_latipes ENSORLG00015019536
oryzias_melastigma ENSOMEG00000005152
kryptolebias_marmoratus ENSKMAG00000015662
gadus_morhua ENSGMOG00000002356
esox_lucius ENSELUG00000011473
latimeria_chalumnae ENSLACG00000010797
scleropages_formosus ENSSFOG00015000480
paramormyrops_kingsleyae ENSPKIG00000017026
lepisosteus_oculatus ENSLOCG00000004800
xenopus_tropicalis ENSXETG00000009893
pygocentrus_nattereri ENSPNAG00000022775
astyanax_mexicanus ENSAMXG00000035415
ictalurus_punctatus ENSIPUG00000017219
danio_rerio ENSDARG00000037867
nothoprocta_perdicaria ENSNPEG00000000153
apteryx_owenii ENSAOWG00000016561
serinus_canaria ENSSCAG00000008947
chelonoidis_abingdonii ENSCABG00000019873
pogona_vitticeps ENSPVIG00000001905
notechis_scutatus ENSNSUG00000014116
salvator_merianae ENSSMRG00000020116
dromaius_novaehollandiae ENSDNVG00000008795
melopsittacus_undulatus ENSMUNG00000005374
latimeria_chalumnae ENSLACG00000018480
petromyzon_marinus ENSPMAG00000004902
