homo_sapiens ENSG00000198551
gorilla_gorilla ENSGGOG00000017138
pan_paniscus ENSPPAG00000027854
pan_troglodytes ENSPTRG00000017634
pongo_abelii ENSPPYG00000009586
cercocebus_atys ENSCATG00000026117
mandrillus_leucophaeus ENSMLEG00000028455
papio_anubis ENSPANG00000001633
macaca_fascicularis ENSMFAG00000022939
macaca_mulatta ENSMMUG00000001715
chlorocebus_sabaeus ENSCSAG00000006719
colobus_angolensis_palliatus ENSCANG00000029403
rhinopithecus_roxellana ENSRROG00000037364
saimiri_boliviensis_boliviensis ENSSBOG00000031561
callithrix_jacchus ENSCJAG00000038005
aotus_nancymaae ENSANAG00000035521
carlito_syrichta ENSTSYG00000008621
prolemur_simus ENSPSMG00000020138
mus_spicilegus ENSMSIG00000024500
mus_musculus ENSMUSG00000074472
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033024
mus_pahari MGP_PahariEiJ_G0014767
rattus_norvegicus ENSRNOG00000050600
peromyscus_maniculatus_bairdii ENSPEMG00000021752
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032232
mus_musculus ENSMUSG00000092544
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031114
mus_pahari MGP_PahariEiJ_G0021579
bos_mutus ENSBMUG00000026048
