sphenodon_punctatus ENSSPUG00000008552
notechis_scutatus ENSNSUG00000010417
numida_meleagris ENSNMEG00000018749
gallus_gallus ENSGALG00000032679
anas_platyrhynchos_platyrhynchos ENSAPLG00000021043
calidris_pugnax ENSCPUG00000008640
calidris_pygmaea ENSCPGG00000017265
zonotrichia_albicollis ENSZALG00000013378
junco_hyemalis ENSJHYG00000003592
lonchura_striata_domestica ENSLSDG00000015953
parus_major ENSPMJG00000013998
lepidothrix_coronata ENSLCOG00000014640
ficedula_albicollis ENSFALG00000006829
phascolarctos_cinereus ENSPCIG00000010994
phascolarctos_cinereus ENSPCIG00000030854
sarcophilus_harrisii ENSSHAG00000005529
panthera_tigris_altaica ENSPTIG00000021028
panthera_pardus ENSPPRG00000020343
panthera_pardus ENSPPRG00000020759
ursus_maritimus ENSUMAG00000015056
ursus_americanus ENSUAMG00000001447
dasypus_novemcinctus ENSDNOG00000017870
panthera_pardus ENSPPRG00000021649
felis_catus ENSFCAG00000036288
panthera_tigris_altaica ENSPTIG00000018825
panthera_tigris_altaica ENSPTIG00000018330
felis_catus ENSFCAG00000032804
panthera_pardus ENSPPRG00000000619
ursus_maritimus ENSUMAG00000014681
canis_lupus_dingo ENSCAFG00020014757
sorex_araneus ENSSARG00000005463
sus_scrofa ENSSSCG00000039913
sus_scrofa ENSSSCG00000033362
panthera_tigris_altaica ENSPTIG00000021137
panthera_pardus ENSPPRG00000001236
felis_catus ENSFCAG00000039257
chlorocebus_sabaeus ENSCSAG00000016172
mandrillus_leucophaeus ENSMLEG00000035675
macaca_mulatta ENSMMUG00000032597
papio_anubis ENSPANG00000004973
cercocebus_atys ENSCATG00000024227
piliocolobus_tephrosceles ENSPTEG00000013255
callithrix_jacchus ENSCJAG00000016654
pan_troglodytes ENSPTRG00000051719
carlito_syrichta ENSTSYG00000029056
pan_troglodytes ENSPTRG00000050175
pan_paniscus ENSPPAG00000040381
gorilla_gorilla ENSGGOG00000043964
macaca_fascicularis ENSMFAG00000038749
macaca_nemestrina ENSMNEG00000034175
cercocebus_atys ENSCATG00000037944
theropithecus_gelada ENSTGEG00000016790
papio_anubis ENSPANG00000032665
macaca_mulatta ENSMMUG00000031120
carlito_syrichta ENSTSYG00000031129
pan_paniscus ENSPPAG00000023885
pan_paniscus ENSPPAG00000037500
pan_paniscus ENSPPAG00000010276
pan_troglodytes ENSPTRG00000008386
gorilla_gorilla ENSGGOG00000000232
homo_sapiens ENSG00000140905
pongo_abelii ENSPPYG00000007585
nomascus_leucogenys ENSNLEG00000035315
pan_troglodytes ENSPTRG00000039515
pan_paniscus ENSPPAG00000028850
gorilla_gorilla ENSGGOG00000024734
nomascus_leucogenys ENSNLEG00000018709
colobus_angolensis_palliatus ENSCANG00000037350
rhinopithecus_bieti ENSRBIG00000034492
rhinopithecus_bieti ENSRBIG00000000931
rhinopithecus_roxellana ENSRROG00000015325
piliocolobus_tephrosceles ENSPTEG00000027172
piliocolobus_tephrosceles ENSPTEG00000009647
piliocolobus_tephrosceles ENSPTEG00000017581
rhinopithecus_roxellana ENSRROG00000038669
piliocolobus_tephrosceles ENSPTEG00000007846
rhinopithecus_bieti ENSRBIG00000013923
macaca_fascicularis ENSMFAG00000041821
macaca_nemestrina ENSMNEG00000043130
macaca_mulatta ENSMMUG00000040124
macaca_mulatta ENSMMUG00000028763
macaca_nemestrina ENSMNEG00000032644
macaca_fascicularis ENSMFAG00000018080
theropithecus_gelada ENSTGEG00000004562
papio_anubis ENSPANG00000001043
theropithecus_gelada ENSTGEG00000000917
papio_anubis ENSPANG00000002642
theropithecus_gelada ENSTGEG00000016303
theropithecus_gelada ENSTGEG00000000946
cercocebus_atys ENSCATG00000019964
chlorocebus_sabaeus ENSCSAG00000003563
aotus_nancymaae ENSANAG00000024391
saimiri_boliviensis_boliviensis ENSSBOG00000022449
cebus_capucinus ENSCCAG00000031393
cebus_capucinus ENSCCAG00000030951
saimiri_boliviensis_boliviensis ENSSBOG00000032165
saimiri_boliviensis_boliviensis ENSSBOG00000027382
callithrix_jacchus ENSCJAG00000041309
cebus_capucinus ENSCCAG00000036017
aotus_nancymaae ENSANAG00000034008
pan_paniscus ENSPPAG00000014722
otolemur_garnettii ENSOGAG00000025497
otolemur_garnettii ENSOGAG00000034114
oryctolagus_cuniculus ENSOCUG00000011557
sus_scrofa ENSSSCG00000032616
sus_scrofa ENSSSCG00000002625
sus_scrofa ENSSSCG00000040203
sus_scrofa ENSSSCG00000030133
sus_scrofa ENSSSCG00000039643
sus_scrofa ENSSSCG00000030414
tursiops_truncatus ENSTTRG00000007992
ailuropoda_melanoleuca ENSAMEG00000013959
