dipodomys_ordii ENSDORG00000007155
castor_canadensis ENSCCNG00000019255
jaculus_jaculus ENSJJAG00000013232
jaculus_jaculus ENSJJAG00000017206
mus_musculus ENSMUSG00000033985
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027313
mus_spicilegus ENSMSIG00000013275
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026341
mus_pahari MGP_PahariEiJ_G0028673
rattus_norvegicus ENSRNOG00000017282
meriones_unguiculatus ENSMUGG00000023280
peromyscus_maniculatus_bairdii ENSPEMG00000022010
microtus_ochrogaster ENSMOCG00000018224
cricetulus_griseus_crigri ENSCGRG00000009428
cricetulus_griseus_crigri-picr ENSCGRG00015024998
cricetulus_griseus_chok1gshd ENSCGRG00001024966
mesocricetus_auratus ENSMAUG00000007721
heterocephalus_glaber_male ENSHGLG00100006190
heterocephalus_glaber_female ENSHGLG00000007484
fukomys_damarensis ENSFDAG00000012925
chinchilla_lanigera ENSCLAG00000007745
octodon_degus ENSODEG00000010131
cavia_porcellus ENSCPOG00000012459
cavia_aperea ENSCAPG00000006191
marmota_marmota_marmota ENSMMMG00000019301
marmota_marmota_marmota ENSMMMG00000019297
urocitellus_parryii ENSUPAG00010020788
ictidomys_tridecemlineatus ENSSTOG00000010678
spermophilus_dauricus ENSSDAG00000023545
oryctolagus_cuniculus ENSOCUG00000007464
ochotona_princeps ENSOPRG00000004089
propithecus_coquereli ENSPCOG00000015589
microcebus_murinus ENSMICG00000029805
prolemur_simus ENSPSMG00000003123
otolemur_garnettii ENSOGAG00000002300
pan_troglodytes ENSPTRG00000000673
pan_paniscus ENSPPAG00000030720
homo_sapiens ENSG00000070759
gorilla_gorilla ENSGGOG00000003296
pongo_abelii ENSPPYG00000001413
nomascus_leucogenys ENSNLEG00000014415
macaca_nemestrina ENSMNEG00000020300
macaca_mulatta ENSMMUG00000020083
macaca_fascicularis ENSMFAG00000042816
cercocebus_atys ENSCATG00000044501
papio_anubis ENSPANG00000006622
theropithecus_gelada ENSTGEG00000028582
mandrillus_leucophaeus ENSMLEG00000015035
chlorocebus_sabaeus ENSCSAG00000001214
piliocolobus_tephrosceles ENSPTEG00000036626
colobus_angolensis_palliatus ENSCANG00000040900
rhinopithecus_bieti ENSRBIG00000038409
rhinopithecus_roxellana ENSRROG00000030783
cebus_capucinus ENSCCAG00000036555
saimiri_boliviensis_boliviensis ENSSBOG00000035301
callithrix_jacchus ENSCJAG00000004755
aotus_nancymaae ENSANAG00000036579
tupaia_belangeri ENSTBEG00000017664
carlito_syrichta ENSTSYG00000032399
ursus_americanus ENSUAMG00000017722
ursus_maritimus ENSUMAG00000024251
ailuropoda_melanoleuca ENSAMEG00000013602
neovison_vison ENSNVIG00000018999
mustela_putorius_furo ENSMPUG00000013083
canis_lupus_familiaris ENSCAFG00000004592
canis_lupus_dingo ENSCAFG00020016714
vulpes_vulpes ENSVVUG00000007462
panthera_pardus ENSPPRG00000013926
panthera_tigris_altaica ENSPTIG00000006486
felis_catus ENSFCAG00000027941
equus_caballus ENSECAG00000017621
equus_asinus_asinus ENSEASG00005004214
pteropus_vampyrus ENSPVAG00000014999
myotis_lucifugus ENSMLUG00000005655
bos_taurus ENSBTAG00000011244
bos_mutus ENSBMUG00000017319
bison_bison_bison ENSBBBG00000016294
ovis_aries ENSOARG00000001642
capra_hircus ENSCHIG00000024948
tursiops_truncatus ENSTTRG00000008835
vicugna_pacos ENSVPAG00000011733
sus_scrofa ENSSSCG00000003917
erinaceus_europaeus ENSEEUG00000015427
sorex_araneus ENSSARG00000009073
choloepus_hoffmanni ENSCHOG00000004276
dasypus_novemcinctus ENSDNOG00000015602
loxodonta_africana ENSLAFG00000017377
procavia_capensis ENSPCAG00000013402
echinops_telfairi ENSETEG00000013369
phascolarctos_cinereus ENSPCIG00000027568
notamacropus_eugenii ENSMEUG00000005651
sarcophilus_harrisii ENSSHAG00000009338
monodelphis_domestica ENSMODG00000002412
ornithorhynchus_anatinus ENSOANG00000011796
latimeria_chalumnae ENSLACG00000022540
pygocentrus_nattereri ENSPNAG00000021906
astyanax_mexicanus ENSAMXG00000032510
ictalurus_punctatus ENSIPUG00000002727
danio_rerio ENSDARG00000061450
esox_lucius ENSELUG00000012284
hippocampus_comes ENSHCOG00000013248
periophthalmus_magnuspinnatus ENSPMGG00000007467
acanthochromis_polyacanthus ENSAPOG00000013460
gasterosteus_aculeatus ENSGACG00000017719
cynoglossus_semilaevis ENSCSEG00000021315
labrus_bergylta ENSLBEG00000004269
mola_mola ENSMMOG00000020555
poecilia_formosa ENSPFOG00000012556
poecilia_mexicana ENSPMEG00000017949
poecilia_latipinna ENSPLAG00000005568
poecilia_reticulata ENSPREG00000000903
xiphophorus_maculatus ENSXMAG00000005610
xiphophorus_couchianus ENSXCOG00000019463
gambusia_affinis ENSGAFG00000021012
fundulus_heteroclitus ENSFHEG00000004426
cyprinodon_variegatus ENSCVAG00000006468
kryptolebias_marmoratus ENSKMAG00000017550
oryzias_latipes_asm223469v1 ENSORLG00015010382
oryzias_latipes ENSORLG00020006586
oryzias_latipes ENSORLG00000002769
oryzias_melastigma ENSOMEG00000019847
maylandia_zebra ENSMZEG00005024143
astatotilapia_calliptera ENSACLG00000004697
haplochromis_burtoni ENSHBUG00000007669
