peromyscus_maniculatus_bairdii ENSPEMG00000012441
microtus_ochrogaster ENSMOCG00000009292
cricetulus_griseus_crigri ENSCGRG00000007737
cricetulus_griseus_chok1gshd ENSCGRG00001016191
cricetulus_griseus_crigri ENSCGRG00000005162
cricetulus_griseus_chok1gshd ENSCGRG00001001907
cricetulus_griseus_crigri-picr ENSCGRG00015014221
cricetulus_griseus_crigri-picr ENSCGRG00015028190
cricetulus_griseus_crigri ENSCGRG00000015014
cricetulus_griseus_chok1gshd ENSCGRG00001022264
mesocricetus_auratus ENSMAUG00000016343
mus_musculus ENSMUSG00000042682
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019045
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019930
mus_spicilegus ENSMSIG00000028379
mus_pahari MGP_PahariEiJ_G0030062
rattus_norvegicus ENSRNOG00000014624
meriones_unguiculatus ENSMUGG00000026832
nannospalax_galili ENSNGAG00000004541
jaculus_jaculus ENSJJAG00000020617
castor_canadensis ENSCCNG00000025530
octodon_degus ENSODEG00000009603
octodon_degus ENSODEG00000018680
heterocephalus_glaber_female ENSHGLG00000001937
heterocephalus_glaber_male ENSHGLG00100015231
heterocephalus_glaber_female ENSHGLG00000019794
heterocephalus_glaber_male ENSHGLG00100021084
heterocephalus_glaber_female ENSHGLG00000021096
fukomys_damarensis ENSFDAG00000016171
cavia_porcellus ENSCPOG00000033922
chinchilla_lanigera ENSCLAG00000009685
chinchilla_lanigera ENSCLAG00000011566
cavia_porcellus ENSCPOG00000033096
octodon_degus ENSODEG00000001400
theropithecus_gelada ENSTGEG00000006246
papio_anubis ENSPANG00000031661
mandrillus_leucophaeus ENSMLEG00000040953
rhinopithecus_bieti ENSRBIG00000042139
rhinopithecus_roxellana ENSRROG00000031507
pteropus_vampyrus ENSPVAG00000016291
prolemur_simus ENSPSMG00000023270
propithecus_coquereli ENSPCOG00000016121
microcebus_murinus ENSMICG00000044279
prolemur_simus ENSPSMG00000003784
prolemur_simus ENSPSMG00000010987
microcebus_murinus ENSMICG00000036396
gorilla_gorilla ENSGGOG00000042190
gorilla_gorilla ENSGGOG00000024659
cebus_capucinus ENSCCAG00000019710
callithrix_jacchus ENSCJAG00000045589
carlito_syrichta ENSTSYG00000035111
rhinopithecus_bieti ENSRBIG00000042324
rhinopithecus_roxellana ENSRROG00000037961
piliocolobus_tephrosceles ENSPTEG00000019136
macaca_nemestrina ENSMNEG00000032419
mandrillus_leucophaeus ENSMLEG00000037423
mandrillus_leucophaeus ENSMLEG00000027950
chlorocebus_sabaeus ENSCSAG00000019455
macaca_fascicularis ENSMFAG00000033137
cercocebus_atys ENSCATG00000032481
papio_anubis ENSPANG00000029655
theropithecus_gelada ENSTGEG00000028847
pan_troglodytes ENSPTRG00000015030
pan_paniscus ENSPPAG00000001347
homo_sapiens ENSG00000113811
gorilla_gorilla ENSGGOG00000000681
pongo_abelii ENSPPYG00000025894
nomascus_leucogenys ENSNLEG00000033268
colobus_angolensis_palliatus ENSCANG00000040840
pongo_abelii ENSPPYG00000009920
pan_troglodytes ENSPTRG00000048285
colobus_angolensis_palliatus ENSCANG00000035783
callithrix_jacchus ENSCJAG00000007612
callithrix_jacchus ENSCJAG00000044568
cebus_capucinus ENSCCAG00000032835
saimiri_boliviensis_boliviensis ENSSBOG00000024603
callithrix_jacchus ENSCJAG00000040254
saimiri_boliviensis_boliviensis ENSSBOG00000017680
aotus_nancymaae ENSANAG00000028603
cebus_capucinus ENSCCAG00000019961
aotus_nancymaae ENSANAG00000023231
macaca_mulatta ENSMMUG00000045155
macaca_nemestrina ENSMNEG00000030680
theropithecus_gelada ENSTGEG00000000658
mandrillus_leucophaeus ENSMLEG00000030043
papio_anubis ENSPANG00000033371
macaca_mulatta ENSMMUG00000043394
aotus_nancymaae ENSANAG00000035106
ochotona_princeps ENSOPRG00000002266
ictidomys_tridecemlineatus ENSSTOG00000000506
marmota_marmota_marmota ENSMMMG00000010738
spermophilus_dauricus ENSSDAG00000022904
urocitellus_parryii ENSUPAG00010013446
