melopsittacus_undulatus ENSMUNG00000001287
ovis_aries ENSOARG00000016576
lepidothrix_coronata ENSLCOG00000010142
calidris_pygmaea ENSCPGG00000010129
coturnix_japonica ENSCJPG00005000989
pogona_vitticeps ENSPVIG00000004844
ornithorhynchus_anatinus ENSOANG00000002051
latimeria_chalumnae ENSLACG00000015234
gallus_gallus ENSGALG00000035650
serinus_canaria ENSSCAG00000015033
apteryx_haastii ENSAHAG00000004927
apteryx_rowi ENSARWG00000012438
dromaius_novaehollandiae ENSDNVG00000012168
junco_hyemalis ENSJHYG00000013438
parus_major ENSPMJG00000016771
lonchura_striata_domestica ENSLSDG00000000139
lepidothrix_coronata ENSLCOG00000013279
calidris_pygmaea ENSCPGG00000009471
coturnix_japonica ENSCJPG00005004773
anser_brachyrhynchus ENSABRG00000008955
chelonoidis_abingdonii ENSCABG00000008484
salvator_merianae ENSSMRG00000022783
notechis_scutatus ENSNSUG00000009683
cricetulus_griseus_chok1gshd ENSCGRG00001013497
cricetulus_griseus_crigri-picr ENSCGRG00015027153
mesocricetus_auratus ENSMAUG00000013123
microtus_ochrogaster ENSMOCG00000000592
peromyscus_maniculatus_bairdii ENSPEMG00000016893
mus_musculus ENSMUSG00000029112
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028110
mus_spicilegus ENSMSIG00000020362
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027114
mus_pahari MGP_PahariEiJ_G0016898
rattus_norvegicus ENSRNOG00000005113
nannospalax_galili ENSNGAG00000013945
jaculus_jaculus ENSJJAG00000017578
heterocephalus_glaber_female ENSHGLG00000007046
heterocephalus_glaber_male ENSHGLG00100016255
chinchilla_lanigera ENSCLAG00000007213
cavia_porcellus ENSCPOG00000039976
meriones_unguiculatus ENSMUGG00000017562
castor_canadensis ENSCCNG00000012155
urocitellus_parryii ENSUPAG00010023067
ictidomys_tridecemlineatus ENSSTOG00000031320
prolemur_simus ENSPSMG00000002273
microcebus_murinus ENSMICG00000042887
propithecus_coquereli ENSPCOG00000012600
otolemur_garnettii ENSOGAG00000034822
theropithecus_gelada ENSTGEG00000020490
papio_anubis ENSPANG00000035702
cercocebus_atys ENSCATG00000042002
macaca_fascicularis ENSMFAG00000002277
macaca_nemestrina ENSMNEG00000036214
chlorocebus_sabaeus ENSCSAG00000015596
rhinopithecus_roxellana ENSRROG00000042105
rhinopithecus_bieti ENSRBIG00000019748
piliocolobus_tephrosceles ENSPTEG00000021707
pan_troglodytes ENSPTRG00000041220
homo_sapiens ENSG00000235608
callithrix_jacchus ENSCJAG00000009458
cebus_capucinus ENSCCAG00000034329
aotus_nancymaae ENSANAG00000034667
canis_lupus_familiaris ENSCAFG00000031073
canis_lupus_dingo ENSCAFG00020012312
neovison_vison ENSNVIG00000022402
felis_catus ENSFCAG00000043543
equus_asinus_asinus ENSEASG00005022706
equus_caballus ENSECAG00000031807
capra_hircus ENSCHIG00000025512
bos_taurus ENSBTAG00000048789
sus_scrofa ENSSSCG00000038573
loxodonta_africana ENSLAFG00000025171
dasypus_novemcinctus ENSDNOG00000036594
phascolarctos_cinereus ENSPCIG00000013564
monopterus_albus ENSMALG00000022706
mastacembelus_armatus ENSMAMG00000001720
seriola_dumerili ENSSDUG00000001348
seriola_lalandi_dorsalis ENSSLDG00000008242
anabas_testudineus ENSATEG00000015901
labrus_bergylta ENSLBEG00000023999
takifugu_rubripes ENSTRUG00000009389
tetraodon_nigroviridis ENSTNIG00000006345
mola_mola ENSMMOG00000017499
gasterosteus_aculeatus ENSGACG00000019218
cynoglossus_semilaevis ENSCSEG00000020405
hippocampus_comes ENSHCOG00000003426
fundulus_heteroclitus ENSFHEG00000007216
cyprinodon_variegatus ENSCVAG00000019900
xiphophorus_couchianus ENSXCOG00000010168
xiphophorus_maculatus ENSXMAG00000017541
gambusia_affinis ENSGAFG00000019616
poecilia_mexicana ENSPMEG00000022783
poecilia_latipinna ENSPLAG00000023492
poecilia_latipinna ENSPLAG00000023460
poecilia_formosa ENSPFOG00000010222
poecilia_reticulata ENSPREG00000022340
oryzias_latipes_asm223469v1 ENSORLG00015012380
oryzias_latipes ENSORLG00000026203
oryzias_latipes ENSORLG00020017731
oryzias_melastigma ENSOMEG00000020258
kryptolebias_marmoratus ENSKMAG00000007712
amphiprion_percula ENSAPEG00000003459
acanthochromis_polyacanthus ENSAPOG00000020258
stegastes_partitus ENSSPAG00000012507
maylandia_zebra ENSMZEG00005017625
astatotilapia_calliptera ENSACLG00000004216
haplochromis_burtoni ENSHBUG00000005452
neolamprologus_brichardi ENSNBRG00000013800
pundamilia_nyererei ENSPNYG00000012402
oreochromis_niloticus ENSONIG00000011596
amphilophus_citrinellus ENSACIG00000021436
periophthalmus_magnuspinnatus ENSPMGG00000016282
gadus_morhua ENSGMOG00000010722
pygocentrus_nattereri ENSPNAG00000003538
astyanax_mexicanus ENSAMXG00000031090
danio_rerio ENSDARG00000099427
ictalurus_punctatus ENSIPUG00000016832
esox_lucius ENSELUG00000012912
paramormyrops_kingsleyae ENSPKIG00000006255
lepisosteus_oculatus ENSLOCG00000010999
latimeria_chalumnae ENSLACG00000004504
xenopus_tropicalis ENSXETG00000003881
eptatretus_burgeri ENSEBUG00000001944
