caenorhabditis_elegans_strain_n2 WBGene00020273
drosophila_melanogaster FBgn0038968
anolis_carolinensis ENSACAG00000002817
pogona_vitticeps ENSPVIG00000011769
notechis_scutatus ENSNSUG00000017208
salvator_merianae ENSSMRG00000023064
sphenodon_punctatus ENSSPUG00000012447
apteryx_owenii ENSAOWG00000008971
apteryx_haastii ENSAHAG00000019193
apteryx_rowi ENSARWG00000013889
dromaius_novaehollandiae ENSDNVG00000008681
nothoprocta_perdicaria ENSNPEG00000009181
gallus_gallus ENSGALG00000015887
coturnix_japonica ENSCJPG00005005198
meleagris_gallopavo ENSMGAG00000014512
numida_meleagris ENSNMEG00000010736
anas_platyrhynchos_platyrhynchos ENSAPLG00000012791
anser_brachyrhynchus ENSABRG00000014818
manacus_vitellinus ENSMVIG00005001541
lepidothrix_coronata ENSLCOG00000010896
taeniopygia_guttata ENSTGUG00000013442
lonchura_striata_domestica ENSLSDG00000004054
serinus_canaria ENSSCAG00000008889
parus_major ENSPMJG00000002918
cyanistes_caeruleus ENSCCEG00000004472
junco_hyemalis ENSJHYG00000015617
zonotrichia_albicollis ENSZALG00000009590
ficedula_albicollis ENSFALG00000004636
melopsittacus_undulatus ENSMUNG00000005798
calidris_pugnax ENSCPUG00000012648
calidris_pygmaea ENSCPGG00000015901
crocodylus_porosus ENSCPRG00005014101
chelonoidis_abingdonii ENSCABG00000019194
gopherus_agassizii ENSGAGG00000022544
chrysemys_picta_bellii ENSCPBG00000006454
pelodiscus_sinensis ENSPSIG00000013889
ornithorhynchus_anatinus ENSOANG00000015227
ornithorhynchus_anatinus ENSOANG00000028298
phascolarctos_cinereus ENSPCIG00000016350
notamacropus_eugenii ENSMEUG00000010828
sarcophilus_harrisii ENSSHAG00000005140
monodelphis_domestica ENSMODG00000021076
homo_sapiens ENSG00000142207
gorilla_gorilla ENSGGOG00000000285
pan_troglodytes ENSPTRG00000013852
pan_paniscus ENSPPAG00000003423
pongo_abelii ENSPPYG00000011359
nomascus_leucogenys ENSNLEG00000026872
colobus_angolensis_palliatus ENSCANG00000031088
piliocolobus_tephrosceles ENSPTEG00000012708
rhinopithecus_roxellana ENSRROG00000040237
rhinopithecus_bieti ENSRBIG00000033122
macaca_fascicularis ENSMFAG00000034391
macaca_nemestrina ENSMNEG00000032981
macaca_mulatta ENSMMUG00000010295
cercocebus_atys ENSCATG00000042630
theropithecus_gelada ENSTGEG00000027370
papio_anubis ENSPANG00000021964
mandrillus_leucophaeus ENSMLEG00000041435
chlorocebus_sabaeus ENSCSAG00000009584
cebus_capucinus ENSCCAG00000021299
saimiri_boliviensis_boliviensis ENSSBOG00000027672
callithrix_jacchus ENSCJAG00000009118
aotus_nancymaae ENSANAG00000024617
carlito_syrichta ENSTSYG00000013286
prolemur_simus ENSPSMG00000009456
microcebus_murinus ENSMICG00000016424
propithecus_coquereli ENSPCOG00000022695
otolemur_garnettii ENSOGAG00000017140
tupaia_belangeri ENSTBEG00000010044
castor_canadensis ENSCCNG00000029115
dipodomys_ordii ENSDORG00000006735
mus_musculus ENSMUSG00000039929
mus_spicilegus ENSMSIG00000017152
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021854
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020948
mus_pahari MGP_PahariEiJ_G0016653
rattus_norvegicus ENSRNOG00000002080
meriones_unguiculatus ENSMUGG00000012460
cricetulus_griseus_chok1gshd ENSCGRG00001010616
cricetulus_griseus_crigri-picr ENSCGRG00015013033
cricetulus_griseus_crigri ENSCGRG00000015840
mesocricetus_auratus ENSMAUG00000010516
microtus_ochrogaster ENSMOCG00000012613
peromyscus_maniculatus_bairdii ENSPEMG00000021205
nannospalax_galili ENSNGAG00000001905
chinchilla_lanigera ENSCLAG00000005262
octodon_degus ENSODEG00000002587
cavia_porcellus ENSCPOG00000006748
cavia_aperea ENSCAPG00000015589
heterocephalus_glaber_female ENSHGLG00000004907
heterocephalus_glaber_male ENSHGLG00100010749
fukomys_damarensis ENSFDAG00000007288
urocitellus_parryii ENSUPAG00010001432
ictidomys_tridecemlineatus ENSSTOG00000004539
spermophilus_dauricus ENSSDAG00000009271
marmota_marmota_marmota ENSMMMG00000000218
oryctolagus_cuniculus ENSOCUG00000009381
ochotona_princeps ENSOPRG00000013482
