nothoprocta_perdicaria ENSNPEG00000002150
serinus_canaria ENSSCAG00000016636
ornithorhynchus_anatinus ENSOANG00000007794
crocodylus_porosus ENSCPRG00005003183
pelodiscus_sinensis ENSPSIG00000011169
taeniopygia_guttata ENSTGUG00000014966
anolis_carolinensis ENSACAG00000015608
chinchilla_lanigera ENSCLAG00000013094
cavia_porcellus ENSCPOG00000024190
octodon_degus ENSODEG00000004462
heterocephalus_glaber_male ENSHGLG00100012432
heterocephalus_glaber_female ENSHGLG00000014254
oryctolagus_cuniculus ENSOCUG00000000918
prolemur_simus ENSPSMG00000016978
microcebus_murinus ENSMICG00000045444
propithecus_coquereli ENSPCOG00000015947
rhinopithecus_bieti ENSRBIG00000014554
rhinopithecus_roxellana ENSRROG00000034639
piliocolobus_tephrosceles ENSPTEG00000032669
macaca_fascicularis ENSMFAG00000030775
macaca_nemestrina ENSMNEG00000041964
chlorocebus_sabaeus ENSCSAG00000009715
papio_anubis ENSPANG00000000216
theropithecus_gelada ENSTGEG00000011945
cercocebus_atys ENSCATG00000039358
pan_troglodytes ENSPTRG00000017522
pan_paniscus ENSPPAG00000035866
homo_sapiens ENSG00000164438
pongo_abelii ENSPPYG00000016036
nomascus_leucogenys ENSNLEG00000000302
callithrix_jacchus ENSCJAG00000038714
saimiri_boliviensis_boliviensis ENSSBOG00000034367
cebus_capucinus ENSCCAG00000022971
aotus_nancymaae ENSANAG00000029429
otolemur_garnettii ENSOGAG00000029862
urocitellus_parryii ENSUPAG00010022175
ictidomys_tridecemlineatus ENSSTOG00000026927
tupaia_belangeri ENSTBEG00000008223
marmota_marmota_marmota ENSMMMG00000010459
myotis_lucifugus ENSMLUG00000016783
dasypus_novemcinctus ENSDNOG00000011151
ochotona_princeps ENSOPRG00000015355
capra_hircus ENSCHIG00000009023
ovis_aries ENSOARG00000003533
bos_taurus ENSBTAG00000010003
bos_mutus ENSBMUG00000011396
bison_bison_bison ENSBBBG00000011939
tursiops_truncatus ENSTTRG00000008369
sus_scrofa ENSSSCG00000016999
mustela_putorius_furo ENSMPUG00000012862
neovison_vison ENSNVIG00000022330
canis_lupus_dingo ENSCAFG00020008709
canis_lupus_familiaris ENSCAFG00000016919
vulpes_vulpes ENSVVUG00000002648
ursus_americanus ENSUAMG00000020246
ailuropoda_melanoleuca ENSAMEG00000003951
felis_catus ENSFCAG00000035960
panthera_pardus ENSPPRG00000015978
equus_asinus_asinus ENSEASG00005011900
equus_caballus ENSECAG00000007840
pteropus_vampyrus ENSPVAG00000002210
echinops_telfairi ENSETEG00000010355
gorilla_gorilla ENSGGOG00000023662
mus_musculus ENSMUSG00000040610
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017034
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016193
mus_spicilegus ENSMSIG00000023425
mus_pahari MGP_PahariEiJ_G0017329
rattus_norvegicus ENSRNOG00000004976
meriones_unguiculatus ENSMUGG00000008867
cricetulus_griseus_crigri-picr ENSCGRG00015021134
cricetulus_griseus_chok1gshd ENSCGRG00001015510
mesocricetus_auratus ENSMAUG00000000195
peromyscus_maniculatus_bairdii ENSPEMG00000009002
microtus_ochrogaster ENSMOCG00000013764
nannospalax_galili ENSNGAG00000011712
jaculus_jaculus ENSJJAG00000010676
castor_canadensis ENSCCNG00000006596
loxodonta_africana ENSLAFG00000022612
procavia_capensis ENSPCAG00000004561
phascolarctos_cinereus ENSPCIG00000013618
notamacropus_eugenii ENSMEUG00000009488
sarcophilus_harrisii ENSSHAG00000007060
monodelphis_domestica ENSMODG00000006508
mandrillus_leucophaeus ENSMLEG00000041555
colobus_angolensis_palliatus ENSCANG00000017367
fukomys_damarensis ENSFDAG00000000360
numida_meleagris ENSNMEG00000013908
chelonoidis_abingdonii ENSCABG00000006293
gopherus_agassizii ENSGAGG00000016700
