pygocentrus_nattereri ENSPNAG00000009206
astyanax_mexicanus ENSAMXG00000038903
ictalurus_punctatus ENSIPUG00000023342
danio_rerio ENSDARG00000039497
tetraodon_nigroviridis ENSTNIG00000013403
tetraodon_nigroviridis ENSTNIG00000003483
takifugu_rubripes ENSTRUG00000002280
mola_mola ENSMMOG00000007543
gasterosteus_aculeatus ENSGACG00000013451
anabas_testudineus ENSATEG00000008323
cynoglossus_semilaevis ENSCSEG00000001869
monopterus_albus ENSMALG00000010457
mastacembelus_armatus ENSMAMG00000010040
scophthalmus_maximus ENSSMAG00000016305
amphiprion_ocellaris ENSAOCG00000007375
amphiprion_percula ENSAPEG00000008004
acanthochromis_polyacanthus ENSAPOG00000009178
stegastes_partitus ENSSPAG00000008527
haplochromis_burtoni ENSHBUG00000009764
astatotilapia_calliptera ENSACLG00000013709
maylandia_zebra ENSMZEG00005018804
neolamprologus_brichardi ENSNBRG00000020881
pundamilia_nyererei ENSPNYG00000002483
oreochromis_niloticus ENSONIG00000006736
amphilophus_citrinellus ENSACIG00000010591
poecilia_mexicana ENSPMEG00000007254
poecilia_formosa ENSPFOG00000002842
poecilia_latipinna ENSPLAG00000010114
poecilia_reticulata ENSPREG00000020631
gambusia_affinis ENSGAFG00000001062
xiphophorus_maculatus ENSXMAG00000005658
xiphophorus_couchianus ENSXCOG00000013829
fundulus_heteroclitus ENSFHEG00000014093
labrus_bergylta ENSLBEG00000026604
hippocampus_comes ENSHCOG00000007631
periophthalmus_magnuspinnatus ENSPMGG00000001455
gadus_morhua ENSGMOG00000004249
esox_lucius ENSELUG00000011910
paramormyrops_kingsleyae ENSPKIG00000003135
scleropages_formosus ENSSFOG00015012043
scleropages_formosus ENSSFOG00015002585
paramormyrops_kingsleyae ENSPKIG00000006178
pundamilia_nyererei ENSPNYG00000004385
neolamprologus_brichardi ENSNBRG00000021328
amphilophus_citrinellus ENSACIG00000017638
poecilia_mexicana ENSPMEG00000018982
poecilia_mexicana ENSPMEG00000011940
poecilia_latipinna ENSPLAG00000005668
gambusia_affinis ENSGAFG00000012997
fundulus_heteroclitus ENSFHEG00000000413
stegastes_partitus ENSSPAG00000017984
hippocampus_comes ENSHCOG00000016340
mola_mola ENSMMOG00000007518
poecilia_formosa ENSPFOG00000007370
poecilia_formosa ENSPFOG00000022088
poecilia_latipinna ENSPLAG00000020667
poecilia_reticulata ENSPREG00000000487
xiphophorus_maculatus ENSXMAG00000023108
cyprinodon_variegatus ENSCVAG00000019310
kryptolebias_marmoratus ENSKMAG00000021327
oryzias_latipes_asm223469v1 ENSORLG00015022825
oryzias_latipes ENSORLG00000026164
oryzias_latipes ENSORLG00020022143
oryzias_melastigma ENSOMEG00000000850
maylandia_zebra ENSMZEG00005009305
astatotilapia_calliptera ENSACLG00000017668
haplochromis_burtoni ENSHBUG00000020542
oreochromis_niloticus ENSONIG00000018856
amphiprion_ocellaris ENSAOCG00000015956
amphiprion_percula ENSAPEG00000019787
acanthochromis_polyacanthus ENSAPOG00000015989
mastacembelus_armatus ENSMAMG00000009311
anabas_testudineus ENSATEG00000021288
seriola_dumerili ENSSDUG00000021080
seriola_lalandi_dorsalis ENSSLDG00000009906
scophthalmus_maximus ENSSMAG00000006997
takifugu_rubripes ENSTRUG00000013723
tetraodon_nigroviridis ENSTNIG00000012075
labrus_bergylta ENSLBEG00000010619
periophthalmus_magnuspinnatus ENSPMGG00000007331
monopterus_albus ENSMALG00000003452
cynoglossus_semilaevis ENSCSEG00000010466
gasterosteus_aculeatus ENSGACG00000019217
esox_lucius ENSELUG00000003411
danio_rerio ENSDARG00000005343
lepisosteus_oculatus ENSLOCG00000016142
anolis_carolinensis ENSACAG00000003992
pogona_vitticeps ENSPVIG00000005779
notechis_scutatus ENSNSUG00000015658
salvator_merianae ENSSMRG00000014750
sphenodon_punctatus ENSSPUG00000011688
gopherus_agassizii ENSGAGG00000022478
chelonoidis_abingdonii ENSCABG00000004284
chrysemys_picta_bellii ENSCPBG00000001025
pelodiscus_sinensis ENSPSIG00000013466
crocodylus_porosus ENSCPRG00005013778
anser_brachyrhynchus ENSABRG00000020918
anas_platyrhynchos_platyrhynchos ENSAPLG00000001419
calidris_pygmaea ENSCPGG00000015835
calidris_pugnax ENSCPUG00000018016
parus_major ENSPMJG00000014428
cyanistes_caeruleus ENSCCEG00000010688
taeniopygia_guttata ENSTGUG00000006863
lonchura_striata_domestica ENSLSDG00000008746
serinus_canaria ENSSCAG00000014069
ficedula_albicollis ENSFALG00000011197
junco_hyemalis ENSJHYG00000005643
zonotrichia_albicollis ENSZALG00000009633
manacus_vitellinus ENSMVIG00005007961
lepidothrix_coronata ENSLCOG00000012532
melopsittacus_undulatus ENSMUNG00000003617
coturnix_japonica ENSCJPG00005016565
meleagris_gallopavo ENSMGAG00000001924
gallus_gallus ENSGALG00000043080
numida_meleagris ENSNMEG00000010379
dromaius_novaehollandiae ENSDNVG00000017484
nothoprocta_perdicaria ENSNPEG00000005698
phascolarctos_cinereus ENSPCIG00000010231
notamacropus_eugenii ENSMEUG00000005206
monodelphis_domestica ENSMODG00000002041
sarcophilus_harrisii ENSSHAG00000009530
pteropus_vampyrus ENSPVAG00000007200
myotis_lucifugus ENSMLUG00000007767
capra_hircus ENSCHIG00000016770
ovis_aries ENSOARG00000001966
bos_taurus ENSBTAG00000012394
bos_mutus ENSBMUG00000015870
tursiops_truncatus ENSTTRG00000013668
sus_scrofa ENSSSCG00000008396
ailuropoda_melanoleuca ENSAMEG00000003685
ursus_americanus ENSUAMG00000015598
neovison_vison ENSNVIG00000003792
mustela_putorius_furo ENSMPUG00000002340
canis_lupus_familiaris ENSCAFG00000002927
canis_lupus_dingo ENSCAFG00020026847
vulpes_vulpes ENSVVUG00000010112
panthera_pardus ENSPPRG00000000770
panthera_tigris_altaica ENSPTIG00000010582
felis_catus ENSFCAG00000000794
sorex_araneus ENSSARG00000003915
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016994
mus_spicilegus ENSMSIG00000016517
mus_musculus ENSMUSG00000032878
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016151
mus_pahari MGP_PahariEiJ_G0016739
rattus_norvegicus ENSRNOG00000003374
meriones_unguiculatus ENSMUGG00000024761
cricetulus_griseus_chok1gshd ENSCGRG00001018553
cricetulus_griseus_crigri-picr ENSCGRG00015027444
cricetulus_griseus_crigri ENSCGRG00000017107
mesocricetus_auratus ENSMAUG00000020899
peromyscus_maniculatus_bairdii ENSPEMG00000013322
microtus_ochrogaster ENSMOCG00000006710
nannospalax_galili ENSNGAG00000018927
jaculus_jaculus ENSJJAG00000020531
heterocephalus_glaber_male ENSHGLG00100012446
