chrysemys_picta_bellii ENSCPBG00000009926
gopherus_agassizii ENSGAGG00000020713
junco_hyemalis ENSJHYG00000010439
zonotrichia_albicollis ENSZALG00000002605
lonchura_striata_domestica ENSLSDG00000002455
calidris_pygmaea ENSCPGG00000005387
gallus_gallus ENSGALG00000053937
pogona_vitticeps ENSPVIG00000000654
notechis_scutatus ENSNSUG00000003553
heterocephalus_glaber_female ENSHGLG00000002192
octodon_degus ENSODEG00000006944
cavia_porcellus ENSCPOG00000013937
chinchilla_lanigera ENSCLAG00000011235
marmota_marmota_marmota ENSMMMG00000006417
urocitellus_parryii ENSUPAG00010001161
ictidomys_tridecemlineatus ENSSTOG00000026540
cricetulus_griseus_chok1gshd ENSCGRG00001024873
cricetulus_griseus_crigri-picr ENSCGRG00015011802
mesocricetus_auratus ENSMAUG00000003017
microtus_ochrogaster ENSMOCG00000008493
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018607
mus_spicilegus ENSMSIG00000018291
mus_musculus ENSMUSG00000045440
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017762
mus_pahari MGP_PahariEiJ_G0029518
rattus_norvegicus ENSRNOG00000007754
meriones_unguiculatus ENSMUGG00000003167
nannospalax_galili ENSNGAG00000000506
jaculus_jaculus ENSJJAG00000003814
castor_canadensis ENSCCNG00000013947
oryctolagus_cuniculus ENSOCUG00000006804
homo_sapiens ENSG00000168348
gorilla_gorilla ENSGGOG00000041074
pan_troglodytes ENSPTRG00000006267
pan_paniscus ENSPPAG00000013978
pongo_abelii ENSPPYG00000005745
nomascus_leucogenys ENSNLEG00000003723
theropithecus_gelada ENSTGEG00000002829
papio_anubis ENSPANG00000021247
cercocebus_atys ENSCATG00000021263
mandrillus_leucophaeus ENSMLEG00000038100
macaca_mulatta ENSMMUG00000016483
macaca_fascicularis ENSMFAG00000009696
chlorocebus_sabaeus ENSCSAG00000019401
piliocolobus_tephrosceles ENSPTEG00000009819
rhinopithecus_bieti ENSRBIG00000037192
callithrix_jacchus ENSCJAG00000006816
saimiri_boliviensis_boliviensis ENSSBOG00000020749
prolemur_simus ENSPSMG00000019283
otolemur_garnettii ENSOGAG00000024855
bos_taurus ENSBTAG00000027013
bison_bison_bison ENSBBBG00000001523
capra_hircus ENSCHIG00000019716
ovis_aries ENSOARG00000017535
tursiops_truncatus ENSTTRG00000007971
sus_scrofa ENSSSCG00000001949
vicugna_pacos ENSVPAG00000010440
ailuropoda_melanoleuca ENSAMEG00000019215
ursus_americanus ENSUAMG00000006503
mustela_putorius_furo ENSMPUG00000019565
neovison_vison ENSNVIG00000002180
canis_lupus_dingo ENSCAFG00020023381
canis_lupus_familiaris ENSCAFG00000013428
vulpes_vulpes ENSVVUG00000020010
felis_catus ENSFCAG00000025118
panthera_pardus ENSPPRG00000018323
equus_asinus_asinus ENSEASG00005002073
equus_caballus ENSECAG00000034097
pteropus_vampyrus ENSPVAG00000003511
myotis_lucifugus ENSMLUG00000026985
loxodonta_africana ENSLAFG00000008242
procavia_capensis ENSPCAG00000004250
echinops_telfairi ENSETEG00000019088
dasypus_novemcinctus ENSDNOG00000007824
erinaceus_europaeus ENSEEUG00000015087
phascolarctos_cinereus ENSPCIG00000017418
sarcophilus_harrisii ENSSHAG00000008600
xenopus_tropicalis ENSXETG00000002917
ictalurus_punctatus ENSIPUG00000012507
pygocentrus_nattereri ENSPNAG00000007256
tetraodon_nigroviridis ENSTNIG00000000248
cynoglossus_semilaevis ENSCSEG00000000082
monopterus_albus ENSMALG00000021692
mola_mola ENSMMOG00000004655
xiphophorus_maculatus ENSXMAG00000013820
gambusia_affinis ENSGAFG00000019632
poecilia_latipinna ENSPLAG00000022202
poecilia_formosa ENSPFOG00000013884
poecilia_mexicana ENSPMEG00000011388
fundulus_heteroclitus ENSFHEG00000021043
cyprinodon_variegatus ENSCVAG00000002938
kryptolebias_marmoratus ENSKMAG00000008248
mastacembelus_armatus ENSMAMG00000013231
labrus_bergylta ENSLBEG00000021963
amphiprion_ocellaris ENSAOCG00000012374
amphiprion_percula ENSAPEG00000002055
acanthochromis_polyacanthus ENSAPOG00000008900
stegastes_partitus ENSSPAG00000000980
astatotilapia_calliptera ENSACLG00000024923
maylandia_zebra ENSMZEG00005008124
pundamilia_nyererei ENSPNYG00000022741
haplochromis_burtoni ENSHBUG00000016523
neolamprologus_brichardi ENSNBRG00000009967
amphilophus_citrinellus ENSACIG00000014566
oryzias_latipes ENSORLG00020016414
oryzias_latipes ENSORLG00000021928
oryzias_latipes_asm223469v1 ENSORLG00015012891
oryzias_melastigma ENSOMEG00000011237
takifugu_rubripes ENSTRUG00000021982
seriola_dumerili ENSSDUG00000017692
seriola_lalandi_dorsalis ENSSLDG00000023543
anabas_testudineus ENSATEG00000010035
periophthalmus_magnuspinnatus ENSPMGG00000008732
gasterosteus_aculeatus ENSGACG00000012511
hippocampus_comes ENSHCOG00000012981
gadus_morhua ENSGMOG00000017384
paramormyrops_kingsleyae ENSPKIG00000022780
scleropages_formosus ENSSFOG00015004284
esox_lucius ENSELUG00000005778
danio_rerio ENSDARG00000020655
scleropages_formosus ENSSFOG00015012029
paramormyrops_kingsleyae ENSPKIG00000009894
latimeria_chalumnae ENSLACG00000017606
scleropages_formosus ENSSFOG00015005714
paramormyrops_kingsleyae ENSPKIG00000004793
astyanax_mexicanus ENSAMXG00000025182
latimeria_chalumnae ENSLACG00000012262
eptatretus_burgeri ENSEBUG00000002094
