anas_platyrhynchos ENSAPLG00000011550
anser_brachyrhynchus ENSABRG00000017151
coturnix_japonica ENSCJPG00005012767
meleagris_gallopavo ENSMGAG00000008902
gallus_gallus ENSGALG00000021572
numida_meleagris ENSNMEG00000016273
calidris_pygmaea ENSCPGG00000009985
calidris_pugnax ENSCPUG00000019911
melopsittacus_undulatus ENSMUNG00000013953
taeniopygia_guttata ENSTGUG00000006453
lonchura_striata ENSLSDG00000014889
serinus_canaria ENSSCAG00000009240
parus_major ENSPMJG00000019665
cyanistes_caeruleus ENSCCEG00000010342
ficedula_albicollis ENSFALG00000006225
junco_hyemalis ENSJHYG00000006140
zonotrichia_albicollis ENSZALG00000014361
lepidothrix_coronata ENSLCOG00000008004
manacus_vitellinus ENSMVIG00005013240
apteryx_owenii ENSAOWG00000008011
apteryx_haastii ENSAHAG00000006006
apteryx_rowi ENSARWG00000013855
dromaius_novaehollandiae ENSDNVG00000001449
nothoprocta_perdicaria ENSNPEG00000010883
crocodylus_porosus ENSCPRG00005014132
gopherus_agassizii ENSGAGG00000011542
chelonoidis_abingdonii ENSCABG00000009959
chrysemys_picta ENSCPBG00000020085
anolis_carolinensis ENSACAG00000012066
pogona_vitticeps ENSPVIG00000018426
salvator_merianae ENSSMRG00000008138
sphenodon_punctatus ENSSPUG00000004546
vombatus_ursinus ENSVURG00010009367
phascolarctos_cinereus ENSPCIG00000035803
notamacropus_eugenii ENSMEUG00000001684
monodelphis_domestica ENSMODG00000009679
ursus_americanus ENSUAMG00000022289
ursus_maritimus ENSUMAG00000010617
ailuropoda_melanoleuca ENSAMEG00000004063
canis_lupus ENSCAFG00020011357
canis_lupus ENSCAFG00000018965
vulpes_vulpes ENSVVUG00000021111
mustela_putorius ENSMPUG00000013890
neovison_vison ENSNVIG00000015493
panthera_pardus ENSPPRG00000024245
panthera_tigris ENSPTIG00000009150
felis_catus ENSFCAG00000002761
equus_caballus ENSECAG00000015172
equus_asinus ENSEASG00005009704
bos_indicus ENSBIXG00000029030
bos_indicus ENSBIXG00005005710
bos_taurus ENSBTAG00000011011
bison_bison ENSBBBG00000020311
bos_mutus ENSBMUG00000009028
ovis_aries ENSOARG00000008802
capra_hircus ENSCHIG00000014965
tursiops_truncatus ENSTTRG00000016336
vicugna_pacos ENSVPAG00000010208
pteropus_vampyrus ENSPVAG00000009279
myotis_lucifugus ENSMLUG00000003080
sus_scrofa ENSSSCG00000017791
erinaceus_europaeus ENSEEUG00000004624
sorex_araneus ENSSARG00000004477
cricetulus_griseus ENSCGRG00015017196
cricetulus_griseus ENSCGRG00000013160
cricetulus_griseus ENSCGRG00001017782
mesocricetus_auratus ENSMAUG00000020745
peromyscus_maniculatus ENSPEMG00000021409
mus_musculus ENSMUSG00000037926
mus_spretus MGP_SPRETEiJ_G0017614
mus_caroli MGP_CAROLIEiJ_G0016771
mus_spicilegus ENSMSIG00000025588
mus_pahari MGP_PahariEiJ_G0017908
rattus_norvegicus ENSRNOG00000014285
meriones_unguiculatus ENSMUGG00000005028
nannospalax_galili ENSNGAG00000015423
jaculus_jaculus ENSJJAG00000019804
heterocephalus_glaber ENSHGLG00000014658
heterocephalus_glaber ENSHGLG00100018515
fukomys_damarensis ENSFDAG00000012148
chinchilla_lanigera ENSCLAG00000004951
octodon_degus ENSODEG00000009157
cavia_porcellus ENSCPOG00000005726
cavia_aperea ENSCAPG00000006323
marmota_marmota ENSMMMG00000002835
ictidomys_tridecemlineatus ENSSTOG00000023134
spermophilus_dauricus ENSSDAG00000000398
urocitellus_parryii ENSUPAG00010018854
castor_canadensis ENSCCNG00000028648
oryctolagus_cuniculus ENSOCUG00000016601
ochotona_princeps ENSOPRG00000007813
microtus_ochrogaster ENSMOCG00000006899
dipodomys_ordii ENSDORG00000029058
tupaia_belangeri ENSTBEG00000016153
papio_anubis ENSPANG00000023181
theropithecus_gelada ENSTGEG00000011299
mandrillus_leucophaeus ENSMLEG00000039566
macaca_fascicularis ENSMFAG00000033235
macaca_nemestrina ENSMNEG00000038174
macaca_mulatta ENSMMUG00000014413
cercocebus_atys ENSCATG00000032138
chlorocebus_sabaeus ENSCSAG00000006917
colobus_angolensis ENSCANG00000030482
piliocolobus_tephrosceles ENSPTEG00000033480
rhinopithecus_bieti ENSRBIG00000036544
rhinopithecus_roxellana ENSRROG00000016442
pongo_abelii ENSPPYG00000008128
pan_paniscus ENSPPAG00000033517
pan_troglodytes ENSPTRG00000008955
homo_sapiens ENSG00000141298
gorilla_gorilla ENSGGOG00000000583
nomascus_leucogenys ENSNLEG00000003553
cebus_capucinus ENSCCAG00000002036
saimiri_boliviensis ENSSBOG00000020442
callithrix_jacchus ENSCJAG00000013673
aotus_nancymaae ENSANAG00000035004
carlito_syrichta ENSTSYG00000000987
microcebus_murinus ENSMICG00000005441
prolemur_simus ENSPSMG00000025372
propithecus_coquereli ENSPCOG00000015875
otolemur_garnettii ENSOGAG00000000807
loxodonta_africana ENSLAFG00000004996
procavia_capensis ENSPCAG00000006812
echinops_telfairi ENSETEG00000005275
dasypus_novemcinctus ENSDNOG00000006035
choloepus_hoffmanni ENSCHOG00000002308
ornithorhynchus_anatinus ENSOANG00000012654
xenopus_tropicalis ENSXETG00000018128
latimeria_chalumnae ENSLACG00000016006
callorhinchus_milii ENSCMIG00000013196
gouania_willdenowi ENSGWIG00000016676
mola_mola ENSMMOG00000005379
periophthalmus_magnuspinnatus ENSPMGG00000013888
gadus_morhua ENSGMOG00000018094
esox_lucius ENSELUG00000000177
hucho_hucho ENSHHUG00000033995
hucho_hucho ENSHHUG00000023941
hucho_hucho ENSHHUG00000012689
gasterosteus_aculeatus ENSGACG00000020517
tetraodon_nigroviridis ENSTNIG00000016162
mola_mola ENSMMOG00000010900
takifugu_rubripes ENSTRUG00000020830
cottoperca_gobio ENSCGOG00000006537
cynoglossus_semilaevis ENSCSEG00000018059
anabas_testudineus ENSATEG00000006802
betta_splendens ENSBSLG00000003718
lates_calcarifer ENSLCAG00010024229
scophthalmus_maximus ENSSMAG00000019854
seriola_lalandi ENSSLDG00000014647
seriola_dumerili ENSSDUG00000016627
amphiprion_ocellaris ENSAOCG00000011779
amphiprion_percula ENSAPEG00000018864
acanthochromis_polyacanthus ENSAPOG00000018999
stegastes_partitus ENSSPAG00000002663
parambassis_ranga ENSPRNG00000013030
astatotilapia_calliptera ENSACLG00000005511
maylandia_zebra ENSMZEG00005024742
pundamilia_nyererei ENSPNYG00000024139
haplochromis_burtoni ENSHBUG00000021499
neolamprologus_brichardi ENSNBRG00000009350
oreochromis_niloticus ENSONIG00000005567
amphilophus_citrinellus ENSACIG00000014035
fundulus_heteroclitus ENSFHEG00000004508
cyprinodon_variegatus ENSCVAG00000012944
poecilia_mexicana ENSPMEG00000013279
poecilia_formosa ENSPFOG00000011564
poecilia_latipinna ENSPLAG00000000087
poecilia_reticulata ENSPREG00000009872
xiphophorus_maculatus ENSXMAG00000023256
xiphophorus_couchianus ENSXCOG00000009828
gambusia_affinis ENSGAFG00000000672
kryptolebias_marmoratus ENSKMAG00000019427
oryzias_latipes ENSORLG00000026573
oryzias_latipes ENSORLG00020016028
oryzias_latipes ENSORLG00015020772
oryzias_melastigma ENSOMEG00000010477
larimichthys_crocea ENSLCRG00005001419
labrus_bergylta ENSLBEG00000027733
monopterus_albus ENSMALG00000018352
mastacembelus_armatus ENSMAMG00000020187
gouania_willdenowi ENSGWIG00000004165
periophthalmus_magnuspinnatus ENSPMGG00000018300
gadus_morhua ENSGMOG00000007165
periophthalmus_magnuspinnatus ENSPMGG00000013891
lates_calcarifer ENSLCAG00010007064
esox_lucius ENSELUG00000017250
astyanax_mexicanus ENSAMXG00005017887
astyanax_mexicanus ENSAMXG00000019281
pygocentrus_nattereri ENSPNAG00000013611
electrophorus_electricus ENSEEEG00000019414
ictalurus_punctatus ENSIPUG00000019324
danio_rerio ENSDARG00000098955
clupea_harengus ENSCHAG00000018642
paramormyrops_kingsleyae ENSPKIG00000000109
scleropages_formosus ENSSFOG00015004382
denticeps_clupeoides ENSDCDG00000025407
clupea_harengus ENSCHAG00000011288
astyanax_mexicanus ENSAMXG00000037181
astyanax_mexicanus ENSAMXG00005006081
pygocentrus_nattereri ENSPNAG00000001294
ictalurus_punctatus ENSIPUG00000019630
electrophorus_electricus ENSEEEG00000022019
danio_rerio ENSDARG00000088440
hucho_hucho ENSHHUG00000041279
hucho_hucho ENSHHUG00000035015
poecilia_formosa ENSPFOG00000009443
poecilia_latipinna ENSPLAG00000013295
poecilia_mexicana ENSPMEG00000022972
poecilia_mexicana ENSPMEG00000000643
poecilia_latipinna ENSPLAG00000009667
poecilia_reticulata ENSPREG00000006482
xiphophorus_maculatus ENSXMAG00000012106
xiphophorus_couchianus ENSXCOG00000001851
gambusia_affinis ENSGAFG00000014108
cyprinodon_variegatus ENSCVAG00000014650
fundulus_heteroclitus ENSFHEG00000001083
kryptolebias_marmoratus ENSKMAG00000019052
oryzias_latipes ENSORLG00015018036
oryzias_latipes ENSORLG00000013907
oryzias_latipes ENSORLG00020010071
oryzias_melastigma ENSOMEG00000008339
stegastes_partitus ENSSPAG00000017083
maylandia_zebra ENSMZEG00005006565
haplochromis_burtoni ENSHBUG00000003458
pundamilia_nyererei ENSPNYG00000002199
astatotilapia_calliptera ENSACLG00000009430
neolamprologus_brichardi ENSNBRG00000016084
oreochromis_niloticus ENSONIG00000007974
scophthalmus_maximus ENSSMAG00000000688
amphilophus_citrinellus ENSACIG00000015749
lates_calcarifer ENSLCAG00010007059
seriola_lalandi ENSSLDG00000020015
seriola_dumerili ENSSDUG00000011901
larimichthys_crocea ENSLCRG00005012964
anabas_testudineus ENSATEG00000022934
betta_splendens ENSBSLG00000014571
monopterus_albus ENSMALG00000018690
mastacembelus_armatus ENSMAMG00000002660
cottoperca_gobio ENSCGOG00000005131
labrus_bergylta ENSLBEG00000019175
amphiprion_ocellaris ENSAOCG00000014564
amphiprion_percula ENSAPEG00000023688
acanthochromis_polyacanthus ENSAPOG00000003291
parambassis_ranga ENSPRNG00000007681
hippocampus_comes ENSHCOG00000012577
paramormyrops_kingsleyae ENSPKIG00000008330
scleropages_formosus ENSSFOG00015005721
lepisosteus_oculatus ENSLOCG00000006621
erpetoichthys_calabaricus ENSECRG00000008971
petromyzon_marinus ENSPMAG00000004312
eptatretus_burgeri ENSEBUG00000010783
