mus_spicilegus ENSMSIG00000019240
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024991
mus_musculus ENSMUSG00000074955
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024076
mus_pahari MGP_PahariEiJ_G0025515
rattus_norvegicus ENSRNOG00000004993
meriones_unguiculatus ENSMUGG00000018704
cricetulus_griseus_crigri ENSCGRG00000019270
cricetulus_griseus_crigri-picr ENSCGRG00015007635
cricetulus_griseus_chok1gshd ENSCGRG00001001037
peromyscus_maniculatus_bairdii ENSPEMG00000025429
cavia_porcellus ENSCPOG00000034770
ictidomys_tridecemlineatus ENSSTOG00000021204
ictidomys_tridecemlineatus ENSSTOG00000033958
urocitellus_parryii ENSUPAG00010021066
spermophilus_dauricus ENSSDAG00000012439
oryctolagus_cuniculus ENSOCUG00000021129
ochotona_princeps ENSOPRG00000016391
theropithecus_gelada ENSTGEG00000013245
equus_caballus ENSECAG00000036856
ailuropoda_melanoleuca ENSAMEG00000005106
pteropus_vampyrus ENSPVAG00000017859
myotis_lucifugus ENSMLUG00000009525
bos_mutus ENSBMUG00000024357
bos_taurus ENSBTAG00000003549
capra_hircus ENSCHIG00000009407
ovis_aries ENSOARG00000019838
sus_scrofa ENSSSCG00000037357
sus_scrofa ENSSSCG00000036821
vicugna_pacos ENSVPAG00000002520
choloepus_hoffmanni ENSCHOG00000009557
loxodonta_africana ENSLAFG00000014567
procavia_capensis ENSPCAG00000004186
notamacropus_eugenii ENSMEUG00000007212
