junco_hyemalis ENSJHYG00000013022
serinus_canaria ENSSCAG00000016704
ficedula_albicollis ENSFALG00000000185
parus_major ENSPMJG00000011412
manacus_vitellinus ENSMVIG00005005283
lepidothrix_coronata ENSLCOG00000015463
coturnix_japonica ENSCJPG00005017223
dromaius_novaehollandiae ENSDNVG00000018904
crocodylus_porosus ENSCPRG00005008831
chrysemys_picta_bellii ENSCPBG00000000696
gopherus_agassizii ENSGAGG00000017058
pelodiscus_sinensis ENSPSIG00000007808
salvator_merianae ENSSMRG00000012208
anolis_carolinensis ENSACAG00000012321
loxodonta_africana ENSLAFG00000017563
echinops_telfairi ENSETEG00000019118
dasypus_novemcinctus ENSDNOG00000011872
ursus_americanus ENSUAMG00000003089
ursus_maritimus ENSUMAG00000023101
ailuropoda_melanoleuca ENSAMEG00000012067
neovison_vison ENSNVIG00000019963
mustela_putorius_furo ENSMPUG00000003931
canis_lupus_dingo ENSCAFG00020005746
canis_lupus_familiaris ENSCAFG00000018020
vulpes_vulpes ENSVVUG00000010414
panthera_pardus ENSPPRG00000001297
felis_catus ENSFCAG00000000758
pteropus_vampyrus ENSPVAG00000006825
equus_asinus_asinus ENSEASG00005012063
bos_mutus ENSBMUG00000020204
bos_taurus ENSBTAG00000014575
ovis_aries ENSOARG00000018187
tursiops_truncatus ENSTTRG00000010034
sus_scrofa ENSSSCG00000012572
erinaceus_europaeus ENSEEUG00000004389
peromyscus_maniculatus_bairdii ENSPEMG00000015542
microtus_ochrogaster ENSMOCG00000019855
cricetulus_griseus_crigri-picr ENSCGRG00015016481
cricetulus_griseus_chok1gshd ENSCGRG00001019399
cricetulus_griseus_crigri ENSCGRG00000000529
mesocricetus_auratus ENSMAUG00000011329
mus_musculus ENSMUSG00000031274
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034630
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033459
mus_pahari MGP_PahariEiJ_G0031999
rattus_norvegicus ENSRNOG00000018951
nannospalax_galili ENSNGAG00000021360
jaculus_jaculus ENSJJAG00000016139
dipodomys_ordii ENSDORG00000012606
ictidomys_tridecemlineatus ENSSTOG00000003885
urocitellus_parryii ENSUPAG00010012841
spermophilus_dauricus ENSSDAG00000001590
marmota_marmota_marmota ENSMMMG00000010989
chinchilla_lanigera ENSCLAG00000001358
cavia_porcellus ENSCPOG00000015081
fukomys_damarensis ENSFDAG00000017447
heterocephalus_glaber_female ENSHGLG00000014456
octodon_degus ENSODEG00000004194
oryctolagus_cuniculus ENSOCUG00000010874
oryctolagus_cuniculus ENSOCUG00000026239
pan_paniscus ENSPPAG00000035646
pan_troglodytes ENSPTRG00000022173
homo_sapiens ENSG00000188153
gorilla_gorilla ENSGGOG00000011049
pongo_abelii ENSPPYG00000020622
nomascus_leucogenys ENSNLEG00000014212
macaca_mulatta ENSMMUG00000007235
macaca_nemestrina ENSMNEG00000033014
macaca_fascicularis ENSMFAG00000031556
theropithecus_gelada ENSTGEG00000015829
papio_anubis ENSPANG00000025513
mandrillus_leucophaeus ENSMLEG00000040790
chlorocebus_sabaeus ENSCSAG00000008871
colobus_angolensis_palliatus ENSCANG00000034145
piliocolobus_tephrosceles ENSPTEG00000030277
cebus_capucinus ENSCCAG00000023236
saimiri_boliviensis_boliviensis ENSSBOG00000026723
callithrix_jacchus ENSCJAG00000007434
aotus_nancymaae ENSANAG00000034668
carlito_syrichta ENSTSYG00000036258
propithecus_coquereli ENSPCOG00000022634
microcebus_murinus ENSMICG00000002088
prolemur_simus ENSPSMG00000008550
otolemur_garnettii ENSOGAG00000015475
phascolarctos_cinereus ENSPCIG00000026732
monodelphis_domestica ENSMODG00000011584
ornithorhynchus_anatinus ENSOANG00000001275
sphenodon_punctatus ENSSPUG00000000939
xenopus_tropicalis ENSXETG00000001565
tetraodon_nigroviridis ENSTNIG00000005505
gasterosteus_aculeatus ENSGACG00000018775
scophthalmus_maximus ENSSMAG00000001581
cynoglossus_semilaevis ENSCSEG00000000760
seriola_lalandi_dorsalis ENSSLDG00000003682
amphiprion_ocellaris ENSAOCG00000000396
poecilia_reticulata ENSPREG00000006199
xiphophorus_maculatus ENSXMAG00000014667
esox_lucius ENSELUG00000013002
scleropages_formosus ENSSFOG00015010174
lepisosteus_oculatus ENSLOCG00000014368
