tetraodon_nigroviridis ENSTNIG00000007496
takifugu_rubripes ENSTRUG00000018427
periophthalmus_magnuspinnatus ENSPMGG00000004856
cynoglossus_semilaevis ENSCSEG00000014943
monopterus_albus ENSMALG00000022370
monopterus_albus ENSMALG00000005846
poecilia_latipinna ENSPLAG00000012443
poecilia_latipinna ENSPLAG00000003259
oryzias_latipes_asm223469v1 ENSORLG00015016756
hippocampus_comes ENSHCOG00000001698
poecilia_mexicana ENSPMEG00000018530
poecilia_mexicana ENSPMEG00000003315
poecilia_formosa ENSPFOG00000015429
poecilia_reticulata ENSPREG00000021807
xiphophorus_couchianus ENSXCOG00000000948
xiphophorus_maculatus ENSXMAG00000005937
gambusia_affinis ENSGAFG00000013784
cyprinodon_variegatus ENSCVAG00000001284
fundulus_heteroclitus ENSFHEG00000002092
kryptolebias_marmoratus ENSKMAG00000009353
oryzias_latipes ENSORLG00020009794
oryzias_latipes ENSORLG00000030378
oryzias_melastigma ENSOMEG00000012370
amphiprion_percula ENSAPEG00000022896
scophthalmus_maximus ENSSMAG00000010332
gasterosteus_aculeatus ENSGACG00000015938
amphiprion_ocellaris ENSAOCG00000009566
acanthochromis_polyacanthus ENSAPOG00000020689
stegastes_partitus ENSSPAG00000008615
astatotilapia_calliptera ENSACLG00000027744
maylandia_zebra ENSMZEG00005003601
haplochromis_burtoni ENSHBUG00000009179
pundamilia_nyererei ENSPNYG00000003136
neolamprologus_brichardi ENSNBRG00000000091
neolamprologus_brichardi ENSNBRG00000008151
oreochromis_niloticus ENSONIG00000011271
amphilophus_citrinellus ENSACIG00000002027
mastacembelus_armatus ENSMAMG00000018514
anabas_testudineus ENSATEG00000012311
labrus_bergylta ENSLBEG00000024855
mola_mola ENSMMOG00000004627
seriola_dumerili ENSSDUG00000008156
seriola_lalandi_dorsalis ENSSLDG00000015304
gadus_morhua ENSGMOG00000003668
esox_lucius ENSELUG00000003557
astyanax_mexicanus ENSAMXG00000034452
astyanax_mexicanus ENSAMXG00000043815
pygocentrus_nattereri ENSPNAG00000019257
ictalurus_punctatus ENSIPUG00000021098
danio_rerio ENSDARG00000090818
scleropages_formosus ENSSFOG00015017372
paramormyrops_kingsleyae ENSPKIG00000024772
lepisosteus_oculatus ENSLOCG00000003536
pogona_vitticeps ENSPVIG00000013322
anolis_carolinensis ENSACAG00000022005
notechis_scutatus ENSNSUG00000008744
salvator_merianae ENSSMRG00000007825
sphenodon_punctatus ENSSPUG00000017431
manacus_vitellinus ENSMVIG00005012689
lepidothrix_coronata ENSLCOG00000013530
lonchura_striata_domestica ENSLSDG00000002659
taeniopygia_guttata ENSTGUG00000005565
serinus_canaria ENSSCAG00000003605
junco_hyemalis ENSJHYG00000006261
cyanistes_caeruleus ENSCCEG00000003141
parus_major ENSPMJG00000006469
ficedula_albicollis ENSFALG00000001532
calidris_pygmaea ENSCPGG00000005222
calidris_pugnax ENSCPUG00000013884
anser_brachyrhynchus ENSABRG00000021596
anas_platyrhynchos_platyrhynchos ENSAPLG00000006756
meleagris_gallopavo ENSMGAG00000006584
coturnix_japonica ENSCJPG00005006982
gallus_gallus ENSGALG00000034132
numida_meleagris ENSNMEG00000009329
melopsittacus_undulatus ENSMUNG00000000151
apteryx_owenii ENSAOWG00000005182
apteryx_rowi ENSARWG00000007670
apteryx_haastii ENSAHAG00000010079
dromaius_novaehollandiae ENSDNVG00000012430
nothoprocta_perdicaria ENSNPEG00000013532
cyanistes_caeruleus ENSCCEG00000000536
zonotrichia_albicollis ENSZALG00000015630
crocodylus_porosus ENSCPRG00005007483
gopherus_agassizii ENSGAGG00000010446
chelonoidis_abingdonii ENSCABG00000004788
chrysemys_picta_bellii ENSCPBG00000021149
pelodiscus_sinensis ENSPSIG00000007125
phascolarctos_cinereus ENSPCIG00000017384
notamacropus_eugenii ENSMEUG00000002915
sarcophilus_harrisii ENSSHAG00000006596
monodelphis_domestica ENSMODG00000012977
chlorocebus_sabaeus ENSCSAG00000015402
piliocolobus_tephrosceles ENSPTEG00000030508
pongo_abelii ENSPPYG00000019737
callithrix_jacchus ENSCJAG00000047455
prolemur_simus ENSPSMG00000018929
propithecus_coquereli ENSPCOG00000021787
microcebus_murinus ENSMICG00000031108
castor_canadensis ENSCCNG00000023423
dipodomys_ordii ENSDORG00000028197
cricetulus_griseus_crigri ENSCGRG00000012539
cricetulus_griseus_chok1gshd ENSCGRG00001019090
cricetulus_griseus_crigri-picr ENSCGRG00015011407
mesocricetus_auratus ENSMAUG00000007131
microtus_ochrogaster ENSMOCG00000018408
peromyscus_maniculatus_bairdii ENSPEMG00000028899
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024251
mus_musculus ENSMUSG00000015488
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023334
mus_pahari MGP_PahariEiJ_G0024791
rattus_norvegicus ENSRNOG00000005840
meriones_unguiculatus ENSMUGG00000004208
nannospalax_galili ENSNGAG00000016762
jaculus_jaculus ENSJJAG00000000810
ictidomys_tridecemlineatus ENSSTOG00000003808
urocitellus_parryii ENSUPAG00010008860
marmota_marmota_marmota ENSMMMG00000013114
spermophilus_dauricus ENSSDAG00000010205
cavia_porcellus ENSCPOG00000033970
cavia_aperea ENSCAPG00000016729
fukomys_damarensis ENSFDAG00000002573
heterocephalus_glaber_female ENSHGLG00000019453
heterocephalus_glaber_male ENSHGLG00100018026
chinchilla_lanigera ENSCLAG00000008418
octodon_degus ENSODEG00000015773
oryctolagus_cuniculus ENSOCUG00000027560
tupaia_belangeri ENSTBEG00000013296
ursus_americanus ENSUAMG00000018671
neovison_vison ENSNVIG00000020227
canis_lupus_dingo ENSCAFG00020000883
canis_lupus_familiaris ENSCAFG00000019779
vulpes_vulpes ENSVVUG00000027429
panthera_pardus ENSPPRG00000002677
panthera_tigris_altaica ENSPTIG00000016623
felis_catus ENSFCAG00000007078
equus_caballus ENSECAG00000036846
bos_taurus ENSBTAG00000015097
capra_hircus ENSCHIG00000022694
sus_scrofa ENSSSCG00000040709
bos_mutus ENSBMUG00000000339
bison_bison_bison ENSBBBG00000014674
tursiops_truncatus ENSTTRG00000014224
equus_asinus_asinus ENSEASG00005009921
ursus_maritimus ENSUMAG00000023185
ailuropoda_melanoleuca ENSAMEG00000011598
pteropus_vampyrus ENSPVAG00000001432
dasypus_novemcinctus ENSDNOG00000047115
macaca_fascicularis ENSMFAG00000038988
macaca_mulatta ENSMMUG00000010976
macaca_nemestrina ENSMNEG00000028887
cercocebus_atys ENSCATG00000037924
papio_anubis ENSPANG00000026049
theropithecus_gelada ENSTGEG00000011006
mandrillus_leucophaeus ENSMLEG00000036516
rhinopithecus_roxellana ENSRROG00000013285
rhinopithecus_bieti ENSRBIG00000040728
colobus_angolensis_palliatus ENSCANG00000000675
pan_paniscus ENSPPAG00000011930
pan_troglodytes ENSPTRG00000024267
homo_sapiens ENSG00000160325
gorilla_gorilla ENSGGOG00000012563
nomascus_leucogenys ENSNLEG00000013216
cebus_capucinus ENSCCAG00000030525
saimiri_boliviensis_boliviensis ENSSBOG00000021617
aotus_nancymaae ENSANAG00000038247
carlito_syrichta ENSTSYG00000025459
ochotona_princeps ENSOPRG00000003724
erinaceus_europaeus ENSEEUG00000000803
myotis_lucifugus ENSMLUG00000004728
mustela_putorius_furo ENSMPUG00000012288
ovis_aries ENSOARG00000003241
choloepus_hoffmanni ENSCHOG00000001064
loxodonta_africana ENSLAFG00000005395
procavia_capensis ENSPCAG00000012546
ornithorhynchus_anatinus ENSOANG00000001900
xenopus_tropicalis ENSXETG00000006883
latimeria_chalumnae ENSLACG00000022143
scleropages_formosus ENSSFOG00015010565
paramormyrops_kingsleyae ENSPKIG00000012656
petromyzon_marinus ENSPMAG00000001750
ciona_intestinalis ENSCING00000023330
ciona_savignyi ENSCSAVG00000005370
caenorhabditis_elegans_strain_n2 WBGene00008973
drosophila_melanogaster FBgn0261722
