lepisosteus_oculatus ENSLOCG00000018062
erpetoichthys_calabaricus ENSECRG00000002796
apteryx_haastii ENSAHAG00000016381
apteryx_owenii ENSAOWG00000017815
apteryx_rowi ENSARWG00000009652
dromaius_novaehollandiae ENSDNVG00000004552
nothoprocta_perdicaria ENSNPEG00000000221
meleagris_gallopavo ENSMGAG00000012473
coturnix_japonica ENSCJPG00005018375
gallus_gallus ENSGALG00000018557
numida_meleagris ENSNMEG00000019166
anser_brachyrhynchus ENSABRG00000014787
anas_platyrhynchos ENSAPLG00000001811
calidris_pygmaea ENSCPGG00000005433
calidris_pugnax ENSCPUG00000019297
melopsittacus_undulatus ENSMUNG00000013927
taeniopygia_guttata ENSTGUG00000009451
lonchura_striata ENSLSDG00000007539
serinus_canaria ENSSCAG00000004707
parus_major ENSPMJG00000016311
cyanistes_caeruleus ENSCCEG00000022810
zonotrichia_albicollis ENSZALG00000007031
junco_hyemalis ENSJHYG00000016288
ficedula_albicollis ENSFALG00000014662
manacus_vitellinus ENSMVIG00005007309
lepidothrix_coronata ENSLCOG00000009903
crocodylus_porosus ENSCPRG00005004903
gopherus_agassizii ENSGAGG00000010380
chelonoidis_abingdonii ENSCABG00000003003
chrysemys_picta ENSCPBG00000027950
pelodiscus_sinensis ENSPSIG00000014347
anolis_carolinensis ENSACAG00000000410
pogona_vitticeps ENSPVIG00000020249
notechis_scutatus ENSNSUG00000018698
salvator_merianae ENSSMRG00000001656
sphenodon_punctatus ENSSPUG00000013526
xenopus_tropicalis ENSXETG00000002319
latimeria_chalumnae ENSLACG00000006218
vombatus_ursinus ENSVURG00010004425
phascolarctos_cinereus ENSPCIG00000004032
monodelphis_domestica ENSMODG00000000474
sarcophilus_harrisii ENSSHAG00000010341
mus_spretus MGP_SPRETEiJ_G0028210
mus_spicilegus ENSMSIG00000009132
mus_musculus ENSMUSG00000072941
mus_caroli MGP_CAROLIEiJ_G0027215
mus_pahari MGP_PahariEiJ_G0016997
rattus_norvegicus ENSRNOG00000003869
meriones_unguiculatus ENSMUGG00000004963
cricetulus_griseus ENSCGRG00015017603
cricetulus_griseus ENSCGRG00001009531
cricetulus_griseus ENSCGRG00000014817
mesocricetus_auratus ENSMAUG00000001823
microtus_ochrogaster ENSMOCG00000010088
peromyscus_maniculatus ENSPEMG00000028688
nannospalax_galili ENSNGAG00000017105
jaculus_jaculus ENSJJAG00000019475
castor_canadensis ENSCCNG00000001640
urocitellus_parryii ENSUPAG00010018252
heterocephalus_glaber ENSHGLG00000006273
cavia_porcellus ENSCPOG00000035072
oryctolagus_cuniculus ENSOCUG00000007460
prolemur_simus ENSPSMG00000020541
pan_troglodytes ENSPTRG00000015956
pan_paniscus ENSPPAG00000022679
homo_sapiens ENSG00000109610
pongo_abelii ENSPPYG00000014642
nomascus_leucogenys ENSNLEG00000032570
theropithecus_gelada ENSTGEG00000028192
papio_anubis ENSPANG00000010364
cercocebus_atys ENSCATG00000021168
macaca_fascicularis ENSMFAG00000020365
macaca_mulatta ENSMMUG00000002612
chlorocebus_sabaeus ENSCSAG00000019694
colobus_angolensis ENSCANG00000014630
rhinopithecus_roxellana ENSRROG00000020067
piliocolobus_tephrosceles ENSPTEG00000027991
callithrix_jacchus ENSCJAG00000013121
saimiri_boliviensis ENSSBOG00000003134
ursus_americanus ENSUAMG00000010406
ailuropoda_melanoleuca ENSAMEG00000008457
mustela_putorius ENSMPUG00000020131
neovison_vison ENSNVIG00000013084
canis_lupus ENSCAFG00000016498
canis_lupus ENSCAFG00020027246
panthera_pardus ENSPPRG00000020880
felis_catus ENSFCAG00000045310
equus_caballus ENSECAG00000035543
equus_asinus ENSEASG00005007997
bos_taurus ENSBTAG00000013980
bos_indicus ENSBIXG00005015766
bos_indicus ENSBIXG00000026273
bos_mutus ENSBMUG00000008945
bison_bison ENSBBBG00000001360
capra_hircus ENSCHIG00000017899
ovis_aries ENSOARG00000000485
sus_scrofa ENSSSCG00000028814
pteropus_vampyrus ENSPVAG00000013597
myotis_lucifugus ENSMLUG00000014742
echinops_telfairi ENSETEG00000009579
loxodonta_africana ENSLAFG00000022899
dasypus_novemcinctus ENSDNOG00000024793
astyanax_mexicanus ENSAMXG00000025767
astyanax_mexicanus ENSAMXG00005018648
danio_rerio ENSDARG00000070168
denticeps_clupeoides ENSDCDG00000010631
hucho_hucho ENSHHUG00000010123
tetraodon_nigroviridis ENSTNIG00000012367
takifugu_rubripes ENSTRUG00000019705
labrus_bergylta ENSLBEG00000021814
labrus_bergylta ENSLBEG00000022122
poecilia_formosa ENSPFOG00000020384
poecilia_latipinna ENSPLAG00000013211
poecilia_mexicana ENSPMEG00000019273
poecilia_reticulata ENSPREG00000004644
xiphophorus_couchianus ENSXCOG00000005064
xiphophorus_maculatus ENSXMAG00000005743
gambusia_affinis ENSGAFG00000005292
cyprinodon_variegatus ENSCVAG00000011680
fundulus_heteroclitus ENSFHEG00000021548
kryptolebias_marmoratus ENSKMAG00000000129
oryzias_latipes ENSORLG00000019434
oryzias_latipes ENSORLG00020020175
oryzias_latipes ENSORLG00015020436
oryzias_melastigma ENSOMEG00000010084
lates_calcarifer ENSLCAG00010002438
scophthalmus_maximus ENSSMAG00000008541
seriola_lalandi ENSSLDG00000005325
seriola_dumerili ENSSDUG00000002638
