ursus_maritimus ENSUMAG00000019335
ursus_americanus ENSUAMG00000012383
mustela_putorius ENSMPUG00000001266
canis_lupus ENSCAFG00000011944
canis_lupus ENSCAFG00000017960
canis_lupus ENSCAFG00020003059
panthera_tigris ENSPTIG00000003425
panthera_pardus ENSPPRG00000013718
felis_catus ENSFCAG00000003374
erinaceus_europaeus ENSEEUG00000006988
sorex_araneus ENSSARG00000013441
equus_caballus ENSECAG00000007831
ailuropoda_melanoleuca ENSAMEG00000013895
ailuropoda_melanoleuca ENSAMEG00000013897
vulpes_vulpes ENSVVUG00000020137
vulpes_vulpes ENSVVUG00000020136
neovison_vison ENSNVIG00000014220
equus_asinus ENSEASG00005012123
ovis_aries ENSOARG00000009049
ovis_aries ENSOARG00000017666
capra_hircus ENSCHIG00000019401
bos_taurus ENSBTAG00000049252
bos_mutus ENSBMUG00000024314
bison_bison ENSBBBG00000014377
tursiops_truncatus ENSTTRG00000015651
vicugna_pacos ENSVPAG00000000045
sus_scrofa ENSSSCG00000001213
pan_troglodytes ENSPTRG00000017878
pan_paniscus ENSPPAG00000031086
homo_sapiens ENSG00000198704
gorilla_gorilla ENSGGOG00000042032
nomascus_leucogenys ENSNLEG00000031271
rhinopithecus_bieti ENSRBIG00000023369
rhinopithecus_roxellana ENSRROG00000012215
colobus_angolensis ENSCANG00000043747
piliocolobus_tephrosceles ENSPTEG00000036392
mandrillus_leucophaeus ENSMLEG00000044147
cercocebus_atys ENSCATG00000042948
papio_anubis ENSPANG00000034534
theropithecus_gelada ENSTGEG00000003677
macaca_fascicularis ENSMFAG00000002596
macaca_mulatta ENSMMUG00000004617
macaca_nemestrina ENSMNEG00000033861
saimiri_boliviensis ENSSBOG00000027392
cebus_capucinus ENSCCAG00000032577
callithrix_jacchus ENSCJAG00000018596
aotus_nancymaae ENSANAG00000024163
carlito_syrichta ENSTSYG00000000641
propithecus_coquereli ENSPCOG00000008911
prolemur_simus ENSPSMG00000015866
microcebus_murinus ENSMICG00000014539
otolemur_garnettii ENSOGAG00000006607
spermophilus_dauricus ENSSDAG00000022707
urocitellus_parryii ENSUPAG00010011433
ictidomys_tridecemlineatus ENSSTOG00000015419
marmota_marmota ENSMMMG00000020582
chinchilla_lanigera ENSCLAG00000008015
octodon_degus ENSODEG00000008209
cavia_porcellus ENSCPOG00000030197
cavia_aperea ENSCAPG00000007227
heterocephalus_glaber ENSHGLG00000007055
heterocephalus_glaber ENSHGLG00100010629
fukomys_damarensis ENSFDAG00000017160
oryctolagus_cuniculus ENSOCUG00000016829
castor_canadensis ENSCCNG00000001146
dipodomys_ordii ENSDORG00000013619
jaculus_jaculus ENSJJAG00000000873
mus_spretus MGP_SPRETEiJ_G0019122
mus_spicilegus ENSMSIG00000017935
mus_musculus ENSMUSG00000004341
mus_caroli MGP_CAROLIEiJ_G0018266
mus_pahari MGP_PahariEiJ_G0019316
rattus_norvegicus ENSRNOG00000060749
meriones_unguiculatus ENSMUGG00000019352
cricetulus_griseus ENSCGRG00000001944
cricetulus_griseus ENSCGRG00001020419
cricetulus_griseus ENSCGRG00015008199
mesocricetus_auratus ENSMAUG00000014546
microtus_ochrogaster ENSMOCG00000000810
peromyscus_maniculatus ENSPEMG00000013981
nannospalax_galili ENSNGAG00000012835
ochotona_princeps ENSOPRG00000008187
procavia_capensis ENSPCAG00000015689
choloepus_hoffmanni ENSCHOG00000007526
dasypus_novemcinctus ENSDNOG00000007151
urocitellus_parryii ENSUPAG00010011429
spermophilus_dauricus ENSSDAG00000022714
marmota_marmota ENSMMMG00000020589
castor_canadensis ENSCCNG00000001127
mus_spicilegus ENSMSIG00000017943
mus_caroli MGP_CAROLIEiJ_G0018265
mus_spretus MGP_SPRETEiJ_G0019121
mus_musculus ENSMUSG00000004344
mus_pahari MGP_PahariEiJ_G0019315
rattus_norvegicus ENSRNOG00000057180
meriones_unguiculatus ENSMUGG00000019362
peromyscus_maniculatus ENSPEMG00000022573
tupaia_belangeri ENSTBEG00000000092
pteropus_vampyrus ENSPVAG00000014099
loxodonta_africana ENSLAFG00000015881
tupaia_belangeri ENSTBEG00000001681
sarcophilus_harrisii ENSSHAG00000001286
ornithorhynchus_anatinus ENSOANG00000014587
taeniopygia_guttata ENSTGUG00000000842
salvator_merianae ENSSMRG00000017010
ictalurus_punctatus ENSIPUG00000006173
