cottoperca_gobio ENSCGOG00000007986
larimichthys_crocea ENSLCRG00005007684
seriola_dumerili ENSSDUG00000020858
scophthalmus_maximus ENSSMAG00000008546
anabas_testudineus ENSATEG00000020092
labrus_bergylta ENSLBEG00000028059
amphiprion_percula ENSAPEG00000007630
amphiprion_ocellaris ENSAOCG00000017777
stegastes_partitus ENSSPAG00000017162
parambassis_ranga ENSPRNG00000016489
cyprinodon_variegatus ENSCVAG00000005417
fundulus_heteroclitus ENSFHEG00000000055
poecilia_latipinna ENSPLAG00000023620
poecilia_reticulata ENSPREG00000012690
poecilia_mexicana ENSPMEG00000001613
kryptolebias_marmoratus ENSKMAG00000016731
oryzias_latipes ENSORLG00000027240
cynoglossus_semilaevis ENSCSEG00000001031
astatotilapia_calliptera ENSACLG00000006520
maylandia_zebra ENSMZEG00005021501
haplochromis_burtoni ENSHBUG00000018213
pundamilia_nyererei ENSPNYG00000022552
neolamprologus_brichardi ENSNBRG00000002516
amphilophus_citrinellus ENSACIG00000016561
gouania_willdenowi ENSGWIG00000013976
acanthochromis_polyacanthus ENSAPOG00000008941
acanthochromis_polyacanthus ENSAPOG00000006769
acanthochromis_polyacanthus ENSAPOG00000000856
seriola_lalandi ENSSLDG00000021115
lates_calcarifer ENSLCAG00010009065
betta_splendens ENSBSLG00000008072
mola_mola ENSMMOG00000012535
periophthalmus_magnuspinnatus ENSPMGG00000004645
hippocampus_comes ENSHCOG00000011977
esox_lucius ENSELUG00000018686
lepisosteus_oculatus ENSLOCG00000013292
