piliocolobus_tephrosceles ENSPTEG00000027712
rhinopithecus_bieti ENSRBIG00000002314
theropithecus_gelada ENSTGEG00000026567
mandrillus_leucophaeus ENSMLEG00000033049
papio_anubis ENSPANG00000023782
chlorocebus_sabaeus ENSCSAG00000000487
pan_troglodytes ENSPTRG00000017335
pan_paniscus ENSPPAG00000004197
homo_sapiens ENSG00000113211
gorilla_gorilla ENSGGOG00000034817
callithrix_jacchus ENSCJAG00000039993
propithecus_coquereli ENSPCOG00000025197
tupaia_belangeri ENSTBEG00000008100
urocitellus_parryii ENSUPAG00010008069
spermophilus_dauricus ENSSDAG00000019174
ictidomys_tridecemlineatus ENSSTOG00000009760
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023079
mus_musculus ENSMUSG00000047307
mus_spicilegus ENSMSIG00000001667
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022169
mus_pahari MGP_PahariEiJ_G0018903
rattus_norvegicus ENSRNOG00000020062
meriones_unguiculatus ENSMUGG00000024115
cricetulus_griseus_crigri-picr ENSCGRG00015000274
cricetulus_griseus_chok1gshd ENSCGRG00001010712
cricetulus_griseus_crigri ENSCGRG00000010546
microtus_ochrogaster ENSMOCG00000001661
heterocephalus_glaber_female ENSHGLG00000009739
heterocephalus_glaber_male ENSHGLG00100001215
fukomys_damarensis ENSFDAG00000021432
octodon_degus ENSODEG00000011685
ochotona_princeps ENSOPRG00000016647
sorex_araneus ENSSARG00000009223
sorex_araneus ENSSARG00000012935
erinaceus_europaeus ENSEEUG00000009660
ovis_aries ENSOARG00000018819
capra_hircus ENSCHIG00000009935
bos_mutus ENSBMUG00000016695
sus_scrofa ENSSSCG00000024873
ursus_americanus ENSUAMG00000000116
ursus_maritimus ENSUMAG00000012769
neovison_vison ENSNVIG00000012823
canis_lupus_dingo ENSCAFG00020021249
vulpes_vulpes ENSVVUG00000017403
panthera_pardus ENSPPRG00000016432
panthera_tigris_altaica ENSPTIG00000017864
felis_catus ENSFCAG00000036792
equus_caballus ENSECAG00000036113
equus_asinus_asinus ENSEASG00005018114
pteropus_vampyrus ENSPVAG00000002361
choloepus_hoffmanni ENSCHOG00000005208
procavia_capensis ENSPCAG00000002814
