macaca_fascicularis ENSMFAG00000045049
macaca_mulatta ENSMMUG00000030381
macaca_nemestrina ENSMNEG00000040942
theropithecus_gelada ENSTGEG00000018449
papio_anubis ENSPANG00000024343
cercocebus_atys ENSCATG00000038058
chlorocebus_sabaeus ENSCSAG00000013133
mandrillus_leucophaeus ENSMLEG00000042690
theropithecus_gelada ENSTGEG00000021737
rhinopithecus_roxellana ENSRROG00000036683
rhinopithecus_bieti ENSRBIG00000042999
colobus_angolensis ENSCANG00000011148
pan_troglodytes ENSPTRG00000008597
pan_paniscus ENSPPAG00000029616
homo_sapiens ENSG00000161905
gorilla_gorilla ENSGGOG00000006414
pongo_abelii ENSPPYG00000007837
nomascus_leucogenys ENSNLEG00000017359
callithrix_jacchus ENSCJAG00000020615
saimiri_boliviensis ENSSBOG00000031283
aotus_nancymaae ENSANAG00000023751
carlito_syrichta ENSTSYG00000036059
propithecus_coquereli ENSPCOG00000014864
microcebus_murinus ENSMICG00000046805
prolemur_simus ENSPSMG00000003405
otolemur_garnettii ENSOGAG00000007949
mus_spicilegus ENSMSIG00000020209
mus_musculus ENSMUSG00000018924
mus_spretus MGP_SPRETEiJ_G0017464
mus_caroli MGP_CAROLIEiJ_G0016628
mus_pahari MGP_PahariEiJ_G0017759
rattus_norvegicus ENSRNOG00000019183
meriones_unguiculatus ENSMUGG00000001928
peromyscus_maniculatus ENSPEMG00000006217
dipodomys_ordii ENSDORG00000015933
ictidomys_tridecemlineatus ENSSTOG00000024123
spermophilus_dauricus ENSSDAG00000005566
oryctolagus_cuniculus ENSOCUG00000022477
sorex_araneus ENSSARG00000013767
echinops_telfairi ENSETEG00000016423
bos_indicus ENSBIXG00000001753
bos_indicus ENSBIXG00005027670
bos_taurus ENSBTAG00000011990
bos_mutus ENSBMUG00000004790
bison_bison ENSBBBG00000014284
capra_hircus ENSCHIG00000025642
ovis_aries ENSOARG00000008480
sus_scrofa ENSSSCG00000017923
ursus_maritimus ENSUMAG00000014549
ursus_americanus ENSUAMG00000012138
ailuropoda_melanoleuca ENSAMEG00000016225
neovison_vison ENSNVIG00000020197
mustela_putorius ENSMPUG00000010776
canis_lupus ENSCAFG00020010701
canis_lupus ENSCAFG00000015949
vulpes_vulpes ENSVVUG00000027579
myotis_lucifugus ENSMLUG00000022380
myotis_lucifugus ENSMLUG00000025733
myotis_lucifugus ENSMLUG00000030186
myotis_lucifugus ENSMLUG00000028562
myotis_lucifugus ENSMLUG00000002504
myotis_lucifugus ENSMLUG00000023026
myotis_lucifugus ENSMLUG00000022710
myotis_lucifugus ENSMLUG00000023768
pteropus_vampyrus ENSPVAG00000002328
equus_asinus ENSEASG00005017894
equus_caballus ENSECAG00000038698
loxodonta_africana ENSLAFG00000017224
dasypus_novemcinctus ENSDNOG00000024854
tupaia_belangeri ENSTBEG00000015080
phascolarctos_cinereus ENSPCIG00000017315
vombatus_ursinus ENSVURG00010002198
notamacropus_eugenii ENSMEUG00000013095
monodelphis_domestica ENSMODG00000005718
