mustela_putorius_furo ENSMPUG00000006718
neovison_vison ENSNVIG00000024667
ursus_americanus ENSUAMG00000010568
canis_lupus_dingo ENSCAFG00020013266
canis_lupus_familiaris ENSCAFG00000004738
vulpes_vulpes ENSVVUG00000008774
panthera_pardus ENSPPRG00000010556
panthera_tigris_altaica ENSPTIG00000011937
felis_catus ENSFCAG00000021940
bos_taurus ENSBTAG00000012796
bos_mutus ENSBMUG00000018550
bison_bison_bison ENSBBBG00000016472
capra_hircus ENSCHIG00000018128
sus_scrofa ENSSSCG00000003059
equus_caballus ENSECAG00000035435
equus_asinus_asinus ENSEASG00005013559
erinaceus_europaeus ENSEEUG00000004901
sorex_araneus ENSSARG00000009330
myotis_lucifugus ENSMLUG00000030739
heterocephalus_glaber_female ENSHGLG00000010265
heterocephalus_glaber_male ENSHGLG00100018997
fukomys_damarensis ENSFDAG00000000241
cavia_aperea ENSCAPG00000011328
cavia_porcellus ENSCPOG00000033683
octodon_degus ENSODEG00000009041
chinchilla_lanigera ENSCLAG00000001728
spermophilus_dauricus ENSSDAG00000009532
ictidomys_tridecemlineatus ENSSTOG00000028157
marmota_marmota_marmota ENSMMMG00000016154
urocitellus_parryii ENSUPAG00010021901
castor_canadensis ENSCCNG00000020631
dipodomys_ordii ENSDORG00000028524
microtus_ochrogaster ENSMOCG00000012553
microtus_ochrogaster ENSMOCG00000013454
peromyscus_maniculatus_bairdii ENSPEMG00000022485
cricetulus_griseus_crigri ENSCGRG00000015324
cricetulus_griseus_chok1gshd ENSCGRG00001013406
cricetulus_griseus_crigri-picr ENSCGRG00015014301
mesocricetus_auratus ENSMAUG00000001906
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030431
mus_musculus ENSMUSG00000064264
mus_spicilegus ENSMSIG00000023443
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029337
mus_pahari MGP_PahariEiJ_G0021188
rattus_norvegicus ENSRNOG00000019802
meriones_unguiculatus ENSMUGG00000001270
nannospalax_galili ENSNGAG00000000625
jaculus_jaculus ENSJJAG00000022431
oryctolagus_cuniculus ENSOCUG00000016620
tupaia_belangeri ENSTBEG00000007542
cebus_capucinus ENSCCAG00000037819
saimiri_boliviensis_boliviensis ENSSBOG00000021122
callithrix_jacchus ENSCJAG00000013510
macaca_nemestrina ENSMNEG00000041660
macaca_fascicularis ENSMFAG00000034659
mandrillus_leucophaeus ENSMLEG00000031228
theropithecus_gelada ENSTGEG00000017943
papio_anubis ENSPANG00000005273
cercocebus_atys ENSCATG00000016415
chlorocebus_sabaeus ENSCSAG00000003389
colobus_angolensis_palliatus ENSCANG00000019070
piliocolobus_tephrosceles ENSPTEG00000032953
rhinopithecus_roxellana ENSRROG00000030421
rhinopithecus_bieti ENSRBIG00000036144
pan_troglodytes ENSPTRG00000011089
pan_paniscus ENSPPAG00000022731
gorilla_gorilla ENSGGOG00000016413
homo_sapiens ENSG00000131116
nomascus_leucogenys ENSNLEG00000001661
carlito_syrichta ENSTSYG00000032530
propithecus_coquereli ENSPCOG00000014893
microcebus_murinus ENSMICG00000041863
prolemur_simus ENSPSMG00000011551
otolemur_garnettii ENSOGAG00000032122
loxodonta_africana ENSLAFG00000012706
dasypus_novemcinctus ENSDNOG00000045382
pongo_abelii ENSPPYG00000010069
ochotona_princeps ENSOPRG00000009333
tursiops_truncatus ENSTTRG00000017063
pteropus_vampyrus ENSPVAG00000016894
procavia_capensis ENSPCAG00000014190
phascolarctos_cinereus ENSPCIG00000020846
monodelphis_domestica ENSMODG00000020836
