amphiprion_percula ENSAPEG00000023340
amphiprion_ocellaris ENSAOCG00000001377
acanthochromis_polyacanthus ENSAPOG00000015279
stegastes_partitus ENSSPAG00000012738
mola_mola ENSMMOG00000012019
gambusia_affinis ENSGAFG00000016468
xiphophorus_couchianus ENSXCOG00000002483
oryzias_latipes ENSORLG00020001029
labrus_bergylta ENSLBEG00000027851
seriola_dumerili ENSSDUG00000007944
seriola_lalandi_dorsalis ENSSLDG00000008148
haplochromis_burtoni ENSHBUG00000006091
astatotilapia_calliptera ENSACLG00000002311
monopterus_albus ENSMALG00000003711
periophthalmus_magnuspinnatus ENSPMGG00000012053
gadus_morhua ENSGMOG00000005051
astyanax_mexicanus ENSAMXG00000035435
gasterosteus_aculeatus ENSGACG00000015901
fundulus_heteroclitus ENSFHEG00000006009
seriola_lalandi_dorsalis ENSSLDG00000024602
seriola_dumerili ENSSDUG00000003605
pundamilia_nyererei ENSPNYG00000015185
amphilophus_citrinellus ENSACIG00000014529
mola_mola ENSMMOG00000008215
periophthalmus_magnuspinnatus ENSPMGG00000023189
astyanax_mexicanus ENSAMXG00000037417
pygocentrus_nattereri ENSPNAG00000026718
ictalurus_punctatus ENSIPUG00000003791
castor_canadensis ENSCCNG00000013763
meriones_unguiculatus ENSMUGG00000017815
ursus_americanus ENSUAMG00000014481
capra_hircus ENSCHIG00000001538
rhinopithecus_roxellana ENSRROG00000004973
rhinopithecus_bieti ENSRBIG00000037362
mandrillus_leucophaeus ENSMLEG00000025703
carlito_syrichta ENSTSYG00000028572
taeniopygia_guttata ENSTGUG00000002907
