anabas_testudineus ENSATEG00000005333
monopterus_albus ENSMALG00000013135
poecilia_latipinna ENSPLAG00000012480
poecilia_mexicana ENSPMEG00000011869
gambusia_affinis ENSGAFG00000014154
poecilia_formosa ENSPFOG00000024243
poecilia_reticulata ENSPREG00000008017
xiphophorus_maculatus ENSXMAG00000027768
fundulus_heteroclitus ENSFHEG00000009124
cyprinodon_variegatus ENSCVAG00000014169
haplochromis_burtoni ENSHBUG00000022507
maylandia_zebra ENSMZEG00005023785
neolamprologus_brichardi ENSNBRG00000016128
amphilophus_citrinellus ENSACIG00000012140
amphiprion_percula ENSAPEG00000013152
amphiprion_ocellaris ENSAOCG00000022362
acanthochromis_polyacanthus ENSAPOG00000006846
oryzias_latipes ENSORLG00000023921
oryzias_latipes ENSORLG00020018900
oryzias_melastigma ENSOMEG00000009114
seriola_lalandi_dorsalis ENSSLDG00000019806
seriola_dumerili ENSSDUG00000017626
mastacembelus_armatus ENSMAMG00000006168
scophthalmus_maximus ENSSMAG00000000413
cynoglossus_semilaevis ENSCSEG00000010890
labrus_bergylta ENSLBEG00000018333
periophthalmus_magnuspinnatus ENSPMGG00000013556
stegastes_partitus ENSSPAG00000017870
gadus_morhua ENSGMOG00000013287
esox_lucius ENSELUG00000019791
pygocentrus_nattereri ENSPNAG00000009399
astyanax_mexicanus ENSAMXG00000030920
ictalurus_punctatus ENSIPUG00000020501
ictalurus_punctatus ENSIPUG00000020004
ictalurus_punctatus ENSIPUG00000020107
ictalurus_punctatus ENSIPUG00000020119
ictalurus_punctatus ENSIPUG00000020095
ictalurus_punctatus ENSIPUG00000020044
ictalurus_punctatus ENSIPUG00000020081
ictalurus_punctatus ENSIPUG00000000076
ictalurus_punctatus ENSIPUG00000004586
ictalurus_punctatus ENSIPUG00000013272
ictalurus_punctatus ENSIPUG00000007706
ictalurus_punctatus ENSIPUG00000019950
ictalurus_punctatus ENSIPUG00000019935
ictalurus_punctatus ENSIPUG00000019779
ictalurus_punctatus ENSIPUG00000012053
paramormyrops_kingsleyae ENSPKIG00000016994
lepisosteus_oculatus ENSLOCG00000002988
anser_brachyrhynchus ENSABRG00000007165
anas_platyrhynchos_platyrhynchos ENSAPLG00000012874
meleagris_gallopavo ENSMGAG00000001986
gallus_gallus ENSGALG00000001031
coturnix_japonica ENSCJPG00005004318
numida_meleagris ENSNMEG00000012582
calidris_pygmaea ENSCPGG00000005741
calidris_pugnax ENSCPUG00000015844
lepidothrix_coronata ENSLCOG00000014445
manacus_vitellinus ENSMVIG00005018779
taeniopygia_guttata ENSTGUG00000015457
cyanistes_caeruleus ENSCCEG00000005153
ficedula_albicollis ENSFALG00000014220
zonotrichia_albicollis ENSZALG00000010608
apteryx_haastii ENSAHAG00000004932
apteryx_owenii ENSAOWG00000018137
apteryx_rowi ENSARWG00000006240
dromaius_novaehollandiae ENSDNVG00000005830
nothoprocta_perdicaria ENSNPEG00000003419
crocodylus_porosus ENSCPRG00005008051
gopherus_agassizii ENSGAGG00000015941
chelonoidis_abingdonii ENSCABG00000007512
chrysemys_picta_bellii ENSCPBG00000015877
pelodiscus_sinensis ENSPSIG00000008388
pogona_vitticeps ENSPVIG00000009422
anolis_carolinensis ENSACAG00000000662
notechis_scutatus ENSNSUG00000006045
salvator_merianae ENSSMRG00000008798
sphenodon_punctatus ENSSPUG00000001620
microcebus_murinus ENSMICG00000016020
propithecus_coquereli ENSPCOG00000022078
prolemur_simus ENSPSMG00000003938
otolemur_garnettii ENSOGAG00000004924
cebus_capucinus ENSCCAG00000007643
callithrix_jacchus ENSCJAG00000017380
aotus_nancymaae ENSANAG00000020700
pan_troglodytes ENSPTRG00000009453
pan_paniscus ENSPPAG00000043253
homo_sapiens ENSG00000176160
gorilla_gorilla ENSGGOG00000013788
pongo_abelii ENSPPYG00000008231
nomascus_leucogenys ENSNLEG00000008188
macaca_fascicularis ENSMFAG00000034079
macaca_nemestrina ENSMNEG00000036939
macaca_mulatta ENSMMUG00000004184
cercocebus_atys ENSCATG00000042314
piliocolobus_tephrosceles ENSPTEG00000039132
rhinopithecus_roxellana ENSRROG00000021834
mandrillus_leucophaeus ENSMLEG00000042573
papio_anubis ENSPANG00000022283
colobus_angolensis_palliatus ENSCANG00000036554
rhinopithecus_bieti ENSRBIG00000044611
