kryptolebias_marmoratus ENSKMAG00000002261
scophthalmus_maximus ENSSMAG00000003828
seriola_dumerili ENSSDUG00000007556
cynoglossus_semilaevis ENSCSEG00000018652
amphiprion_ocellaris ENSAOCG00000002593
amphiprion_percula ENSAPEG00000016606
acanthochromis_polyacanthus ENSAPOG00000022910
stegastes_partitus ENSSPAG00000017693
astatotilapia_calliptera ENSACLG00000025301
haplochromis_burtoni ENSHBUG00000015913
maylandia_zebra ENSMZEG00005010288
pundamilia_nyererei ENSPNYG00000022529
neolamprologus_brichardi ENSNBRG00000019253
amphilophus_citrinellus ENSACIG00000005827
mola_mola ENSMMOG00000001759
poecilia_latipinna ENSPLAG00000017358
poecilia_mexicana ENSPMEG00000012849
xiphophorus_couchianus ENSXCOG00000008355
xiphophorus_maculatus ENSXMAG00000019908
gambusia_affinis ENSGAFG00000009133
oryzias_melastigma ENSOMEG00000020733
labrus_bergylta ENSLBEG00000006819
takifugu_rubripes ENSTRUG00000019535
mastacembelus_armatus ENSMAMG00000010391
anabas_testudineus ENSATEG00000017855
periophthalmus_magnuspinnatus ENSPMGG00000012747
hippocampus_comes ENSHCOG00000002267
astyanax_mexicanus ENSAMXG00000025270
pygocentrus_nattereri ENSPNAG00000020625
ictalurus_punctatus ENSIPUG00000017019
danio_rerio ENSDARG00000096118
esox_lucius ENSELUG00000007999
paramormyrops_kingsleyae ENSPKIG00000013283
scleropages_formosus ENSSFOG00015005884
lepisosteus_oculatus ENSLOCG00000017994
anser_brachyrhynchus ENSABRG00000020694
anas_platyrhynchos_platyrhynchos ENSAPLG00000021814
gallus_gallus ENSGALG00000029837
junco_hyemalis ENSJHYG00000009355
calidris_pygmaea ENSCPGG00000013988
apteryx_haastii ENSAHAG00000003313
cricetulus_griseus_crigri-picr ENSCGRG00015026374
cricetulus_griseus_crigri ENSCGRG00000016399
cricetulus_griseus_chok1gshd ENSCGRG00001011578
mesocricetus_auratus ENSMAUG00000009438
microtus_ochrogaster ENSMOCG00000018204
mus_musculus ENSMUSG00000038803
mus_spicilegus ENSMSIG00000013698
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027067
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028062
mus_pahari MGP_PahariEiJ_G0029314
rattus_norvegicus ENSRNOG00000008605
meriones_unguiculatus ENSMUGG00000027035
nannospalax_galili ENSNGAG00000000518
jaculus_jaculus ENSJJAG00000020657
ictidomys_tridecemlineatus ENSSTOG00000025286
urocitellus_parryii ENSUPAG00010007144
spermophilus_dauricus ENSSDAG00000023594
saimiri_boliviensis_boliviensis ENSSBOG00000014116
otolemur_garnettii ENSOGAG00000033136
dipodomys_ordii ENSDORG00000027195
pan_paniscus ENSPPAG00000013188
nomascus_leucogenys ENSNLEG00000027727
aotus_nancymaae ENSANAG00000007870
homo_sapiens ENSG00000228474
gorilla_gorilla ENSGGOG00000040607
pan_troglodytes ENSPTRG00000045190
cebus_capucinus ENSCCAG00000019720
callithrix_jacchus ENSCJAG00000047403
prolemur_simus ENSPSMG00000004053
microcebus_murinus ENSMICG00000043827
propithecus_coquereli ENSPCOG00000026859
heterocephalus_glaber_female ENSHGLG00000007691
heterocephalus_glaber_male ENSHGLG00100017029
fukomys_damarensis ENSFDAG00000000146
cavia_porcellus ENSCPOG00000036077
chinchilla_lanigera ENSCLAG00000011618
bison_bison_bison ENSBBBG00000016829
ovis_aries ENSOARG00000019491
ailuropoda_melanoleuca ENSAMEG00000020108
ursus_maritimus ENSUMAG00000021977
neovison_vison ENSNVIG00000017529
panthera_pardus ENSPPRG00000020132
panthera_tigris_altaica ENSPTIG00000007081
felis_catus ENSFCAG00000046340
myotis_lucifugus ENSMLUG00000025707
loxodonta_africana ENSLAFG00000027285
bos_taurus ENSBTAG00000049951
bison_bison_bison ENSBBBG00000001034
macaca_nemestrina ENSMNEG00000007735
macaca_fascicularis ENSMFAG00000028862
macaca_mulatta ENSMMUG00000045826
cercocebus_atys ENSCATG00000018592
papio_anubis ENSPANG00000011316
theropithecus_gelada ENSTGEG00000022688
chlorocebus_sabaeus ENSCSAG00000009508
piliocolobus_tephrosceles ENSPTEG00000003086
colobus_angolensis_palliatus ENSCANG00000003933
rhinopithecus_bieti ENSRBIG00000019455
rhinopithecus_roxellana ENSRROG00000001954
dasypus_novemcinctus ENSDNOG00000031525
peromyscus_maniculatus_bairdii ENSPEMG00000010111
carlito_syrichta ENSTSYG00000027208
phascolarctos_cinereus ENSPCIG00000032420
