otolemur_garnettii ENSOGAG00000025170
prolemur_simus ENSPSMG00000019286
urocitellus_parryii ENSUPAG00010021742
ictidomys_tridecemlineatus ENSSTOG00000026892
fukomys_damarensis ENSFDAG00000013412
equus_caballus ENSECAG00000001945
equus_asinus_asinus ENSEASG00005018317
pteropus_vampyrus ENSPVAG00000009754
bison_bison_bison ENSBBBG00000012869
bos_taurus ENSBTAG00000039983
bos_mutus ENSBMUG00000009477
ovis_aries ENSOARG00000001493
sus_scrofa ENSSSCG00000013850
mustela_putorius_furo ENSMPUG00000019668
mustela_putorius_furo ENSMPUG00000019670
neovison_vison ENSNVIG00000012099
ursus_maritimus ENSUMAG00000000748
ursus_americanus ENSUAMG00000016067
vulpes_vulpes ENSVVUG00000020305
vulpes_vulpes ENSVVUG00000004119
canis_lupus_familiaris ENSCAFG00000028520
canis_lupus_dingo ENSCAFG00020009682
canis_lupus_familiaris ENSCAFG00000031088
canis_lupus_dingo ENSCAFG00020009681
vulpes_vulpes ENSVVUG00000020307
dasypus_novemcinctus ENSDNOG00000043072
loxodonta_africana ENSLAFG00000032302
oryctolagus_cuniculus ENSOCUG00000025986
microtus_ochrogaster ENSMOCG00000005908
peromyscus_maniculatus_bairdii ENSPEMG00000012155
cricetulus_griseus_crigri-picr ENSCGRG00015007194
mus_spicilegus ENSMSIG00000023754
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032329
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031209
mus_musculus ENSMUSG00000046881
mus_pahari MGP_PahariEiJ_G0021674
notamacropus_eugenii ENSMEUG00000005011
notamacropus_eugenii ENSMEUG00000006769
notamacropus_eugenii ENSMEUG00000011414
sarcophilus_harrisii ENSSHAG00000003087
monodelphis_domestica ENSMODG00000023810
monodelphis_domestica ENSMODG00000023811
monodelphis_domestica ENSMODG00000023809
monodelphis_domestica ENSMODG00000022676
monodelphis_domestica ENSMODG00000023808
monodelphis_domestica ENSMODG00000022675
sarcophilus_harrisii ENSSHAG00000001707
sarcophilus_harrisii ENSSHAG00000007768
sarcophilus_harrisii ENSSHAG00000001531
sarcophilus_harrisii ENSSHAG00000002280
sarcophilus_harrisii ENSSHAG00000005134
notamacropus_eugenii ENSMEUG00000012686
monodelphis_domestica ENSMODG00000023807
notamacropus_eugenii ENSMEUG00000004040
phascolarctos_cinereus ENSPCIG00000001284
sarcophilus_harrisii ENSSHAG00000003655
monodelphis_domestica ENSMODG00000023814
monodelphis_domestica ENSMODG00000023813
monodelphis_domestica ENSMODG00000023812
notamacropus_eugenii ENSMEUG00000015127
phascolarctos_cinereus ENSPCIG00000019660
sarcophilus_harrisii ENSSHAG00000002665
notamacropus_eugenii ENSMEUG00000002918
notamacropus_eugenii ENSMEUG00000009680
phascolarctos_cinereus ENSPCIG00000019656
sarcophilus_harrisii ENSSHAG00000004301
sarcophilus_harrisii ENSSHAG00000006137
sarcophilus_harrisii ENSSHAG00000001513
sarcophilus_harrisii ENSSHAG00000003430
sarcophilus_harrisii ENSSHAG00000005928
sarcophilus_harrisii ENSSHAG00000002496
sarcophilus_harrisii ENSSHAG00000003989
sarcophilus_harrisii ENSSHAG00000003495
sarcophilus_harrisii ENSSHAG00000004357
sarcophilus_harrisii ENSSHAG00000004640
phascolarctos_cinereus ENSPCIG00000019653
notamacropus_eugenii ENSMEUG00000012376
