rhinopithecus_roxellana ENSRROG00000034943
colobus_angolensis ENSCANG00000030792
piliocolobus_tephrosceles ENSPTEG00000016315
macaca_nemestrina ENSMNEG00000037537
macaca_fascicularis ENSMFAG00000035880
macaca_mulatta ENSMMUG00000019299
cercocebus_atys ENSCATG00000032001
papio_anubis ENSPANG00000003735
chlorocebus_sabaeus ENSCSAG00000008440
mandrillus_leucophaeus ENSMLEG00000038428
gorilla_gorilla ENSGGOG00000004448
callithrix_jacchus ENSCJAG00000021611
otolemur_garnettii ENSOGAG00000010518
urocitellus_parryii ENSUPAG00010001787
ictidomys_tridecemlineatus ENSSTOG00000011228
