pundamilia_nyererei ENSPNYG00000019141
maylandia_zebra ENSMZEG00005008955
haplochromis_burtoni ENSHBUG00000022926
astatotilapia_calliptera ENSACLG00000013361
oreochromis_niloticus ENSONIG00000002537
xiphophorus_maculatus ENSXMAG00000026482
xiphophorus_couchianus ENSXCOG00000012385
poecilia_mexicana ENSPMEG00000011637
poecilia_latipinna ENSPLAG00000016543
gambusia_affinis ENSGAFG00000009298
hippocampus_comes ENSHCOG00000018716
monopterus_albus ENSMALG00000009128
cynoglossus_semilaevis ENSCSEG00000012253
astyanax_mexicanus ENSAMXG00000009720
paramormyrops_kingsleyae ENSPKIG00000002011
scleropages_formosus ENSSFOG00015020370
scleropages_formosus ENSSFOG00015015548
paramormyrops_kingsleyae ENSPKIG00000008658
