homo_sapiens ENSG00000134186
gorilla_gorilla ENSGGOG00000011288
pan_troglodytes ENSPTRG00000001032
papio_anubis ENSPANG00000007560
aotus_nancymaae ENSANAG00000028333
urocitellus_parryii ENSUPAG00010015111
ictidomys_tridecemlineatus ENSSTOG00000025032
neovison_vison ENSNVIG00000023940
mustela_putorius_furo ENSMPUG00000002738
ailuropoda_melanoleuca ENSAMEG00000004364
canis_lupus_familiaris ENSCAFG00000029761
vulpes_vulpes ENSVVUG00000000684
panthera_pardus ENSPPRG00000002116
panthera_tigris_altaica ENSPTIG00000015015
felis_catus ENSFCAG00000039965
bison_bison_bison ENSBBBG00000009324
bos_mutus ENSBMUG00000004324
phascolarctos_cinereus ENSPCIG00000024841
lepisosteus_oculatus ENSLOCG00000007860
