amphilophus_citrinellus ENSACIG00000002292
stegastes_partitus ENSSPAG00000020967
seriola_dumerili ENSSDUG00000023621
monopterus_albus ENSMALG00000006497
monopterus_albus ENSMALG00000002661
monopterus_albus ENSMALG00000001473
kryptolebias_marmoratus ENSKMAG00000001405
stegastes_partitus ENSSPAG00000020714
poecilia_mexicana ENSPMEG00000013524
seriola_lalandi_dorsalis ENSSLDG00000015600
takifugu_rubripes ENSTRUG00000023762
takifugu_rubripes ENSTRUG00000021522
periophthalmus_magnuspinnatus ENSPMGG00000019591
