kryptolebias_marmoratus ENSKMAG00000004831
periophthalmus_magnuspinnatus ENSPMGG00000021357
labrus_bergylta ENSLBEG00000019926
oryzias_melastigma ENSOMEG00000006389
mastacembelus_armatus ENSMAMG00000005765
neolamprologus_brichardi ENSNBRG00000008046
amphiprion_ocellaris ENSAOCG00000006471
acanthochromis_polyacanthus ENSAPOG00000021369
poecilia_formosa ENSPFOG00000000440
poecilia_latipinna ENSPLAG00000002943
stegastes_partitus ENSSPAG00000019715
cyprinodon_variegatus ENSCVAG00000016732
hippocampus_comes ENSHCOG00000015061
scophthalmus_maximus ENSSMAG00000011388
tetraodon_nigroviridis ENSTNIG00000018846
seriola_dumerili ENSSDUG00000007177
cynoglossus_semilaevis ENSCSEG00000007040
anabas_testudineus ENSATEG00000016338
mola_mola ENSMMOG00000011823
haplochromis_burtoni ENSHBUG00000019460
maylandia_zebra ENSMZEG00005001997
seriola_lalandi ENSSLDG00000005003
monopterus_albus ENSMALG00000009965
poecilia_reticulata ENSPREG00000019431
poecilia_mexicana ENSPMEG00000016817
xiphophorus_couchianus ENSXCOG00000015673
fundulus_heteroclitus ENSFHEG00000021729
amphilophus_citrinellus ENSACIG00000023805
astatotilapia_calliptera ENSACLG00000023428
amphiprion_percula ENSAPEG00000022292
takifugu_rubripes ENSTRUG00000022718
gadus_morhua ENSGMOG00000009982
esox_lucius ENSELUG00000010851
ictalurus_punctatus ENSIPUG00000019685
pygocentrus_nattereri ENSPNAG00000017412
danio_rerio ENSDARG00000029500
paramormyrops_kingsleyae ENSPKIG00000000673
lepisosteus_oculatus ENSLOCG00000011235
gasterosteus_aculeatus ENSGACG00000019593
cyanistes_caeruleus ENSCCEG00000011867
parus_major ENSPMJG00000010081
taeniopygia_guttata ENSTGUG00000004058
lonchura_striata ENSLSDG00000012643
serinus_canaria ENSSCAG00000013050
junco_hyemalis ENSJHYG00000004331
zonotrichia_albicollis ENSZALG00000005516
ficedula_albicollis ENSFALG00000012235
manacus_vitellinus ENSMVIG00005015406
lepidothrix_coronata ENSLCOG00000003858
calidris_pygmaea ENSCPGG00000000551
calidris_pugnax ENSCPUG00000001369
melopsittacus_undulatus ENSMUNG00000002195
sphenodon_punctatus ENSSPUG00000006146
xenopus_tropicalis ENSXETG00000021095
xenopus_tropicalis ENSXETG00000020482
latimeria_chalumnae ENSLACG00000006291
latimeria_chalumnae ENSLACG00000003788
periophthalmus_magnuspinnatus ENSPMGG00000021356
mola_mola ENSMMOG00000012362
oryzias_latipes ENSORLG00020014231
oryzias_latipes ENSORLG00000004887
oryzias_latipes ENSORLG00015011769
fundulus_heteroclitus ENSFHEG00000020840
pundamilia_nyererei ENSPNYG00000004946
pundamilia_nyererei ENSPNYG00000023794
astyanax_mexicanus ENSAMXG00000035416
cynoglossus_semilaevis ENSCSEG00000007122
lepidothrix_coronata ENSLCOG00000006459
nothoprocta_perdicaria ENSNPEG00000001842
notechis_scutatus ENSNSUG00000001747
phascolarctos_cinereus ENSPCIG00000026709
apteryx_haastii ENSAHAG00000002189
apteryx_rowi ENSARWG00000000875
dromaius_novaehollandiae ENSDNVG00000004928
coturnix_japonica ENSCJPG00005009534
gallus_gallus ENSGALG00000032002
numida_meleagris ENSNMEG00000014452
chelonoidis_abingdonii ENSCABG00000003992
sarcophilus_harrisii ENSSHAG00000001357
monodelphis_domestica ENSMODG00000020601
gopherus_agassizii ENSGAGG00000015575
pogona_vitticeps ENSPVIG00000016366
notamacropus_eugenii ENSMEUG00000009361
anser_brachyrhynchus ENSABRG00000007557
anas_platyrhynchos ENSAPLG00000008019
apteryx_owenii ENSAOWG00000012402
crocodylus_porosus ENSCPRG00005005811
chrysemys_picta ENSCPBG00000004169
gopherus_agassizii ENSGAGG00000011457
pelodiscus_sinensis ENSPSIG00000003295
sarcophilus_harrisii ENSSHAG00000002052
cricetulus_griseus ENSCGRG00015005926
peromyscus_maniculatus ENSPEMG00000019312
meriones_unguiculatus ENSMUGG00000011987
jaculus_jaculus ENSJJAG00000013900
cebus_capucinus ENSCCAG00000011429
aotus_nancymaae ENSANAG00000003964
rhinopithecus_roxellana ENSRROG00000013913
gopherus_agassizii ENSGAGG00000010252
melopsittacus_undulatus ENSMUNG00000013527
propithecus_coquereli ENSPCOG00000010384
prolemur_simus ENSPSMG00000001636
saimiri_boliviensis ENSSBOG00000026498
ochotona_princeps ENSOPRG00000001780
piliocolobus_tephrosceles ENSPTEG00000013299
capra_hircus ENSCHIG00000003828
meriones_unguiculatus ENSMUGG00000021868
meriones_unguiculatus ENSMUGG00000010342
mus_spicilegus ENSMSIG00000001810
oryctolagus_cuniculus ENSOCUG00000029357
echinops_telfairi ENSETEG00000003715
choloepus_hoffmanni ENSCHOG00000009074
ornithorhynchus_anatinus ENSOANG00000007856
chrysemys_picta ENSCPBG00000008586
rhinopithecus_bieti ENSRBIG00000033476
rhinopithecus_roxellana ENSRROG00000035525
piliocolobus_tephrosceles ENSPTEG00000028017
nannospalax_galili ENSNGAG00000021067
ursus_maritimus ENSUMAG00000024016
ursus_americanus ENSUAMG00000006419
vulpes_vulpes ENSVVUG00000011074
capra_hircus ENSCHIG00000007633
equus_asinus ENSEASG00005023013
equus_caballus ENSECAG00000006641
mustela_putorius ENSMPUG00000018478
neovison_vison ENSNVIG00000007648
nannospalax_galili ENSNGAG00000014758
peromyscus_maniculatus ENSPEMG00000014464
propithecus_coquereli ENSPCOG00000022580
prolemur_simus ENSPSMG00000007761
pan_troglodytes ENSPTRG00000050275
pan_paniscus ENSPPAG00000042038
nomascus_leucogenys ENSNLEG00000035859
phascolarctos_cinereus ENSPCIG00000018142
papio_anubis ENSPANG00000029357
mandrillus_leucophaeus ENSMLEG00000032566
propithecus_coquereli ENSPCOG00000027618
mus_spicilegus ENSMSIG00000027380
mus_spretus MGP_SPRETEiJ_G0019913
octodon_degus ENSODEG00000000319
pongo_abelii ENSPPYG00000000542
cavia_aperea ENSCAPG00000017747
sus_scrofa ENSSSCG00000036617
sus_scrofa ENSSSCG00000031472
myotis_lucifugus ENSMLUG00000028077
dasypus_novemcinctus ENSDNOG00000034480
dasypus_novemcinctus ENSDNOG00000034768
phascolarctos_cinereus ENSPCIG00000030660
capra_hircus ENSCHIG00000013243
equus_caballus ENSECAG00000019719
felis_catus ENSFCAG00000015502
mustela_putorius ENSMPUG00000008873
rhinopithecus_bieti ENSRBIG00000015645
theropithecus_gelada ENSTGEG00000021131
pan_paniscus ENSPPAG00000011043
cebus_capucinus ENSCCAG00000026254
cebus_capucinus ENSCCAG00000019807
saimiri_boliviensis ENSSBOG00000012669
otolemur_garnettii ENSOGAG00000006774
spermophilus_dauricus ENSSDAG00000009743
marmota_marmota ENSMMMG00000010314
mus_caroli MGP_CAROLIEiJ_G0025636
pan_troglodytes ENSPTRG00000016353
homo_sapiens ENSG00000109475
callithrix_jacchus ENSCJAG00000040227
mesocricetus_auratus ENSMAUG00000014918
heterocephalus_glaber ENSHGLG00100017803
macaca_mulatta ENSMMUG00000045571
macaca_mulatta ENSMMUG00000045462
macaca_mulatta ENSMMUG00000031981
macaca_nemestrina ENSMNEG00000013794
macaca_nemestrina ENSMNEG00000000324
theropithecus_gelada ENSTGEG00000001081
rhinopithecus_bieti ENSRBIG00000016090
rhinopithecus_bieti ENSRBIG00000036789
rhinopithecus_roxellana ENSRROG00000040619
colobus_angolensis ENSCANG00000033952
gorilla_gorilla ENSGGOG00000027954
cebus_capucinus ENSCCAG00000032332
microcebus_murinus ENSMICG00000041882
mus_spicilegus ENSMSIG00000030659
mus_musculus ENSMUSG00000062006
mus_spretus MGP_SPRETEiJ_G0026589
microtus_ochrogaster ENSMOCG00000004221
rattus_norvegicus ENSRNOG00000016387
mesocricetus_auratus ENSMAUG00000002387
peromyscus_maniculatus ENSPEMG00000010540
nannospalax_galili ENSNGAG00000021739
dipodomys_ordii ENSDORG00000025054
ursus_maritimus ENSUMAG00000000631
panthera_tigris ENSPTIG00000013799
bos_taurus ENSBTAG00000014226
cavia_porcellus ENSCPOG00000037181
octodon_degus ENSODEG00000020147
heterocephalus_glaber ENSHGLG00000002549
mus_pahari MGP_PahariEiJ_G0027085
castor_canadensis ENSCCNG00000015584
nomascus_leucogenys ENSNLEG00000012934
gorilla_gorilla ENSGGOG00000036852
mandrillus_leucophaeus ENSMLEG00000037912
cercocebus_atys ENSCATG00000042942
macaca_fascicularis ENSMFAG00000017869
rhinopithecus_bieti ENSRBIG00000028833
theropithecus_gelada ENSTGEG00000015577
colobus_angolensis ENSCANG00000007494
canis_lupus ENSCAFG00020015435
erinaceus_europaeus ENSEEUG00000010390
myotis_lucifugus ENSMLUG00000027001
rhinopithecus_roxellana ENSRROG00000035110
rhinopithecus_roxellana ENSRROG00000013360
papio_anubis ENSPANG00000030212
macaca_fascicularis ENSMFAG00000034368
otolemur_garnettii ENSOGAG00000031287
chinchilla_lanigera ENSCLAG00000003911
cavia_aperea ENSCAPG00000011199
cricetulus_griseus ENSCGRG00015005685
ovis_aries ENSOARG00000005299
ovis_aries ENSOARG00000007855
bison_bison ENSBBBG00000023803
equus_asinus ENSEASG00005004585
ailuropoda_melanoleuca ENSAMEG00000001758
ursus_americanus ENSUAMG00000010875
macaca_mulatta ENSMMUG00000031002
macaca_mulatta ENSMMUG00000014947
theropithecus_gelada ENSTGEG00000001189
piliocolobus_tephrosceles ENSPTEG00000033674
pan_paniscus ENSPPAG00000036097
aotus_nancymaae ENSANAG00000026768
carlito_syrichta ENSTSYG00000001781
cricetulus_griseus ENSCGRG00000000714
mesocricetus_auratus ENSMAUG00000010445
microtus_ochrogaster ENSMOCG00000001140
rattus_norvegicus ENSRNOG00000038045
octodon_degus ENSODEG00000019544
octodon_degus ENSODEG00000012716
fukomys_damarensis ENSFDAG00000017685
panthera_pardus ENSPPRG00000013513
neovison_vison ENSNVIG00000006689
tursiops_truncatus ENSTTRG00000003443
myotis_lucifugus ENSMLUG00000000464
rhinopithecus_bieti ENSRBIG00000030903
cricetulus_griseus ENSCGRG00001011923
microtus_ochrogaster ENSMOCG00000012371
jaculus_jaculus ENSJJAG00000015307
urocitellus_parryii ENSUPAG00010008601
ictidomys_tridecemlineatus ENSSTOG00000025964
oryctolagus_cuniculus ENSOCUG00000027099
tupaia_belangeri ENSTBEG00000003574
macaca_nemestrina ENSMNEG00000042248
macaca_fascicularis ENSMFAG00000034835
colobus_angolensis ENSCANG00000034424
gorilla_gorilla ENSGGOG00000007650
prolemur_simus ENSPSMG00000009043
theropithecus_gelada ENSTGEG00000028421
mandrillus_leucophaeus ENSMLEG00000027567
macaca_mulatta ENSMMUG00000041268
macaca_nemestrina ENSMNEG00000014799
macaca_fascicularis ENSMFAG00000020561
papio_anubis ENSPANG00000035673
propithecus_coquereli ENSPCOG00000026994
canis_lupus ENSCAFG00000000027
ovis_aries ENSOARG00000002798
sus_scrofa ENSSSCG00000009146
dasypus_novemcinctus ENSDNOG00000011179
colobus_angolensis ENSCANG00000007599
propithecus_coquereli ENSPCOG00000019470
oryctolagus_cuniculus ENSOCUG00000021549
sus_scrofa ENSSSCG00000036850
mandrillus_leucophaeus ENSMLEG00000027676
dasypus_novemcinctus ENSDNOG00000043623
dasypus_novemcinctus ENSDNOG00000032898
jaculus_jaculus ENSJJAG00000011099
jaculus_jaculus ENSJJAG00000008148
microtus_ochrogaster ENSMOCG00000006191
pan_paniscus ENSPPAG00000031618
pan_troglodytes ENSPTRG00000048071
nomascus_leucogenys ENSNLEG00000036268
nomascus_leucogenys ENSNLEG00000018377
callithrix_jacchus ENSCJAG00000042018
piliocolobus_tephrosceles ENSPTEG00000029117
prolemur_simus ENSPSMG00000023892
meriones_unguiculatus ENSMUGG00000025537
mus_caroli MGP_CAROLIEiJ_G0019029
mus_spicilegus ENSMSIG00000007384
cricetulus_griseus ENSCGRG00000010761
cricetulus_griseus ENSCGRG00000005418
cricetulus_griseus ENSCGRG00001025020
cricetulus_griseus ENSCGRG00015005987
microtus_ochrogaster ENSMOCG00000009243
pteropus_vampyrus ENSPVAG00000005914
capra_hircus ENSCHIG00000001904
dasypus_novemcinctus ENSDNOG00000040491
colobus_angolensis ENSCANG00000040835
piliocolobus_tephrosceles ENSPTEG00000025675
papio_anubis ENSPANG00000030732
papio_anubis ENSPANG00000033702
mandrillus_leucophaeus ENSMLEG00000026827
cercocebus_atys ENSCATG00000039742
rhinopithecus_roxellana ENSRROG00000005640
pan_paniscus ENSPPAG00000038177
pan_troglodytes ENSPTRG00000049807
gorilla_gorilla ENSGGOG00000039665
pan_troglodytes ENSPTRG00000049145
pan_paniscus ENSPPAG00000035912
gorilla_gorilla ENSGGOG00000036876
cebus_capucinus ENSCCAG00000007786
microtus_ochrogaster ENSMOCG00000003564
microtus_ochrogaster ENSMOCG00000015422
mesocricetus_auratus ENSMAUG00000016729
nannospalax_galili ENSNGAG00000020115
nannospalax_galili ENSNGAG00000023990
mus_spicilegus ENSMSIG00000028441
octodon_degus ENSODEG00000019477
heterocephalus_glaber ENSHGLG00000013930
saimiri_boliviensis ENSSBOG00000013126
carlito_syrichta ENSTSYG00000035002
canis_lupus ENSCAFG00020019290
vulpes_vulpes ENSVVUG00000006897
vulpes_vulpes ENSVVUG00000019845
ursus_americanus ENSUAMG00000010492
ursus_maritimus ENSUMAG00000008620
sus_scrofa ENSSSCG00000037130
microcebus_murinus ENSMICG00000037781
callithrix_jacchus ENSCJAG00000039424
microtus_ochrogaster ENSMOCG00000001270
microtus_ochrogaster ENSMOCG00000008285
canis_lupus ENSCAFG00020010061
canis_lupus ENSCAFG00020026238
vulpes_vulpes ENSVVUG00000029978
bos_mutus ENSBMUG00000018184
sorex_araneus ENSSARG00000000177
jaculus_jaculus ENSJJAG00000023973
octodon_degus ENSODEG00000012626
castor_canadensis ENSCCNG00000016449
oryctolagus_cuniculus ENSOCUG00000025758
microcebus_murinus ENSMICG00000042403
macaca_fascicularis ENSMFAG00000009371
ursus_americanus ENSUAMG00000010035
ursus_maritimus ENSUMAG00000025116
myotis_lucifugus ENSMLUG00000022748
vicugna_pacos ENSVPAG00000005953
canis_lupus ENSCAFG00020005267
pongo_abelii ENSPPYG00000014988
cricetulus_griseus ENSCGRG00001004565
oryctolagus_cuniculus ENSOCUG00000026786
loxodonta_africana ENSLAFG00000032615
salvator_merianae ENSSMRG00000014657
scleropages_formosus ENSSFOG00015001627
meleagris_gallopavo ENSMGAG00000002597
petromyzon_marinus ENSPMAG00000002153
eptatretus_burgeri ENSEBUG00000001009
