seriola_lalandi_dorsalis ENSSLDG00000023143
cynoglossus_semilaevis ENSCSEG00000012066
mastacembelus_armatus ENSMAMG00000019965
monopterus_albus ENSMALG00000002392
anabas_testudineus ENSATEG00000017848
labrus_bergylta ENSLBEG00000002761
poecilia_reticulata ENSPREG00000023165
fundulus_heteroclitus ENSFHEG00000005728
oryzias_melastigma ENSOMEG00000001253
astatotilapia_calliptera ENSACLG00000026123
haplochromis_burtoni ENSHBUG00000010349
amphiprion_ocellaris ENSAOCG00000003545
amphiprion_percula ENSAPEG00000015562
acanthochromis_polyacanthus ENSAPOG00000002011
esox_lucius ENSELUG00000015550
ictalurus_punctatus ENSIPUG00000017651
astyanax_mexicanus ENSAMXG00000042195
paramormyrops_kingsleyae ENSPKIG00000006712
