gallus_gallus ENSGALG00000004833
meleagris_gallopavo ENSMGAG00000006828
coturnix_japonica ENSCJPG00005006857
numida_meleagris ENSNMEG00000017455
anser_brachyrhynchus ENSABRG00000020593
anas_platyrhynchos_platyrhynchos ENSAPLG00000004260
lepidothrix_coronata ENSLCOG00000008246
manacus_vitellinus ENSMVIG00005002642
taeniopygia_guttata ENSTGUG00000017255
lonchura_striata_domestica ENSLSDG00000014993
serinus_canaria ENSSCAG00000016331
zonotrichia_albicollis ENSZALG00000011060
junco_hyemalis ENSJHYG00000015785
ficedula_albicollis ENSFALG00000010338
parus_major ENSPMJG00000002885
cyanistes_caeruleus ENSCCEG00000015579
calidris_pygmaea ENSCPGG00000004685
calidris_pugnax ENSCPUG00000019894
apteryx_haastii ENSAHAG00000016055
apteryx_rowi ENSARWG00000000336
apteryx_owenii ENSAOWG00000012023
dromaius_novaehollandiae ENSDNVG00000016079
nothoprocta_perdicaria ENSNPEG00000004416
crocodylus_porosus ENSCPRG00005014915
pogona_vitticeps ENSPVIG00000005974
notechis_scutatus ENSNSUG00000016194
salvator_merianae ENSSMRG00000008076
gopherus_agassizii ENSGAGG00000022900
chrysemys_picta_bellii ENSCPBG00000009965
chelonoidis_abingdonii ENSCABG00000006394
pelodiscus_sinensis ENSPSIG00000009744
sphenodon_punctatus ENSSPUG00000004838
phascolarctos_cinereus ENSPCIG00000009135
notamacropus_eugenii ENSMEUG00000010224
sarcophilus_harrisii ENSSHAG00000014745
monodelphis_domestica ENSMODG00000017171
equus_asinus_asinus ENSEASG00005001292
equus_caballus ENSECAG00000022675
erinaceus_europaeus ENSEEUG00000014999
ovis_aries ENSOARG00000020454
capra_hircus ENSCHIG00000008788
bos_mutus ENSBMUG00000007025
bos_taurus ENSBTAG00000017382
bison_bison_bison ENSBBBG00000009562
vicugna_pacos ENSVPAG00000011325
ursus_maritimus ENSUMAG00000024377
ursus_americanus ENSUAMG00000000484
ailuropoda_melanoleuca ENSAMEG00000002135
neovison_vison ENSNVIG00000016490
mustela_putorius_furo ENSMPUG00000013834
canis_lupus_dingo ENSCAFG00020002341
canis_lupus_familiaris ENSCAFG00000002526
vulpes_vulpes ENSVVUG00000001729
panthera_pardus ENSPPRG00000012621
panthera_tigris_altaica ENSPTIG00000010953
felis_catus ENSFCAG00000012192
myotis_lucifugus ENSMLUG00000013602
microcebus_murinus ENSMICG00000015012
propithecus_coquereli ENSPCOG00000013340
prolemur_simus ENSPSMG00000020409
otolemur_garnettii ENSOGAG00000025285
pan_paniscus ENSPPAG00000041313
pan_troglodytes ENSPTRG00000000617
homo_sapiens ENSG00000117385
pongo_abelii ENSPPYG00000001464
gorilla_gorilla ENSGGOG00000005745
nomascus_leucogenys ENSNLEG00000012339
rhinopithecus_roxellana ENSRROG00000038286
rhinopithecus_bieti ENSRBIG00000034851
colobus_angolensis_palliatus ENSCANG00000036285
macaca_fascicularis ENSMFAG00000042833
macaca_mulatta ENSMMUG00000022381
macaca_nemestrina ENSMNEG00000028256
papio_anubis ENSPANG00000024088
mandrillus_leucophaeus ENSMLEG00000034003
cercocebus_atys ENSCATG00000021814
chlorocebus_sabaeus ENSCSAG00000001170
theropithecus_gelada ENSTGEG00000025412
piliocolobus_tephrosceles ENSPTEG00000031477
saimiri_boliviensis_boliviensis ENSSBOG00000029700
callithrix_jacchus ENSCJAG00000003216
aotus_nancymaae ENSANAG00000033369
cebus_capucinus ENSCCAG00000037767
castor_canadensis ENSCCNG00000013956
dipodomys_ordii ENSDORG00000011264
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027371
mus_musculus ENSMUSG00000028641
mus_spicilegus ENSMSIG00000011133
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026394
mus_pahari MGP_PahariEiJ_G0028723
rattus_norvegicus ENSRNOG00000053991
meriones_unguiculatus ENSMUGG00000026595
peromyscus_maniculatus_bairdii ENSPEMG00000001330
microtus_ochrogaster ENSMOCG00000016299
cricetulus_griseus_chok1gshd ENSCGRG00001014713
cricetulus_griseus_crigri ENSCGRG00000001110
cricetulus_griseus_crigri-picr ENSCGRG00015002435
mesocricetus_auratus ENSMAUG00000021789
nannospalax_galili ENSNGAG00000011079
jaculus_jaculus ENSJJAG00000011354
chinchilla_lanigera ENSCLAG00000002493
octodon_degus ENSODEG00000001470
cavia_porcellus ENSCPOG00000021271
cavia_aperea ENSCAPG00000007750
heterocephalus_glaber_female ENSHGLG00000019499
heterocephalus_glaber_male ENSHGLG00100013596
fukomys_damarensis ENSFDAG00000007690
marmota_marmota_marmota ENSMMMG00000001705
ictidomys_tridecemlineatus ENSSTOG00000000119
urocitellus_parryii ENSUPAG00010009375
spermophilus_dauricus ENSSDAG00000000253
oryctolagus_cuniculus ENSOCUG00000005602
ochotona_princeps ENSOPRG00000008068
dasypus_novemcinctus ENSDNOG00000025080
loxodonta_africana ENSLAFG00000031418
pteropus_vampyrus ENSPVAG00000017479
tursiops_truncatus ENSTTRG00000001356
sus_scrofa ENSSSCG00000023920
sorex_araneus ENSSARG00000002200
carlito_syrichta ENSTSYG00000002325
echinops_telfairi ENSETEG00000007325
tupaia_belangeri ENSTBEG00000015860
procavia_capensis ENSPCAG00000000317
ornithorhynchus_anatinus ENSOANG00000009375
