ficedula_albicollis ENSFALG00000014340
parus_major ENSPMJG00000018656
serinus_canaria ENSSCAG00000009558
dasypus_novemcinctus ENSDNOG00000023704
loxodonta_africana ENSLAFG00000021732
capra_hircus ENSCHIG00000022801
ovis_aries ENSOARG00000012737
bos_taurus ENSBTAG00000016602
bison_bison_bison ENSBBBG00000020613
bos_mutus ENSBMUG00000013010
tursiops_truncatus ENSTTRG00000012722
sus_scrofa ENSSSCG00000008278
equus_caballus ENSECAG00000015630
equus_asinus_asinus ENSEASG00005010641
pteropus_vampyrus ENSPVAG00000013961
myotis_lucifugus ENSMLUG00000002672
ursus_americanus ENSUAMG00000021697
ursus_maritimus ENSUMAG00000001631
ailuropoda_melanoleuca ENSAMEG00000017222
neovison_vison ENSNVIG00000020189
canis_lupus_familiaris ENSCAFG00000029526
canis_lupus_dingo ENSCAFG00020014076
vulpes_vulpes ENSVVUG00000004440
panthera_pardus ENSPPRG00000007975
panthera_tigris_altaica ENSPTIG00000015332
felis_catus ENSFCAG00000007155
erinaceus_europaeus ENSEEUG00000001266
pan_troglodytes ENSPTRG00000012092
pan_paniscus ENSPPAG00000040020
homo_sapiens ENSG00000179528
gorilla_gorilla ENSGGOG00000006290
nomascus_leucogenys ENSNLEG00000000746
cercocebus_atys ENSCATG00000033635
mandrillus_leucophaeus ENSMLEG00000030226
macaca_nemestrina ENSMNEG00000037341
macaca_fascicularis ENSMFAG00000043381
macaca_mulatta ENSMMUG00000002125
papio_anubis ENSPANG00000012324
chlorocebus_sabaeus ENSCSAG00000015648
theropithecus_gelada ENSTGEG00000017557
rhinopithecus_bieti ENSRBIG00000031570
rhinopithecus_roxellana ENSRROG00000042711
piliocolobus_tephrosceles ENSPTEG00000036129
colobus_angolensis_palliatus ENSCANG00000027612
cebus_capucinus ENSCCAG00000035245
saimiri_boliviensis_boliviensis ENSSBOG00000033984
callithrix_jacchus ENSCJAG00000039349
aotus_nancymaae ENSANAG00000034678
carlito_syrichta ENSTSYG00000030712
prolemur_simus ENSPSMG00000020411
microcebus_murinus ENSMICG00000046194
propithecus_coquereli ENSPCOG00000005763
otolemur_garnettii ENSOGAG00000001063
heterocephalus_glaber_female ENSHGLG00000007660
heterocephalus_glaber_male ENSHGLG00100018281
fukomys_damarensis ENSFDAG00000006300
chinchilla_lanigera ENSCLAG00000014921
octodon_degus ENSODEG00000011284
cavia_porcellus ENSCPOG00000012727
urocitellus_parryii ENSUPAG00010016649
spermophilus_dauricus ENSSDAG00000017882
marmota_marmota_marmota ENSMMMG00000004780
ictidomys_tridecemlineatus ENSSTOG00000019987
castor_canadensis ENSCCNG00000003306
dipodomys_ordii ENSDORG00000010863
cricetulus_griseus_crigri-picr ENSCGRG00015014536
cricetulus_griseus_crigri ENSCGRG00000005467
cricetulus_griseus_chok1gshd ENSCGRG00001000433
mesocricetus_auratus ENSMAUG00000001333
microtus_ochrogaster ENSMOCG00000002385
peromyscus_maniculatus_bairdii ENSPEMG00000011990
mus_musculus ENSMUSG00000034968
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028541
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029547
mus_spicilegus ENSMSIG00000031583
mus_pahari MGP_PahariEiJ_G0022276
rattus_norvegicus ENSRNOG00000008466
rattus_norvegicus ENSRNOG00000052374
meriones_unguiculatus ENSMUGG00000021969
meriones_unguiculatus ENSMUGG00000021928
nannospalax_galili ENSNGAG00000004590
oryctolagus_cuniculus ENSOCUG00000025427
ochotona_princeps ENSOPRG00000014026
tupaia_belangeri ENSTBEG00000010132
phascolarctos_cinereus ENSPCIG00000036023
notamacropus_eugenii ENSMEUG00000016180
monodelphis_domestica ENSMODG00000004927
sarcophilus_harrisii ENSSHAG00000016897
