oryctolagus_cuniculus ENSOCUG00000007128
ochotona_princeps ENSOPRG00000015347
castor_canadensis ENSCCNG00000028988
equus_asinus_asinus ENSEASG00005002026
sorex_araneus ENSSARG00000000597
loxodonta_africana ENSLAFG00000032402
sarcophilus_harrisii ENSSHAG00000014494
pan_troglodytes ENSPTRG00000012801
pan_paniscus ENSPPAG00000030711
gorilla_gorilla ENSGGOG00000000209
homo_sapiens ENSG00000064012
pongo_abelii ENSPPYG00000013071
nomascus_leucogenys ENSNLEG00000032856
colobus_angolensis_palliatus ENSCANG00000029548
piliocolobus_tephrosceles ENSPTEG00000028833
rhinopithecus_bieti ENSRBIG00000044586
rhinopithecus_roxellana ENSRROG00000030879
macaca_mulatta ENSMMUG00000031296
macaca_fascicularis ENSMFAG00000034568
macaca_nemestrina ENSMNEG00000039649
papio_anubis ENSPANG00000012882
theropithecus_gelada ENSTGEG00000029115
mandrillus_leucophaeus ENSMLEG00000032037
cercocebus_atys ENSCATG00000036996
chlorocebus_sabaeus ENSCSAG00000010781
callithrix_jacchus ENSCJAG00000004551
saimiri_boliviensis_boliviensis ENSSBOG00000027346
cebus_capucinus ENSCCAG00000028402
aotus_nancymaae ENSANAG00000028822
carlito_syrichta ENSTSYG00000025421
propithecus_coquereli ENSPCOG00000024032
microcebus_murinus ENSMICG00000004468
prolemur_simus ENSPSMG00000018768
otolemur_garnettii ENSOGAG00000010735
tupaia_belangeri ENSTBEG00000016870
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014976
mus_musculus ENSMUSG00000026029
mus_spicilegus ENSMSIG00000020468
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014170
mus_pahari MGP_PahariEiJ_G0027408
rattus_norvegicus ENSRNOG00000012331
meriones_unguiculatus ENSMUGG00000015634
peromyscus_maniculatus_bairdii ENSPEMG00000021544
microtus_ochrogaster ENSMOCG00000001017
cricetulus_griseus_crigri-picr ENSCGRG00015028816
cricetulus_griseus_crigri ENSCGRG00000018191
cricetulus_griseus_chok1gshd ENSCGRG00001020998
mesocricetus_auratus ENSMAUG00000018476
jaculus_jaculus ENSJJAG00000014714
castor_canadensis ENSCCNG00000028989
spermophilus_dauricus ENSSDAG00000023357
ictidomys_tridecemlineatus ENSSTOG00000011342
urocitellus_parryii ENSUPAG00010014705
marmota_marmota_marmota ENSMMMG00000012315
pteropus_vampyrus ENSPVAG00000003273
erinaceus_europaeus ENSEEUG00000007922
capra_hircus ENSCHIG00000019146
ovis_aries ENSOARG00000016922
bos_mutus ENSBMUG00000016946
bos_taurus ENSBTAG00000015718
bison_bison_bison ENSBBBG00000012853
tursiops_truncatus ENSTTRG00000008721
vicugna_pacos ENSVPAG00000006690
sus_scrofa ENSSSCG00000028157
equus_caballus ENSECAG00000005210
equus_asinus_asinus ENSEASG00005002028
myotis_lucifugus ENSMLUG00000015535
ursus_americanus ENSUAMG00000006848
ursus_maritimus ENSUMAG00000021570
ailuropoda_melanoleuca ENSAMEG00000006066
neovison_vison ENSNVIG00000008522
mustela_putorius_furo ENSMPUG00000000240
canis_lupus_dingo ENSCAFG00020003476
canis_lupus_familiaris ENSCAFG00000025192
vulpes_vulpes ENSVVUG00000018943
panthera_pardus ENSPPRG00000015120
panthera_tigris_altaica ENSPTIG00000013873
felis_catus ENSFCAG00000025854
loxodonta_africana ENSLAFG00000018282
procavia_capensis ENSPCAG00000001635
echinops_telfairi ENSETEG00000006188
choloepus_hoffmanni ENSCHOG00000001421
dasypus_novemcinctus ENSDNOG00000035172
chinchilla_lanigera ENSCLAG00000012773
octodon_degus ENSODEG00000009065
cavia_porcellus ENSCPOG00000009618
cavia_aperea ENSCAPG00000010768
heterocephalus_glaber_male ENSHGLG00100014487
heterocephalus_glaber_female ENSHGLG00000019495
fukomys_damarensis ENSFDAG00000005301
notamacropus_eugenii ENSMEUG00000007705
phascolarctos_cinereus ENSPCIG00000019107
sarcophilus_harrisii ENSSHAG00000000760
monodelphis_domestica ENSMODG00000015183
ornithorhynchus_anatinus ENSOANG00000004013
anser_brachyrhynchus ENSABRG00000013517
anas_platyrhynchos_platyrhynchos ENSAPLG00000014872
gallus_gallus ENSGALG00000008355
meleagris_gallopavo ENSMGAG00000007846
coturnix_japonica ENSCJPG00005015246
numida_meleagris ENSNMEG00000021333
parus_major ENSPMJG00000018179
cyanistes_caeruleus ENSCCEG00000023251
ficedula_albicollis ENSFALG00000004124
zonotrichia_albicollis ENSZALG00000017931
junco_hyemalis ENSJHYG00000008763
serinus_canaria ENSSCAG00000002673
lonchura_striata_domestica ENSLSDG00000000286
manacus_vitellinus ENSMVIG00005018294
lepidothrix_coronata ENSLCOG00000016041
taeniopygia_guttata ENSTGUG00000010299
melopsittacus_undulatus ENSMUNG00000011107
calidris_pugnax ENSCPUG00000008189
calidris_pygmaea ENSCPGG00000001337
apteryx_haastii ENSAHAG00000016602
apteryx_owenii ENSAOWG00000000382
apteryx_rowi ENSARWG00000004895
dromaius_novaehollandiae ENSDNVG00000015508
nothoprocta_perdicaria ENSNPEG00000008381
crocodylus_porosus ENSCPRG00005008344
