serinus_canaria ENSSCAG00000015217
lonchura_striata ENSLSDG00000002055
taeniopygia_guttata ENSTGUG00000012534
zonotrichia_albicollis ENSZALG00000008984
junco_hyemalis ENSJHYG00000006684
parus_major ENSPMJG00000013619
ficedula_albicollis ENSFALG00000000940
manacus_vitellinus ENSMVIG00005010051
lepidothrix_coronata ENSLCOG00000001872
calidris_pygmaea ENSCPGG00000016513
calidris_pugnax ENSCPUG00000010424
meleagris_gallopavo ENSMGAG00000014941
coturnix_japonica ENSCJPG00005019575
numida_meleagris ENSNMEG00000020943
gallus_gallus ENSGALG00000016921
anas_platyrhynchos ENSAPLG00000005020
anser_brachyrhynchus ENSABRG00000000087
melopsittacus_undulatus ENSMUNG00000003216
apteryx_owenii ENSAOWG00000001435
apteryx_haastii ENSAHAG00000005407
apteryx_rowi ENSARWG00000003342
dromaius_novaehollandiae ENSDNVG00000016364
nothoprocta_perdicaria ENSNPEG00000001744
crocodylus_porosus ENSCPRG00005018669
cyanistes_caeruleus ENSCCEG00000000914
chelonoidis_abingdonii ENSCABG00000018223
gopherus_agassizii ENSGAGG00000015691
chrysemys_picta ENSCPBG00000016064
pelodiscus_sinensis ENSPSIG00000016245
anolis_carolinensis ENSACAG00000002035
pogona_vitticeps ENSPVIG00000008512
notechis_scutatus ENSNSUG00000008997
salvator_merianae ENSSMRG00000017578
sphenodon_punctatus ENSSPUG00000011947
ornithorhynchus_anatinus ENSOANG00000006493
ornithorhynchus_anatinus ENSOANG00000020116
phascolarctos_cinereus ENSPCIG00000027693
phascolarctos_cinereus ENSPCIG00000022092
vombatus_ursinus ENSVURG00010009372
notamacropus_eugenii ENSMEUG00000013706
monodelphis_domestica ENSMODG00000000990
sarcophilus_harrisii ENSSHAG00000000154
choloepus_hoffmanni ENSCHOG00000005272
dasypus_novemcinctus ENSDNOG00000044332
dipodomys_ordii ENSDORG00000004556
dipodomys_ordii ENSDORG00000028919
castor_canadensis ENSCCNG00000019884
castor_canadensis ENSCCNG00000014228
nannospalax_galili ENSNGAG00000000240
nannospalax_galili ENSNGAG00000012331
nannospalax_galili ENSNGAG00000016764
nannospalax_galili ENSNGAG00000000874
mus_spicilegus ENSMSIG00000013318
mus_spretus MGP_SPRETEiJ_G0020463
mus_musculus ENSMUSG00000022111
mus_musculus ENSMUSG00000035337
mus_spicilegus ENSMSIG00000004289
mus_caroli MGP_CAROLIEiJ_G0019567
mus_pahari MGP_PahariEiJ_G0030584
rattus_norvegicus ENSRNOG00000009530
rattus_norvegicus ENSRNOG00000046120
meriones_unguiculatus ENSMUGG00000014620
mesocricetus_auratus ENSMAUG00000018118
mesocricetus_auratus ENSMAUG00000016203
cricetulus_griseus ENSCGRG00000003935
cricetulus_griseus ENSCGRG00015002054
cricetulus_griseus ENSCGRG00001013293
peromyscus_maniculatus ENSPEMG00000019863
microtus_ochrogaster ENSMOCG00000006170
mus_caroli MGP_CAROLIEiJ_G0032342
mus_spretus MGP_SPRETEiJ_G0033481
cricetulus_griseus ENSCGRG00000014896
cricetulus_griseus ENSCGRG00001021153
jaculus_jaculus ENSJJAG00000013427
jaculus_jaculus ENSJJAG00000021577
octodon_degus ENSODEG00000004974
octodon_degus ENSODEG00000020323
chinchilla_lanigera ENSCLAG00000002780
heterocephalus_glaber ENSHGLG00100018166
heterocephalus_glaber ENSHGLG00000005038
heterocephalus_glaber ENSHGLG00000020070
heterocephalus_glaber ENSHGLG00100020683
heterocephalus_glaber ENSHGLG00100020302
heterocephalus_glaber ENSHGLG00000021105
fukomys_damarensis ENSFDAG00000014072
cavia_porcellus ENSCPOG00000012261
cavia_aperea ENSCAPG00000014589
cavia_aperea ENSCAPG00000013560
cavia_porcellus ENSCPOG00000035087
urocitellus_parryii ENSUPAG00010003836
spermophilus_dauricus ENSSDAG00000024900
ictidomys_tridecemlineatus ENSSTOG00000013054
marmota_marmota ENSMMMG00000016982
oryctolagus_cuniculus ENSOCUG00000006789
ochotona_princeps ENSOPRG00000001458
tupaia_belangeri ENSTBEG00000009821
pan_paniscus ENSPPAG00000034468
homo_sapiens ENSG00000118939
gorilla_gorilla ENSGGOG00000015683
nomascus_leucogenys ENSNLEG00000027639
macaca_nemestrina ENSMNEG00000034420
theropithecus_gelada ENSTGEG00000007334
theropithecus_gelada ENSTGEG00000003753
macaca_fascicularis ENSMFAG00000002583
papio_anubis ENSPANG00000006129
cercocebus_atys ENSCATG00000030996
chlorocebus_sabaeus ENSCSAG00000017598
mandrillus_leucophaeus ENSMLEG00000030876
rhinopithecus_bieti ENSRBIG00000039480
rhinopithecus_roxellana ENSRROG00000041349
piliocolobus_tephrosceles ENSPTEG00000013516
colobus_angolensis ENSCANG00000034122
pongo_abelii ENSPPYG00000029901
macaca_mulatta ENSMMUG00000003560
cebus_capucinus ENSCCAG00000027171
saimiri_boliviensis ENSSBOG00000029349
saimiri_boliviensis ENSSBOG00000022874
callithrix_jacchus ENSCJAG00000046868
aotus_nancymaae ENSANAG00000027922
carlito_syrichta ENSTSYG00000010248
propithecus_coquereli ENSPCOG00000012064
microcebus_murinus ENSMICG00000014333
otolemur_garnettii ENSOGAG00000017114
erinaceus_europaeus ENSEEUG00000006458
sorex_araneus ENSSARG00000000013
equus_caballus ENSECAG00000003783
equus_caballus ENSECAG00000024190
equus_asinus ENSEASG00005015511
myotis_lucifugus ENSMLUG00000029518
myotis_lucifugus ENSMLUG00000003442
myotis_lucifugus ENSMLUG00000025999
pteropus_vampyrus ENSPVAG00000012176
tursiops_truncatus ENSTTRG00000003380
sus_scrofa ENSSSCG00000009466
vicugna_pacos ENSVPAG00000011124
ovis_aries ENSOARG00000017905
ovis_aries ENSOARG00000015717
capra_hircus ENSCHIG00000018162
bos_mutus ENSBMUG00000020604
bos_taurus ENSBTAG00000008024
bos_indicus ENSBIXG00000021641
bison_bison ENSBBBG00000005532
mustela_putorius ENSMPUG00000003202
neovison_vison ENSNVIG00000014646
ursus_maritimus ENSUMAG00000010846
ursus_americanus ENSUAMG00000009645
ailuropoda_melanoleuca ENSAMEG00000011396
canis_lupus ENSCAFG00020025692
canis_lupus ENSCAFG00000029050
vulpes_vulpes ENSVVUG00000018178
panthera_pardus ENSPPRG00000013693
panthera_tigris ENSPTIG00000018112
felis_catus ENSFCAG00000027839
procavia_capensis ENSPCAG00000000139
echinops_telfairi ENSETEG00000008487
loxodonta_africana ENSLAFG00000000580
latimeria_chalumnae ENSLACG00000011335
scleropages_formosus ENSSFOG00015006539
paramormyrops_kingsleyae ENSPKIG00000013632
denticeps_clupeoides ENSDCDG00000019339
clupea_harengus ENSCHAG00000011554
astyanax_mexicanus ENSAMXG00005010908
astyanax_mexicanus ENSAMXG00000017512
pygocentrus_nattereri ENSPNAG00000015387
electrophorus_electricus ENSEEEG00000005665
ictalurus_punctatus ENSIPUG00000022130
danio_rerio ENSDARG00000030177
amphiprion_ocellaris ENSAOCG00000023314
amphiprion_percula ENSAPEG00000004393
acanthochromis_polyacanthus ENSAPOG00000021189
stegastes_partitus ENSSPAG00000006919
astatotilapia_calliptera ENSACLG00000026701
maylandia_zebra ENSMZEG00005021670
pundamilia_nyererei ENSPNYG00000012336
haplochromis_burtoni ENSHBUG00000001124
neolamprologus_brichardi ENSNBRG00000001901
oreochromis_niloticus ENSONIG00000006758
amphilophus_citrinellus ENSACIG00000021040
cottoperca_gobio ENSCGOG00000015649
gasterosteus_aculeatus ENSGACG00000001846
labrus_bergylta ENSLBEG00000026181
poecilia_formosa ENSPFOG00000011340
poecilia_latipinna ENSPLAG00000020131
poecilia_mexicana ENSPMEG00000009623
poecilia_reticulata ENSPREG00000006257
xiphophorus_maculatus ENSXMAG00000011049
xiphophorus_couchianus ENSXCOG00000018624
gambusia_affinis ENSGAFG00000021188
fundulus_heteroclitus ENSFHEG00000011207
cyprinodon_variegatus ENSCVAG00000022234
kryptolebias_marmoratus ENSKMAG00000003450
oryzias_latipes ENSORLG00020013347
oryzias_latipes ENSORLG00000011347
oryzias_latipes ENSORLG00015016692
oryzias_melastigma ENSOMEG00000013707
parambassis_ranga ENSPRNG00000003594
mola_mola ENSMMOG00000019769
takifugu_rubripes ENSTRUG00000019710
periophthalmus_magnuspinnatus ENSPMGG00000001050
monopterus_albus ENSMALG00000003256
mastacembelus_armatus ENSMAMG00000017833
anabas_testudineus ENSATEG00000006977
betta_splendens ENSBSLG00000018543
seriola_dumerili ENSSDUG00000008647
seriola_lalandi ENSSLDG00000018771
lates_calcarifer ENSLCAG00010010680
scophthalmus_maximus ENSSMAG00000002832
cynoglossus_semilaevis ENSCSEG00000006102
gouania_willdenowi ENSGWIG00000011584
hippocampus_comes ENSHCOG00000020429
gadus_morhua ENSGMOG00000019554
hucho_hucho ENSHHUG00000008010
esox_lucius ENSELUG00000001693
lepisosteus_oculatus ENSLOCG00000011397
erpetoichthys_calabaricus ENSECRG00000017705
callorhinchus_milii ENSCMIG00000009770
petromyzon_marinus ENSPMAG00000009850
eptatretus_burgeri ENSEBUG00000002339
ciona_intestinalis ENSCING00000000673
