vombatus_ursinus ENSVURG00010017883
phascolarctos_cinereus ENSPCIG00000021533
notamacropus_eugenii ENSMEUG00000006081
sarcophilus_harrisii ENSSHAG00000018151
monodelphis_domestica ENSMODG00000012312
loxodonta_africana ENSLAFG00000006727
procavia_capensis ENSPCAG00000005277
echinops_telfairi ENSETEG00000012770
dasypus_novemcinctus ENSDNOG00000011746
choloepus_hoffmanni ENSCHOG00000008859
ursus_maritimus ENSUMAG00000022039
ursus_americanus ENSUAMG00000028346
ailuropoda_melanoleuca ENSAMEG00000012049
neovison_vison ENSNVIG00000000576
mustela_putorius ENSMPUG00000013269
canis_lupus ENSCAFG00020022120
canis_lupus ENSCAFG00000010914
vulpes_vulpes ENSVVUG00000028652
panthera_pardus ENSPPRG00000006572
panthera_tigris ENSPTIG00000000403
felis_catus ENSFCAG00000014634
equus_asinus ENSEASG00005011832
equus_caballus ENSECAG00000015226
pteropus_vampyrus ENSPVAG00000006811
myotis_lucifugus ENSMLUG00000007824
bos_taurus ENSBTAG00000006328
bos_indicus ENSBIXG00000000648
bos_indicus ENSBIXG00005010924
bos_mutus ENSBMUG00000021431
bison_bison ENSBBBG00000001420
capra_hircus ENSCHIG00000007341
ovis_aries ENSOARG00000011125
tursiops_truncatus ENSTTRG00000007713
sus_scrofa ENSSSCG00000011394
vicugna_pacos ENSVPAG00000009385
sorex_araneus ENSSARG00000009707
erinaceus_europaeus ENSEEUG00000001717
chinchilla_lanigera ENSCLAG00000012000
octodon_degus ENSODEG00000018362
cavia_porcellus ENSCPOG00000008146
cavia_aperea ENSCAPG00000016413
heterocephalus_glaber ENSHGLG00100012994
heterocephalus_glaber ENSHGLG00000013189
heterocephalus_glaber ENSHGLG00000008224
heterocephalus_glaber ENSHGLG00100017238
heterocephalus_glaber ENSHGLG00000005755
fukomys_damarensis ENSFDAG00000014451
urocitellus_parryii ENSUPAG00010022656
ictidomys_tridecemlineatus ENSSTOG00000002392
spermophilus_dauricus ENSSDAG00000013714
marmota_marmota ENSMMMG00000003737
dipodomys_ordii ENSDORG00000004146
dipodomys_ordii ENSDORG00000026560
castor_canadensis ENSCCNG00000018068
microtus_ochrogaster ENSMOCG00000013425
microtus_ochrogaster ENSMOCG00000001081
peromyscus_maniculatus ENSPEMG00000017873
mesocricetus_auratus ENSMAUG00000019328
mesocricetus_auratus ENSMAUG00000014741
cricetulus_griseus ENSCGRG00001019202
cricetulus_griseus ENSCGRG00000011896
cricetulus_griseus ENSCGRG00015012214
mus_spicilegus ENSMSIG00000023504
mus_spretus MGP_SPRETEiJ_G0033806
mus_musculus ENSMUSG00000032582
mus_caroli MGP_CAROLIEiJ_G0032661
mus_pahari MGP_PahariEiJ_G0015529
rattus_norvegicus ENSRNOG00000018333
meriones_unguiculatus ENSMUGG00000017367
nannospalax_galili ENSNGAG00000015804
jaculus_jaculus ENSJJAG00000016774
oryctolagus_cuniculus ENSOCUG00000011638
ochotona_princeps ENSOPRG00000015113
tupaia_belangeri ENSTBEG00000003847
pan_troglodytes ENSPTRG00000014943
pan_paniscus ENSPPAG00000034940
homo_sapiens ENSG00000004534
gorilla_gorilla ENSGGOG00000014459
pongo_abelii ENSPPYG00000013855
nomascus_leucogenys ENSNLEG00000006932
