scleropages_formosus ENSSFOG00015014225
paramormyrops_kingsleyae ENSPKIG00000005007
gasterosteus_aculeatus ENSGACG00000019649
takifugu_rubripes ENSTRUG00000020722
labrus_bergylta ENSLBEG00000020267
seriola_dumerili ENSSDUG00000006954
cynoglossus_semilaevis ENSCSEG00000009178
mastacembelus_armatus ENSMAMG00000005941
monopterus_albus ENSMALG00000013957
seriola_lalandi_dorsalis ENSSLDG00000005365
poecilia_formosa ENSPFOG00000000121
poecilia_latipinna ENSPLAG00000012227
poecilia_mexicana ENSPMEG00000007276
poecilia_reticulata ENSPREG00000019591
gambusia_affinis ENSGAFG00000015356
fundulus_heteroclitus ENSFHEG00000021560
kryptolebias_marmoratus ENSKMAG00000005127
oryzias_melastigma ENSOMEG00000007048
oryzias_latipes ENSORLG00000005041
maylandia_zebra ENSMZEG00005002216
astatotilapia_calliptera ENSACLG00000022975
haplochromis_burtoni ENSHBUG00000019182
oreochromis_niloticus ENSONIG00000008774
amphiprion_percula ENSAPEG00000022147
acanthochromis_polyacanthus ENSAPOG00000022609
hippocampus_comes ENSHCOG00000003153
gadus_morhua ENSGMOG00000005195
esox_lucius ENSELUG00000019548
ictalurus_punctatus ENSIPUG00000014618
astyanax_mexicanus ENSAMXG00000021358
danio_rerio ENSDARG00000088639
lepisosteus_oculatus ENSLOCG00000005416
