lepidothrix_coronata ENSLCOG00000003476
lonchura_striata_domestica ENSLSDG00000006874
junco_hyemalis ENSJHYG00000011907
gallus_gallus ENSGALG00000001371
coturnix_japonica ENSCJPG00005020575
numida_meleagris ENSNMEG00000015403
calidris_pygmaea ENSCPGG00000010446
anas_platyrhynchos_platyrhynchos ENSAPLG00000023208
crocodylus_porosus ENSCPRG00005007558
gopherus_agassizii ENSGAGG00000019630
castor_canadensis ENSCCNG00000006148
dipodomys_ordii ENSDORG00000029570
fukomys_damarensis ENSFDAG00000020582
fukomys_damarensis ENSFDAG00000005065
heterocephalus_glaber_male ENSHGLG00100019991
cavia_aperea ENSCAPG00000011977
cavia_porcellus ENSCPOG00000024693
octodon_degus ENSODEG00000018557
ictidomys_tridecemlineatus ENSSTOG00000026195
urocitellus_parryii ENSUPAG00010017967
marmota_marmota_marmota ENSMMMG00000020906
spermophilus_dauricus ENSSDAG00000005061
ochotona_princeps ENSOPRG00000011188
tupaia_belangeri ENSTBEG00000001545
canis_lupus_familiaris ENSCAFG00000017893
canis_lupus_dingo ENSCAFG00020000488
erinaceus_europaeus ENSEEUG00000011422
pteropus_vampyrus ENSPVAG00000006375
equus_asinus_asinus ENSEASG00005017230
equus_caballus ENSECAG00000025171
homo_sapiens ENSG00000153976
pan_troglodytes ENSPTRG00000045588
gorilla_gorilla ENSGGOG00000022262
pongo_abelii ENSPPYG00000007998
nomascus_leucogenys ENSNLEG00000014631
colobus_angolensis_palliatus ENSCANG00000036040
mandrillus_leucophaeus ENSMLEG00000032719
mandrillus_leucophaeus ENSMLEG00000024240
macaca_mulatta ENSMMUG00000008050
cercocebus_atys ENSCATG00000038365
macaca_nemestrina ENSMNEG00000031437
macaca_fascicularis ENSMFAG00000041774
theropithecus_gelada ENSTGEG00000028096
papio_anubis ENSPANG00000023747
chlorocebus_sabaeus ENSCSAG00000009036
rhinopithecus_roxellana ENSRROG00000034995
piliocolobus_tephrosceles ENSPTEG00000036631
cebus_capucinus ENSCCAG00000036615
callithrix_jacchus ENSCJAG00000044142
saimiri_boliviensis_boliviensis ENSSBOG00000015503
aotus_nancymaae ENSANAG00000026271
rhinopithecus_bieti ENSRBIG00000033225
carlito_syrichta ENSTSYG00000008946
mustela_putorius_furo ENSMPUG00000003593
neovison_vison ENSNVIG00000019844
ursus_maritimus ENSUMAG00000000325
ursus_maritimus ENSUMAG00000021434
ursus_maritimus ENSUMAG00000021429
ursus_americanus ENSUAMG00000016570
ailuropoda_melanoleuca ENSAMEG00000013490
panthera_tigris_altaica ENSPTIG00000002903
panthera_pardus ENSPPRG00000023311
felis_catus ENSFCAG00000046796
prolemur_simus ENSPSMG00000004930
prolemur_simus ENSPSMG00000005402
propithecus_coquereli ENSPCOG00000018956
otolemur_garnettii ENSOGAG00000027942
mus_spicilegus ENSMSIG00000019537
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017345
mus_spicilegus ENSMSIG00000016785
mus_musculus ENSMUSG00000047759
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016508
mus_pahari MGP_PahariEiJ_G0017637
rattus_norvegicus ENSRNOG00000024591
meriones_unguiculatus ENSMUGG00000012022
cricetulus_griseus_crigri-picr ENSCGRG00015014329
cricetulus_griseus_chok1gshd ENSCGRG00001023549
mesocricetus_auratus ENSMAUG00000013371
microtus_ochrogaster ENSMOCG00000013823
peromyscus_maniculatus_bairdii ENSPEMG00000008141
nannospalax_galili ENSNGAG00000018722
jaculus_jaculus ENSJJAG00000017567
vicugna_pacos ENSVPAG00000012197
vulpes_vulpes ENSVVUG00000029917
bos_taurus ENSBTAG00000031107
bos_mutus ENSBMUG00000013674
bison_bison_bison ENSBBBG00000014101
capra_hircus ENSCHIG00000009870
sus_scrofa ENSSSCG00000038622
microcebus_murinus ENSMICG00000043912
choloepus_hoffmanni ENSCHOG00000006891
choloepus_hoffmanni ENSCHOG00000000645
oryctolagus_cuniculus ENSOCUG00000013333
dasypus_novemcinctus ENSDNOG00000036433
procavia_capensis ENSPCAG00000012763
procavia_capensis ENSPCAG00000013785
loxodonta_africana ENSLAFG00000021380
echinops_telfairi ENSETEG00000012632
