bison_bison_bison ENSBBBG00000007764
ovis_aries ENSOARG00000003946
bos_taurus ENSBTAG00000055292
bos_mutus ENSBMUG00000002356
tursiops_truncatus ENSTTRG00000008051
equus_caballus ENSECAG00000033189
spermophilus_dauricus ENSSDAG00000023960
spermophilus_dauricus ENSSDAG00000023976
spermophilus_dauricus ENSSDAG00000023964
spermophilus_dauricus ENSSDAG00000023971
urocitellus_parryii ENSUPAG00010010993
prolemur_simus ENSPSMG00000002456
procavia_capensis ENSPCAG00000008136
procavia_capensis ENSPCAG00000009550
echinops_telfairi ENSETEG00000014823
dasypus_novemcinctus ENSDNOG00000031574
dasypus_novemcinctus ENSDNOG00000033651
dasypus_novemcinctus ENSDNOG00000004244
dasypus_novemcinctus ENSDNOG00000034411
