dasypus_novemcinctus ENSDNOG00000018081
colobus_angolensis ENSCANG00000042039
cricetulus_griseus ENSCGRG00001015618
cricetulus_griseus ENSCGRG00000008152
loxodonta_africana ENSLAFG00000001003
echinops_telfairi ENSETEG00000004106
bison_bison ENSBBBG00000000648
notamacropus_eugenii ENSMEUG00000008413
ornithorhynchus_anatinus ENSOANG00000021475
canis_lupus ENSCAFG00020016641
ursus_americanus ENSUAMG00000016974
cebus_capucinus ENSCCAG00000018780
meriones_unguiculatus ENSMUGG00000012317
latimeria_chalumnae ENSLACG00000002971
lates_calcarifer ENSLCAG00010012020
cottoperca_gobio ENSCGOG00000010805
amphiprion_ocellaris ENSAOCG00000008729
gadus_morhua ENSGMOG00000006711
