electrophorus_electricus ENSEEEG00000014386
ictalurus_punctatus ENSIPUG00000020147
astyanax_mexicanus ENSAMXG00005021938
astyanax_mexicanus ENSAMXG00000006453
pygocentrus_nattereri ENSPNAG00000007172
danio_rerio ENSDARG00000069241
erpetoichthys_calabaricus ENSECRG00000001872
clupea_harengus ENSCHAG00000016681
denticeps_clupeoides ENSDCDG00000033629
hucho_hucho ENSHHUG00000025105
esox_lucius ENSELUG00000014807
poecilia_formosa ENSPFOG00000019216
poecilia_latipinna ENSPLAG00000001767
poecilia_mexicana ENSPMEG00000015501
poecilia_reticulata ENSPREG00000006836
xiphophorus_maculatus ENSXMAG00000026566
gambusia_affinis ENSGAFG00000013647
fundulus_heteroclitus ENSFHEG00000021492
cyprinodon_variegatus ENSCVAG00000002354
kryptolebias_marmoratus ENSKMAG00000017366
oryzias_latipes ENSORLG00020014654
oryzias_latipes ENSORLG00015009518
oryzias_latipes ENSORLG00000012535
oryzias_melastigma ENSOMEG00000005656
gouania_willdenowi ENSGWIG00000009659
cynoglossus_semilaevis ENSCSEG00000020895
anabas_testudineus ENSATEG00000015145
betta_splendens ENSBSLG00000018271
monopterus_albus ENSMALG00000022302
seriola_lalandi ENSSLDG00000000891
seriola_dumerili ENSSDUG00000001884
lates_calcarifer ENSLCAG00010021231
cottoperca_gobio ENSCGOG00000024148
gasterosteus_aculeatus ENSGACG00000009719
larimichthys_crocea ENSLCRG00005003785
amphiprion_percula ENSAPEG00000019796
amphiprion_ocellaris ENSAOCG00000014561
acanthochromis_polyacanthus ENSAPOG00000015598
stegastes_partitus ENSSPAG00000022998
parambassis_ranga ENSPRNG00000022817
labrus_bergylta ENSLBEG00000020671
mola_mola ENSMMOG00000002958
astatotilapia_calliptera ENSACLG00000022848
pundamilia_nyererei ENSPNYG00000022984
maylandia_zebra ENSMZEG00005024918
neolamprologus_brichardi ENSNBRG00000020824
oreochromis_niloticus ENSONIG00000006108
amphilophus_citrinellus ENSACIG00000011356
mastacembelus_armatus ENSMAMG00000006019
scophthalmus_maximus ENSSMAG00000018362
takifugu_rubripes ENSTRUG00000020709
hippocampus_comes ENSHCOG00000007143
gadus_morhua ENSGMOG00000006950
scleropages_formosus ENSSFOG00015004445
paramormyrops_kingsleyae ENSPKIG00000023398
lepisosteus_oculatus ENSLOCG00000017191
periophthalmus_magnuspinnatus ENSPMGG00000002209
chelonoidis_abingdonii ENSCABG00000007209
gopherus_agassizii ENSGAGG00000018059
chrysemys_picta ENSCPBG00000019945
pelodiscus_sinensis ENSPSIG00000011713
