mesocricetus_auratus ENSMAUG00000012365
cricetulus_griseus_crigri-picr ENSCGRG00015009011
microtus_ochrogaster ENSMOCG00000015914
meriones_unguiculatus ENSMUGG00000014895
rattus_norvegicus ENSRNOG00000028444
jaculus_jaculus ENSJJAG00000002498
spermophilus_dauricus ENSSDAG00000007311
urocitellus_parryii ENSUPAG00010004784
ictidomys_tridecemlineatus ENSSTOG00000031633
marmota_marmota_marmota ENSMMMG00000002036
cavia_aperea ENSCAPG00000011894
pan_paniscus ENSPPAG00000039005
pan_troglodytes ENSPTRG00000052250
gorilla_gorilla ENSGGOG00000041619
macaca_nemestrina ENSMNEG00000035608
mandrillus_leucophaeus ENSMLEG00000030899
nomascus_leucogenys ENSNLEG00000028758
callithrix_jacchus ENSCJAG00000046727
aotus_nancymaae ENSANAG00000019246
carlito_syrichta ENSTSYG00000033424
microcebus_murinus ENSMICG00000029413
microcebus_murinus ENSMICG00000032768
propithecus_coquereli ENSPCOG00000028372
prolemur_simus ENSPSMG00000021632
ursus_americanus ENSUAMG00000018523
canis_lupus_dingo ENSCAFG00020012857
neovison_vison ENSNVIG00000021464
panthera_tigris_altaica ENSPTIG00000019542
panthera_pardus ENSPPRG00000012890
felis_catus ENSFCAG00000035555
bos_mutus ENSBMUG00000000345
bos_taurus ENSBTAG00000053898
capra_hircus ENSCHIG00000013437
sus_scrofa ENSSSCG00000039481
loxodonta_africana ENSLAFG00000032349
sphenodon_punctatus ENSSPUG00000013236
crocodylus_porosus ENSCPRG00005010187
