cebus_capucinus ENSCCAG00000037413
saimiri_boliviensis_boliviensis ENSSBOG00000035065
aotus_nancymaae ENSANAG00000029858
pan_paniscus ENSPPAG00000003233
pan_troglodytes ENSPTRG00000043499
gorilla_gorilla ENSGGOG00000042221
rhinopithecus_bieti ENSRBIG00000043691
rhinopithecus_roxellana ENSRROG00000029149
piliocolobus_tephrosceles ENSPTEG00000039467
colobus_angolensis_palliatus ENSCANG00000007297
cercocebus_atys ENSCATG00000038555
mandrillus_leucophaeus ENSMLEG00000037889
macaca_fascicularis ENSMFAG00000000463
macaca_nemestrina ENSMNEG00000029271
macaca_mulatta ENSMMUG00000042428
theropithecus_gelada ENSTGEG00000013205
papio_anubis ENSPANG00000033007
nomascus_leucogenys ENSNLEG00000028627
carlito_syrichta ENSTSYG00000036310
ictalurus_punctatus ENSIPUG00000013370
eptatretus_burgeri ENSEBUG00000008686
