vicugna_pacos ENSVPAG00000000424
sus_scrofa ENSSSCG00000023993
bos_mutus ENSBMUG00000011639
bos_taurus ENSBTAG00000014441
bison_bison_bison ENSBBBG00000014112
capra_hircus ENSCHIG00000025191
ovis_aries ENSOARG00000019179
tursiops_truncatus ENSTTRG00000012166
equus_caballus ENSECAG00000036315
equus_asinus_asinus ENSEASG00005011346
pteropus_vampyrus ENSPVAG00000002197
myotis_lucifugus ENSMLUG00000015616
ursus_americanus ENSUAMG00000003789
ursus_americanus ENSUAMG00000011402
ursus_maritimus ENSUMAG00000004754
ailuropoda_melanoleuca ENSAMEG00000018170
neovison_vison ENSNVIG00000015108
mustela_putorius_furo ENSMPUG00000000426
canis_lupus_familiaris ENSCAFG00000010358
canis_lupus_dingo ENSCAFG00020007587
vulpes_vulpes ENSVVUG00000021945
panthera_pardus ENSPPRG00000015258
panthera_tigris_altaica ENSPTIG00000013461
felis_catus ENSFCAG00000030985
erinaceus_europaeus ENSEEUG00000011523
sorex_araneus ENSSARG00000010404
pan_paniscus ENSPPAG00000039055
pan_troglodytes ENSPTRG00000015205
homo_sapiens ENSG00000153283
gorilla_gorilla ENSGGOG00000010741
pongo_abelii ENSPPYG00000013559
nomascus_leucogenys ENSNLEG00000004063
cercocebus_atys ENSCATG00000037925
mandrillus_leucophaeus ENSMLEG00000040390
theropithecus_gelada ENSTGEG00000001421
papio_anubis ENSPANG00000020322
macaca_fascicularis ENSMFAG00000001986
macaca_mulatta ENSMMUG00000000688
macaca_nemestrina ENSMNEG00000039486
chlorocebus_sabaeus ENSCSAG00000006521
colobus_angolensis_palliatus ENSCANG00000001225
piliocolobus_tephrosceles ENSPTEG00000024873
rhinopithecus_bieti ENSRBIG00000026320
rhinopithecus_roxellana ENSRROG00000033507
cebus_capucinus ENSCCAG00000025445
saimiri_boliviensis_boliviensis ENSSBOG00000026911
callithrix_jacchus ENSCJAG00000020200
aotus_nancymaae ENSANAG00000027503
carlito_syrichta ENSTSYG00000000790
propithecus_coquereli ENSPCOG00000018398
prolemur_simus ENSPSMG00000013849
microcebus_murinus ENSMICG00000048386
otolemur_garnettii ENSOGAG00000008892
tupaia_belangeri ENSTBEG00000016793
cricetulus_griseus_crigri ENSCGRG00000005681
cricetulus_griseus_crigri-picr ENSCGRG00015014394
cricetulus_griseus_chok1gshd ENSCGRG00001013182
mesocricetus_auratus ENSMAUG00000015667
microtus_ochrogaster ENSMOCG00000020907
peromyscus_maniculatus_bairdii ENSPEMG00000029899
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021687
mus_spicilegus ENSMSIG00000023497
mus_musculus ENSMUSG00000022657
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020788
mus_pahari MGP_PahariEiJ_G0016487
rattus_norvegicus ENSRNOG00000023030
nannospalax_galili ENSNGAG00000019769
ictidomys_tridecemlineatus ENSSTOG00000004123
spermophilus_dauricus ENSSDAG00000006107
urocitellus_parryii ENSUPAG00010019118
marmota_marmota_marmota ENSMMMG00000011718
castor_canadensis ENSCCNG00000003860
chinchilla_lanigera ENSCLAG00000010873
octodon_degus ENSODEG00000011641
cavia_porcellus ENSCPOG00000014751
oryctolagus_cuniculus ENSOCUG00000001351
ochotona_princeps ENSOPRG00000013656
choloepus_hoffmanni ENSCHOG00000009665
dasypus_novemcinctus ENSDNOG00000044259
echinops_telfairi ENSETEG00000015326
sarcophilus_harrisii ENSSHAG00000014286
phascolarctos_cinereus ENSPCIG00000017799
monodelphis_domestica ENSMODG00000018085
anolis_carolinensis ENSACAG00000028406
pogona_vitticeps ENSPVIG00000010565
sphenodon_punctatus ENSSPUG00000001405
anser_brachyrhynchus ENSABRG00000004531
anas_platyrhynchos_platyrhynchos ENSAPLG00000013299
calidris_pugnax ENSCPUG00000004252
calidris_pygmaea ENSCPGG00000015572
ficedula_albicollis ENSFALG00000006353
taeniopygia_guttata ENSTGUG00000013599
apteryx_owenii ENSAOWG00000014973
apteryx_haastii ENSAHAG00000000677
apteryx_rowi ENSARWG00000011492
nothoprocta_perdicaria ENSNPEG00000008714
crocodylus_porosus ENSCPRG00005009872
chrysemys_picta_bellii ENSCPBG00000005377
gopherus_agassizii ENSGAGG00000016579
pelodiscus_sinensis ENSPSIG00000017072
ornithorhynchus_anatinus ENSOANG00000030920
danio_rerio ENSDARG00000095640
