monopterus_albus ENSMALG00000011557
oreochromis_niloticus ENSONIG00000019144
cynoglossus_semilaevis ENSCSEG00000001809
scophthalmus_maximus ENSSMAG00000012421
seriola_dumerili ENSSDUG00000015331
ovis_aries ENSOARG00000003113
paramormyrops_kingsleyae ENSPKIG00000017805
scleropages_formosus ENSSFOG00015007686
pygocentrus_nattereri ENSPNAG00000012681
astyanax_mexicanus ENSAMXG00000037905
ictalurus_punctatus ENSIPUG00000006351
danio_rerio ENSDARG00000109963
esox_lucius ENSELUG00000014394
lepisosteus_oculatus ENSLOCG00000007558
apteryx_owenii ENSAOWG00000019114
apteryx_rowi ENSARWG00000009948
apteryx_haastii ENSAHAG00000014830
dromaius_novaehollandiae ENSDNVG00000004304
anser_brachyrhynchus ENSABRG00000005804
anas_platyrhynchos ENSAPLG00000012399
gallus_gallus ENSGALG00000010470
coturnix_japonica ENSCJPG00005001381
meleagris_gallopavo ENSMGAG00000011833
numida_meleagris ENSNMEG00000005842
lepidothrix_coronata ENSLCOG00000010198
manacus_vitellinus ENSMVIG00005012966
taeniopygia_guttata ENSTGUG00000011634
lonchura_striata ENSLSDG00000010339
serinus_canaria ENSSCAG00000010367
zonotrichia_albicollis ENSZALG00000013119
junco_hyemalis ENSJHYG00000012221
cyanistes_caeruleus ENSCCEG00000020190
parus_major ENSPMJG00000005986
ficedula_albicollis ENSFALG00000001224
melopsittacus_undulatus ENSMUNG00000005499
calidris_pygmaea ENSCPGG00000008932
calidris_pugnax ENSCPUG00000000622
nothoprocta_perdicaria ENSNPEG00000011865
crocodylus_porosus ENSCPRG00005009534
gopherus_agassizii ENSGAGG00000001430
chelonoidis_abingdonii ENSCABG00000016390
chrysemys_picta ENSCPBG00000013586
pelodiscus_sinensis ENSPSIG00000016629
pogona_vitticeps ENSPVIG00000012627
anolis_carolinensis ENSACAG00000008136
notechis_scutatus ENSNSUG00000011287
salvator_merianae ENSSMRG00000014033
sphenodon_punctatus ENSSPUG00000011436
notamacropus_eugenii ENSMEUG00000000066
phascolarctos_cinereus ENSPCIG00000010288
monodelphis_domestica ENSMODG00000013493
mus_spretus MGP_SPRETEiJ_G0031719
mus_spicilegus ENSMSIG00000025406
mus_musculus ENSMUSG00000091002
mus_caroli MGP_CAROLIEiJ_G0030608
mus_pahari MGP_PahariEiJ_G0013813
rattus_norvegicus ENSRNOG00000016737
meriones_unguiculatus ENSMUGG00000026674
peromyscus_maniculatus ENSPEMG00000023624
microtus_ochrogaster ENSMOCG00000006531
cricetulus_griseus ENSCGRG00001022062
cricetulus_griseus ENSCGRG00015027923
mesocricetus_auratus ENSMAUG00000004410
nannospalax_galili ENSNGAG00000013263
jaculus_jaculus ENSJJAG00000000675
dipodomys_ordii ENSDORG00000013471
spermophilus_dauricus ENSSDAG00000024355
marmota_marmota ENSMMMG00000003422
ictidomys_tridecemlineatus ENSSTOG00000002199
urocitellus_parryii ENSUPAG00010006942
cavia_porcellus ENSCPOG00000001709
cavia_aperea ENSCAPG00000006885
chinchilla_lanigera ENSCLAG00000004268
octodon_degus ENSODEG00000017091
heterocephalus_glaber ENSHGLG00000014281
heterocephalus_glaber ENSHGLG00100011204
fukomys_damarensis ENSFDAG00000017671
tupaia_belangeri ENSTBEG00000004845
pan_troglodytes ENSPTRG00000003063
pan_paniscus ENSPPAG00000038899
homo_sapiens ENSG00000176769
gorilla_gorilla ENSGGOG00000012281
pongo_abelii ENSPPYG00000002769
piliocolobus_tephrosceles ENSPTEG00000029424
colobus_angolensis ENSCANG00000039028
rhinopithecus_bieti ENSRBIG00000038246
rhinopithecus_roxellana ENSRROG00000033754
macaca_nemestrina ENSMNEG00000040017
macaca_fascicularis ENSMFAG00000043079
mandrillus_leucophaeus ENSMLEG00000033268
cercocebus_atys ENSCATG00000011359
theropithecus_gelada ENSTGEG00000029004
papio_anubis ENSPANG00000020163
macaca_mulatta ENSMMUG00000010593
chlorocebus_sabaeus ENSCSAG00000004410
nomascus_leucogenys ENSNLEG00000001536
saimiri_boliviensis ENSSBOG00000030382
cebus_capucinus ENSCCAG00000029266
callithrix_jacchus ENSCJAG00000014418
aotus_nancymaae ENSANAG00000027882
carlito_syrichta ENSTSYG00000033840
propithecus_coquereli ENSPCOG00000024511
microcebus_murinus ENSMICG00000045377
oryctolagus_cuniculus ENSOCUG00000029077
ochotona_princeps ENSOPRG00000001539
ursus_maritimus ENSUMAG00000009552
ailuropoda_melanoleuca ENSAMEG00000006147
mustela_putorius ENSMPUG00000002429
neovison_vison ENSNVIG00000009195
canis_lupus ENSCAFG00020019728
canis_lupus ENSCAFG00000010878
panthera_pardus ENSPPRG00000003602
panthera_tigris ENSPTIG00000007389
felis_catus ENSFCAG00000018390
myotis_lucifugus ENSMLUG00000002932
pteropus_vampyrus ENSPVAG00000008230
sus_scrofa ENSSSCG00000037698
vicugna_pacos ENSVPAG00000002654
ovis_aries ENSOARG00000015304
ovis_aries ENSOARG00000015276
capra_hircus ENSCHIG00000017198
bison_bison ENSBBBG00000002262
bos_mutus ENSBMUG00000015854
tursiops_truncatus ENSTTRG00000008059
equus_caballus ENSECAG00000024936
equus_asinus ENSEASG00005014950
loxodonta_africana ENSLAFG00000018503
procavia_capensis ENSPCAG00000000193
echinops_telfairi ENSETEG00000006905
choloepus_hoffmanni ENSCHOG00000009822
dasypus_novemcinctus ENSDNOG00000040737
ornithorhynchus_anatinus ENSOANG00000028768
ornithorhynchus_anatinus ENSOANG00000030723
xenopus_tropicalis ENSXETG00000005440
