anser_brachyrhynchus ENSABRG00000006372
anas_platyrhynchos_platyrhynchos ENSAPLG00000008178
meleagris_gallopavo ENSMGAG00000006462
coturnix_japonica ENSCJPG00005003222
gallus_gallus ENSGALG00000005852
numida_meleagris ENSNMEG00000016033
lepidothrix_coronata ENSLCOG00000013734
manacus_vitellinus ENSMVIG00005004770
taeniopygia_guttata ENSTGUG00000007405
lonchura_striata_domestica ENSLSDG00000006303
junco_hyemalis ENSJHYG00000012489
zonotrichia_albicollis ENSZALG00000010050
serinus_canaria ENSSCAG00000014600
parus_major ENSPMJG00000007243
cyanistes_caeruleus ENSCCEG00000021574
ficedula_albicollis ENSFALG00000010370
melopsittacus_undulatus ENSMUNG00000007556
calidris_pygmaea ENSCPGG00000010243
calidris_pugnax ENSCPUG00000006810
apteryx_haastii ENSAHAG00000002234
apteryx_rowi ENSARWG00000009717
apteryx_owenii ENSAOWG00000000973
nothoprocta_perdicaria ENSNPEG00000009509
crocodylus_porosus ENSCPRG00005005952
chelonoidis_abingdonii ENSCABG00000000899
gopherus_agassizii ENSGAGG00000008819
chrysemys_picta_bellii ENSCPBG00000027211
pelodiscus_sinensis ENSPSIG00000011019
anolis_carolinensis ENSACAG00000024839
pogona_vitticeps ENSPVIG00000014753
notechis_scutatus ENSNSUG00000008161
salvator_merianae ENSSMRG00000013964
sphenodon_punctatus ENSSPUG00000000737
phascolarctos_cinereus ENSPCIG00000017972
notamacropus_eugenii ENSMEUG00000010989
sarcophilus_harrisii ENSSHAG00000018268
monodelphis_domestica ENSMODG00000016887
echinops_telfairi ENSETEG00000016990
procavia_capensis ENSPCAG00000000993
pteropus_vampyrus ENSPVAG00000002736
myotis_lucifugus ENSMLUG00000014577
ursus_maritimus ENSUMAG00000022204
ursus_americanus ENSUAMG00000025219
ailuropoda_melanoleuca ENSAMEG00000001582
neovison_vison ENSNVIG00000019464
mustela_putorius_furo ENSMPUG00000008349
canis_lupus_dingo ENSCAFG00020001858
canis_lupus_familiaris ENSCAFG00000012942
vulpes_vulpes ENSVVUG00000015166
panthera_pardus ENSPPRG00000009301
felis_catus ENSFCAG00000008678
equus_asinus_asinus ENSEASG00005023170
equus_caballus ENSECAG00000010972
bos_taurus ENSBTAG00000001985
bos_mutus ENSBMUG00000017186
bison_bison_bison ENSBBBG00000018118
capra_hircus ENSCHIG00000014015
ovis_aries ENSOARG00000010780
tursiops_truncatus ENSTTRG00000016240
sus_scrofa ENSSSCG00000036706
erinaceus_europaeus ENSEEUG00000009151
sorex_araneus ENSSARG00000009089
pan_paniscus ENSPPAG00000032626
pan_troglodytes ENSPTRG00000013741
homo_sapiens ENSG00000125508
gorilla_gorilla ENSGGOG00000011330
pongo_abelii ENSPPYG00000011239
nomascus_leucogenys ENSNLEG00000010077
colobus_angolensis_palliatus ENSCANG00000033034
piliocolobus_tephrosceles ENSPTEG00000005147
rhinopithecus_bieti ENSRBIG00000036167
rhinopithecus_roxellana ENSRROG00000019037
papio_anubis ENSPANG00000011751
theropithecus_gelada ENSTGEG00000008714
mandrillus_leucophaeus ENSMLEG00000042766
cercocebus_atys ENSCATG00000037362
macaca_fascicularis ENSMFAG00000039048
macaca_nemestrina ENSMNEG00000022895
chlorocebus_sabaeus ENSCSAG00000016405
cebus_capucinus ENSCCAG00000038086
saimiri_boliviensis_boliviensis ENSSBOG00000030339
callithrix_jacchus ENSCJAG00000010253
aotus_nancymaae ENSANAG00000026924
carlito_syrichta ENSTSYG00000030556
propithecus_coquereli ENSPCOG00000024367
prolemur_simus ENSPSMG00000001001
microcebus_murinus ENSMICG00000044206
otolemur_garnettii ENSOGAG00000008816
cricetulus_griseus_crigri-picr ENSCGRG00015017188
cricetulus_griseus_crigri ENSCGRG00000011745
cricetulus_griseus_chok1gshd ENSCGRG00001017493
mesocricetus_auratus ENSMAUG00000017526
peromyscus_maniculatus_bairdii ENSPEMG00000011231
microtus_ochrogaster ENSMOCG00000005339
mus_spicilegus ENSMSIG00000013408
mus_musculus ENSMUSG00000027579
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025725
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024800
mus_pahari MGP_PahariEiJ_G0026247
rattus_norvegicus ENSRNOG00000013003
meriones_unguiculatus ENSMUGG00000002152
meriones_unguiculatus ENSMUGG00000005101
nannospalax_galili ENSNGAG00000012152
jaculus_jaculus ENSJJAG00000020649
castor_canadensis ENSCCNG00000028372
ictidomys_tridecemlineatus ENSSTOG00000007835
urocitellus_parryii ENSUPAG00010004602
spermophilus_dauricus ENSSDAG00000007534
marmota_marmota_marmota ENSMMMG00000001913
chinchilla_lanigera ENSCLAG00000005546
octodon_degus ENSODEG00000007310
cavia_porcellus ENSCPOG00000006895
cavia_aperea ENSCAPG00000017816
heterocephalus_glaber_female ENSHGLG00000006434
heterocephalus_glaber_male ENSHGLG00100003956
fukomys_damarensis ENSFDAG00000012876
ornithorhynchus_anatinus ENSOANG00000004911
xenopus_tropicalis ENSXETG00000033189
latimeria_chalumnae ENSLACG00000004100
pygocentrus_nattereri ENSPNAG00000015678
astyanax_mexicanus ENSAMXG00000040866
danio_rerio ENSDARG00000077783
pundamilia_nyererei ENSPNYG00000023871
neolamprologus_brichardi ENSNBRG00000023377
amphiprion_percula ENSAPEG00000021849
amphiprion_ocellaris ENSAOCG00000005942
cyprinodon_variegatus ENSCVAG00000006610
poecilia_reticulata ENSPREG00000020054
scophthalmus_maximus ENSSMAG00000016973
labrus_bergylta ENSLBEG00000009811
paramormyrops_kingsleyae ENSPKIG00000004727
scleropages_formosus ENSSFOG00015000679
lepisosteus_oculatus ENSLOCG00000005207
