poecilia_latipinna ENSPLAG00000019607
poecilia_mexicana ENSPMEG00000001949
poecilia_reticulata ENSPREG00000018990
gambusia_affinis ENSGAFG00000001639
oryzias_latipes_asm223469v1 ENSORLG00015013424
oryzias_latipes ENSORLG00000025532
oryzias_latipes ENSORLG00020007832
oryzias_melastigma ENSOMEG00000019676
scophthalmus_maximus ENSSMAG00000011208
cynoglossus_semilaevis ENSCSEG00000009611
mastacembelus_armatus ENSMAMG00000018434
monopterus_albus ENSMALG00000006581
anabas_testudineus ENSATEG00000020065
hippocampus_comes ENSHCOG00000019351
mola_mola ENSMMOG00000018732
acanthochromis_polyacanthus ENSAPOG00000008410
amphiprion_percula ENSAPEG00000024087
stegastes_partitus ENSSPAG00000011894
haplochromis_burtoni ENSHBUG00000003775
maylandia_zebra ENSMZEG00005018665
pundamilia_nyererei ENSPNYG00000013354
astatotilapia_calliptera ENSACLG00000020068
neolamprologus_brichardi ENSNBRG00000006549
amphilophus_citrinellus ENSACIG00000003719
labrus_bergylta ENSLBEG00000005079
seriola_lalandi_dorsalis ENSSLDG00000018229
seriola_dumerili ENSSDUG00000005042
