numida_meleagris ENSNMEG00000003953
gallus_gallus ENSGALG00000002735
melopsittacus_undulatus ENSMUNG00000006549
parus_major ENSPMJG00000012514
cyanistes_caeruleus ENSCCEG00000012447
taeniopygia_guttata ENSTGUG00000001766
lonchura_striata_domestica ENSLSDG00000007250
junco_hyemalis ENSJHYG00000016746
calidris_pugnax ENSCPUG00000017636
apteryx_rowi ENSARWG00000000464
apteryx_owenii ENSAOWG00000005069
apteryx_haastii ENSAHAG00000017938
dromaius_novaehollandiae ENSDNVG00000014302
meleagris_gallopavo ENSMGAG00000005996
coturnix_japonica ENSCJPG00005017861
ficedula_albicollis ENSFALG00000003741
calidris_pygmaea ENSCPGG00000018081
nothoprocta_perdicaria ENSNPEG00000004463
anas_platyrhynchos_platyrhynchos ENSAPLG00000018813
anas_platyrhynchos_platyrhynchos ENSAPLG00000016719
anser_brachyrhynchus ENSABRG00000011563
lepidothrix_coronata ENSLCOG00000015685
manacus_vitellinus ENSMVIG00005018743
serinus_canaria ENSSCAG00000015962
zonotrichia_albicollis ENSZALG00000009885
crocodylus_porosus ENSCPRG00005014174
pogona_vitticeps ENSPVIG00000010120
notamacropus_eugenii ENSMEUG00000007477
phascolarctos_cinereus ENSPCIG00000006365
procavia_capensis ENSPCAG00000015643
myotis_lucifugus ENSMLUG00000001766
sorex_araneus ENSSARG00000005105
equus_caballus ENSECAG00000016725
equus_asinus_asinus ENSEASG00005021020
ursus_americanus ENSUAMG00000014134
ursus_maritimus ENSUMAG00000010818
ailuropoda_melanoleuca ENSAMEG00000000920
mustela_putorius_furo ENSMPUG00000003241
neovison_vison ENSNVIG00000012017
canis_lupus_dingo ENSCAFG00020006493
canis_lupus_familiaris ENSCAFG00000001239
vulpes_vulpes ENSVVUG00000026146
panthera_tigris_altaica ENSPTIG00000020823
panthera_pardus ENSPPRG00000006052
felis_catus ENSFCAG00000022931
tursiops_truncatus ENSTTRG00000007855
sus_scrofa ENSSSCG00000001533
vicugna_pacos ENSVPAG00000003108
bos_mutus ENSBMUG00000010967
bos_taurus ENSBTAG00000016887
bison_bison_bison ENSBBBG00000013897
