heterocephalus_glaber_female ENSHGLG00000001688
heterocephalus_glaber_male ENSHGLG00100009726
fukomys_damarensis ENSFDAG00000005943
octodon_degus ENSODEG00000019260
chinchilla_lanigera ENSCLAG00000007403
cavia_porcellus ENSCPOG00000037471
cavia_aperea ENSCAPG00000005806
phascolarctos_cinereus ENSPCIG00000021050
notamacropus_eugenii ENSMEUG00000015971
monodelphis_domestica ENSMODG00000023329
myotis_lucifugus ENSMLUG00000017551
erinaceus_europaeus ENSEEUG00000004012
panthera_pardus ENSPPRG00000021508
panthera_tigris_altaica ENSPTIG00000006283
felis_catus ENSFCAG00000005573
canis_lupus_dingo ENSCAFG00020021458
canis_lupus_familiaris ENSCAFG00000029347
vulpes_vulpes ENSVVUG00000015847
ursus_maritimus ENSUMAG00000002894
ursus_americanus ENSUAMG00000014165
ailuropoda_melanoleuca ENSAMEG00000018850
neovison_vison ENSNVIG00000019322
pteropus_vampyrus ENSPVAG00000007397
sorex_araneus ENSSARG00000004374
equus_caballus ENSECAG00000036379
equus_asinus_asinus ENSEASG00005009167
cebus_capucinus ENSCCAG00000002831
saimiri_boliviensis_boliviensis ENSSBOG00000036386
aotus_nancymaae ENSANAG00000031426
macaca_fascicularis ENSMFAG00000030199
macaca_nemestrina ENSMNEG00000004622
papio_anubis ENSPANG00000003332
cercocebus_atys ENSCATG00000011577
rhinopithecus_bieti ENSRBIG00000027648
rhinopithecus_roxellana ENSRROG00000024908
piliocolobus_tephrosceles ENSPTEG00000026100
mandrillus_leucophaeus ENSMLEG00000024425
chlorocebus_sabaeus ENSCSAG00000018971
pan_troglodytes ENSPTRG00000042771
pan_paniscus ENSPPAG00000019702
gorilla_gorilla ENSGGOG00000037676
homo_sapiens ENSG00000198523
nomascus_leucogenys ENSNLEG00000029331
macaca_mulatta ENSMMUG00000045439
theropithecus_gelada ENSTGEG00000004936
colobus_angolensis_palliatus ENSCANG00000016268
pongo_abelii ENSPPYG00000018685
prolemur_simus ENSPSMG00000022297
castor_canadensis ENSCCNG00000020913
dipodomys_ordii ENSDORG00000028705
urocitellus_parryii ENSUPAG00010021993
spermophilus_dauricus ENSSDAG00000011906
ictidomys_tridecemlineatus ENSSTOG00000033902
marmota_marmota_marmota ENSMMMG00000016004
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015319
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016128
mus_musculus ENSMUSG00000038583
mus_spicilegus ENSMSIG00000022553
mus_pahari MGP_PahariEiJ_G0030736
rattus_norvegicus ENSRNOG00000000413
meriones_unguiculatus ENSMUGG00000004956
cricetulus_griseus_crigri-picr ENSCGRG00015024620
cricetulus_griseus_crigri ENSCGRG00000018731
cricetulus_griseus_chok1gshd ENSCGRG00001002992
mesocricetus_auratus ENSMAUG00000007750
microtus_ochrogaster ENSMOCG00000007426
peromyscus_maniculatus_bairdii ENSPEMG00000029021
nannospalax_galili ENSNGAG00000021366
oryctolagus_cuniculus ENSOCUG00000013865
sus_scrofa ENSSSCG00000034163
vicugna_pacos ENSVPAG00000000403
tursiops_truncatus ENSTTRG00000013962
bos_taurus ENSBTAG00000012931
bos_mutus ENSBMUG00000020142
bison_bison_bison ENSBBBG00000010007
capra_hircus ENSCHIG00000011759
ovis_aries ENSOARG00000019971
choloepus_hoffmanni ENSCHOG00000001599
dasypus_novemcinctus ENSDNOG00000044223
echinops_telfairi ENSETEG00000013736
loxodonta_africana ENSLAFG00000014849
ochotona_princeps ENSOPRG00000004948
otolemur_garnettii ENSOGAG00000009077
jaculus_jaculus ENSJJAG00000003066
pogona_vitticeps ENSPVIG00000004272
anolis_carolinensis ENSACAG00000017688
salvator_merianae ENSSMRG00000012356
crocodylus_porosus ENSCPRG00005004410
gopherus_agassizii ENSGAGG00000021339
chelonoidis_abingdonii ENSCABG00000009080
pelodiscus_sinensis ENSPSIG00000011775
sphenodon_punctatus ENSSPUG00000009856
apteryx_haastii ENSAHAG00000007998
apteryx_rowi ENSARWG00000010775
apteryx_owenii ENSAOWG00000006040
dromaius_novaehollandiae ENSDNVG00000007053
anas_platyrhynchos_platyrhynchos ENSAPLG00000002357
anser_brachyrhynchus ENSABRG00000000072
meleagris_gallopavo ENSMGAG00000013343
gallus_gallus ENSGALG00000027583
numida_meleagris ENSNMEG00000022141
calidris_pygmaea ENSCPGG00000012376
calidris_pugnax ENSCPUG00000008819
lepidothrix_coronata ENSLCOG00000016209
manacus_vitellinus ENSMVIG00005017915
parus_major ENSPMJG00000014007
cyanistes_caeruleus ENSCCEG00000014927
ficedula_albicollis ENSFALG00000015284
taeniopygia_guttata ENSTGUG00000011882
lonchura_striata_domestica ENSLSDG00000001640
junco_hyemalis ENSJHYG00000016889
notechis_scutatus ENSNSUG00000004013
ornithorhynchus_anatinus ENSOANG00000009499
nothoprocta_perdicaria ENSNPEG00000006036
pygocentrus_nattereri ENSPNAG00000014144
astyanax_mexicanus ENSAMXG00000029466
ictalurus_punctatus ENSIPUG00000021018
esox_lucius ENSELUG00000021075
astyanax_mexicanus ENSAMXG00000042182
pygocentrus_nattereri ENSPNAG00000022934
ictalurus_punctatus ENSIPUG00000005705
danio_rerio ENSDARG00000097256
xiphophorus_maculatus ENSXMAG00000023701
xiphophorus_couchianus ENSXCOG00000020320
poecilia_latipinna ENSPLAG00000006471
poecilia_mexicana ENSPMEG00000001078
poecilia_reticulata ENSPREG00000012176
poecilia_formosa ENSPFOG00000020186
gambusia_affinis ENSGAFG00000003374
fundulus_heteroclitus ENSFHEG00000002689
cyprinodon_variegatus ENSCVAG00000007824
oryzias_latipes_asm223469v1 ENSORLG00015011533
oryzias_latipes ENSORLG00000029115
oryzias_melastigma ENSOMEG00000018479
stegastes_partitus ENSSPAG00000010153
mola_mola ENSMMOG00000006337
maylandia_zebra ENSMZEG00005008616
haplochromis_burtoni ENSHBUG00000003035
astatotilapia_calliptera ENSACLG00000002688
pundamilia_nyererei ENSPNYG00000006875
neolamprologus_brichardi ENSNBRG00000019806
kryptolebias_marmoratus ENSKMAG00000002463
amphiprion_percula ENSAPEG00000005697
amphiprion_percula ENSAPEG00000005823
amphiprion_ocellaris ENSAOCG00000001762
acanthochromis_polyacanthus ENSAPOG00000019598
takifugu_rubripes ENSTRUG00000021847
hippocampus_comes ENSHCOG00000006317
anabas_testudineus ENSATEG00000019549
scophthalmus_maximus ENSSMAG00000012251
seriola_lalandi_dorsalis ENSSLDG00000002879
monopterus_albus ENSMALG00000016564
seriola_dumerili ENSSDUG00000004453
mastacembelus_armatus ENSMAMG00000021930
labrus_bergylta ENSLBEG00000011222
cynoglossus_semilaevis ENSCSEG00000002332
amphilophus_citrinellus ENSACIG00000011312
periophthalmus_magnuspinnatus ENSPMGG00000015174
paramormyrops_kingsleyae ENSPKIG00000014130
scleropages_formosus ENSSFOG00015016356
