saimiri_boliviensis_boliviensis ENSSBOG00000028205
nomascus_leucogenys ENSNLEG00000028474
pan_troglodytes ENSPTRG00000023813
pan_paniscus ENSPPAG00000036919
gorilla_gorilla ENSGGOG00000015116
homo_sapiens ENSG00000172687
pongo_abelii ENSPPYG00000009784
nomascus_leucogenys ENSNLEG00000031200
macaca_fascicularis ENSMFAG00000037242
macaca_mulatta ENSMMUG00000023159
cercocebus_atys ENSCATG00000043096
theropithecus_gelada ENSTGEG00000017378
mandrillus_leucophaeus ENSMLEG00000003090
rhinopithecus_roxellana ENSRROG00000032543
colobus_angolensis_palliatus ENSCANG00000040918
rhinopithecus_roxellana ENSRROG00000042538
theropithecus_gelada ENSTGEG00000017653
callithrix_jacchus ENSCJAG00000039988
callithrix_jacchus ENSCJAG00000002028
loxodonta_africana ENSLAFG00000030057
