haplochromis_burtoni ENSHBUG00000017008
neolamprologus_brichardi ENSNBRG00000008871
amphilophus_citrinellus ENSACIG00000004550
poecilia_mexicana ENSPMEG00000004915
poecilia_latipinna ENSPLAG00000016997
poecilia_reticulata ENSPREG00000000944
xiphophorus_maculatus ENSXMAG00000027654
xiphophorus_couchianus ENSXCOG00000012692
gambusia_affinis ENSGAFG00000016991
cyprinodon_variegatus ENSCVAG00000023066
fundulus_heteroclitus ENSFHEG00000012949
kryptolebias_marmoratus ENSKMAG00000018684
periophthalmus_magnuspinnatus ENSPMGG00000012442
mola_mola ENSMMOG00000009539
monopterus_albus ENSMALG00000018614
seriola_dumerili ENSSDUG00000005544
seriola_lalandi_dorsalis ENSSLDG00000024362
mastacembelus_armatus ENSMAMG00000018615
scophthalmus_maximus ENSSMAG00000005315
anabas_testudineus ENSATEG00000019974
acanthochromis_polyacanthus ENSAPOG00000005797
stegastes_partitus ENSSPAG00000012944
amphiprion_ocellaris ENSAOCG00000007107
amphiprion_percula ENSAPEG00000018951
bison_bison_bison ENSBBBG00000001371
