peromyscus_maniculatus_bairdii ENSPEMG00000008527
microtus_ochrogaster ENSMOCG00000004307
cricetulus_griseus_crigri-picr ENSCGRG00015016716
cricetulus_griseus_crigri ENSCGRG00000002467
cricetulus_griseus_chok1gshd ENSCGRG00001005790
mus_musculus ENSMUSG00000031329
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034473
mus_spicilegus ENSMSIG00000004336
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033309
mus_pahari MGP_PahariEiJ_G0031847
rattus_norvegicus ENSRNOG00000002925
jaculus_jaculus ENSJJAG00000013578
