lepisosteus_oculatus ENSLOCG00000012632
erpetoichthys_calabaricus ENSECRG00000008744
clupea_harengus ENSCHAG00000026933
denticeps_clupeoides ENSDCDG00000027596
astyanax_mexicanus ENSAMXG00000020262
astyanax_mexicanus ENSAMXG00005012121
pygocentrus_nattereri ENSPNAG00000013267
electrophorus_electricus ENSEEEG00000021357
ictalurus_punctatus ENSIPUG00000023409
danio_rerio ENSDARG00000077818
hucho_hucho ENSHHUG00000024801
hucho_hucho ENSHHUG00000035359
esox_lucius ENSELUG00000022713
kryptolebias_marmoratus ENSKMAG00000022193
gouania_willdenowi ENSGWIG00000018622
betta_splendens ENSBSLG00000026652
tetraodon_nigroviridis ENSTNIG00000010004
takifugu_rubripes ENSTRUG00000017016
hippocampus_comes ENSHCOG00000019891
fundulus_heteroclitus ENSFHEG00000016058
cyprinodon_variegatus ENSCVAG00000013810
xiphophorus_maculatus ENSXMAG00000027575
xiphophorus_couchianus ENSXCOG00000017149
gambusia_affinis ENSGAFG00000001738
poecilia_latipinna ENSPLAG00000008521
poecilia_formosa ENSPFOG00000018958
poecilia_mexicana ENSPMEG00000001888
poecilia_reticulata ENSPREG00000019119
oryzias_latipes ENSORLG00000006095
oryzias_latipes ENSORLG00015013263
oryzias_latipes ENSORLG00020007685
oryzias_melastigma ENSOMEG00000020207
cynoglossus_semilaevis ENSCSEG00000009409
seriola_lalandi ENSSLDG00000018318
seriola_dumerili ENSSDUG00000005225
scophthalmus_maximus ENSSMAG00000011327
monopterus_albus ENSMALG00000014273
mastacembelus_armatus ENSMAMG00000018282
labrus_bergylta ENSLBEG00000004849
amphiprion_ocellaris ENSAOCG00000007857
amphiprion_percula ENSAPEG00000024139
acanthochromis_polyacanthus ENSAPOG00000008304
astatotilapia_calliptera ENSACLG00000019475
maylandia_zebra ENSMZEG00005018590
pundamilia_nyererei ENSPNYG00000013643
haplochromis_burtoni ENSHBUG00000004528
neolamprologus_brichardi ENSNBRG00000006035
oreochromis_niloticus ENSONIG00000004994
amphilophus_citrinellus ENSACIG00000003410
stegastes_partitus ENSSPAG00000011991
anabas_testudineus ENSATEG00000019816
parambassis_ranga ENSPRNG00000013554
cottoperca_gobio ENSCGOG00000008257
gasterosteus_aculeatus ENSGACG00000020654
larimichthys_crocea ENSLCRG00005009960
