xiphophorus_couchianus ENSXCOG00000012271
xiphophorus_maculatus ENSXMAG00000005519
gambusia_affinis ENSGAFG00000008620
poecilia_reticulata ENSPREG00000011043
poecilia_latipinna ENSPLAG00000004461
poecilia_mexicana ENSPMEG00000012280
poecilia_formosa ENSPFOG00000016577
fundulus_heteroclitus ENSFHEG00000019371
cyprinodon_variegatus ENSCVAG00000008402
kryptolebias_marmoratus ENSKMAG00000019539
amphilophus_citrinellus ENSACIG00000005881
tetraodon_nigroviridis ENSTNIG00000017706
takifugu_rubripes ENSTRUG00000005280
mola_mola ENSMMOG00000001029
gasterosteus_aculeatus ENSGACG00000016245
seriola_dumerili ENSSDUG00000001876
anabas_testudineus ENSATEG00000020078
seriola_lalandi_dorsalis ENSSLDG00000024594
monopterus_albus ENSMALG00000007391
maylandia_zebra ENSMZEG00005010328
haplochromis_burtoni ENSHBUG00000019367
astatotilapia_calliptera ENSACLG00000010877
pundamilia_nyererei ENSPNYG00000017775
neolamprologus_brichardi ENSNBRG00000002792
oryzias_latipes ENSORLG00020002930
oryzias_latipes ENSORLG00000011334
oryzias_latipes_asm223469v1 ENSORLG00015001246
oryzias_melastigma ENSOMEG00000011125
amphiprion_percula ENSAPEG00000003993
amphiprion_ocellaris ENSAOCG00000019518
acanthochromis_polyacanthus ENSAPOG00000023990
stegastes_partitus ENSSPAG00000002148
mastacembelus_armatus ENSMAMG00000020579
scophthalmus_maximus ENSSMAG00000005578
labrus_bergylta ENSLBEG00000004112
hippocampus_comes ENSHCOG00000018246
cynoglossus_semilaevis ENSCSEG00000012597
periophthalmus_magnuspinnatus ENSPMGG00000002051
gadus_morhua ENSGMOG00000010387
esox_lucius ENSELUG00000002057
pygocentrus_nattereri ENSPNAG00000016765
astyanax_mexicanus ENSAMXG00000029028
ictalurus_punctatus ENSIPUG00000015717
danio_rerio ENSDARG00000077530
paramormyrops_kingsleyae ENSPKIG00000007223
scleropages_formosus ENSSFOG00015019216
lepisosteus_oculatus ENSLOCG00000016634
chelonoidis_abingdonii ENSCABG00000018858
gopherus_agassizii ENSGAGG00000025836
chrysemys_picta_bellii ENSCPBG00000017000
pelodiscus_sinensis ENSPSIG00000005629
crocodylus_porosus ENSCPRG00005013777
taeniopygia_guttata ENSTGUG00000008406
taeniopygia_guttata ENSTGUG00000008409
taeniopygia_guttata ENSTGUG00000008437
sphenodon_punctatus ENSSPUG00000011744
apteryx_haastii ENSAHAG00000016567
apteryx_rowi ENSARWG00000000773
apteryx_owenii ENSAOWG00000004194
dromaius_novaehollandiae ENSDNVG00000006718
nothoprocta_perdicaria ENSNPEG00000001558
anser_brachyrhynchus ENSABRG00000019174
anas_platyrhynchos_platyrhynchos ENSAPLG00000005120
gallus_gallus ENSGALG00000010630
meleagris_gallopavo ENSMGAG00000011377
