monodelphis_domestica ENSMODG00000003899
sarcophilus_harrisii ENSSHAG00000008775
phascolarctos_cinereus ENSPCIG00000011825
notamacropus_eugenii ENSMEUG00000008995
mus_spretus MGP_SPRETEiJ_G0029713
mus_musculus ENSMUSG00000093661
mus_spicilegus ENSMSIG00000030822
mus_caroli MGP_CAROLIEiJ_G0028685
mus_pahari MGP_PahariEiJ_G0022436
rattus_norvegicus ENSRNOG00000010301
meriones_unguiculatus ENSMUGG00000015564
peromyscus_maniculatus ENSPEMG00000015380
microtus_ochrogaster ENSMOCG00000020297
cricetulus_griseus ENSCGRG00015017232
cricetulus_griseus ENSCGRG00000007847
cricetulus_griseus ENSCGRG00001016500
mesocricetus_auratus ENSMAUG00000019824
nannospalax_galili ENSNGAG00000000837
jaculus_jaculus ENSJJAG00000002638
dipodomys_ordii ENSDORG00000006531
heterocephalus_glaber ENSHGLG00000019560
heterocephalus_glaber ENSHGLG00100015788
fukomys_damarensis ENSFDAG00000006089
cavia_aperea ENSCAPG00000013651
cavia_porcellus ENSCPOG00000000391
octodon_degus ENSODEG00000006191
chinchilla_lanigera ENSCLAG00000003818
oryctolagus_cuniculus ENSOCUG00000000259
ochotona_princeps ENSOPRG00000014732
ictidomys_tridecemlineatus ENSSTOG00000020469
spermophilus_dauricus ENSSDAG00000013235
urocitellus_parryii ENSUPAG00010021594
marmota_marmota ENSMMMG00000006861
piliocolobus_tephrosceles ENSPTEG00000005214
myotis_lucifugus ENSMLUG00000004758
pteropus_vampyrus ENSPVAG00000005661
erinaceus_europaeus ENSEEUG00000008916
equus_caballus ENSECAG00000004471
sorex_araneus ENSSARG00000008020
castor_canadensis ENSCCNG00000007888
pan_paniscus ENSPPAG00000035020
procavia_capensis ENSPCAG00000002861
pan_troglodytes ENSPTRG00000015102
homo_sapiens ENSG00000163412
gorilla_gorilla ENSGGOG00000042096
pongo_abelii ENSPPYG00000013721
nomascus_leucogenys ENSNLEG00000002684
macaca_nemestrina ENSMNEG00000035212
theropithecus_gelada ENSTGEG00000024725
cercocebus_atys ENSCATG00000042150
papio_anubis ENSPANG00000024441
chlorocebus_sabaeus ENSCSAG00000011556
macaca_fascicularis ENSMFAG00000039909
macaca_mulatta ENSMMUG00000007780
mandrillus_leucophaeus ENSMLEG00000038551
colobus_angolensis ENSCANG00000036517
piliocolobus_tephrosceles ENSPTEG00000029549
rhinopithecus_roxellana ENSRROG00000014883
rhinopithecus_bieti ENSRBIG00000028060
macaca_nemestrina ENSMNEG00000043302
macaca_fascicularis ENSMFAG00000044935
cercocebus_atys ENSCATG00000031817
mandrillus_leucophaeus ENSMLEG00000035876
papio_anubis ENSPANG00000012765
chlorocebus_sabaeus ENSCSAG00000000894
rhinopithecus_roxellana ENSRROG00000037656
colobus_angolensis ENSCANG00000034117
cebus_capucinus ENSCCAG00000002248
callithrix_jacchus ENSCJAG00000044237
saimiri_boliviensis ENSSBOG00000020647
aotus_nancymaae ENSANAG00000031727
carlito_syrichta ENSTSYG00000011259
propithecus_coquereli ENSPCOG00000022529
microcebus_murinus ENSMICG00000001125
prolemur_simus ENSPSMG00000016679
otolemur_garnettii ENSOGAG00000014590
ovis_aries ENSOARG00000009622
capra_hircus ENSCHIG00000024333
bos_mutus ENSBMUG00000026727
bos_taurus ENSBTAG00000018862
bison_bison ENSBBBG00000023020
tursiops_truncatus ENSTTRG00000005076
sus_scrofa ENSSSCG00000011516
equus_asinus ENSEASG00005002204
ursus_americanus ENSUAMG00000027960
ursus_maritimus ENSUMAG00000024023
ailuropoda_melanoleuca ENSAMEG00000015115
mustela_putorius ENSMPUG00000017002
neovison_vison ENSNVIG00000002988
canis_lupus ENSCAFG00020016724
canis_lupus ENSCAFG00000006445
vulpes_vulpes ENSVVUG00000013947
panthera_pardus ENSPPRG00000004898
panthera_tigris ENSPTIG00000012645
felis_catus ENSFCAG00000025548
choloepus_hoffmanni ENSCHOG00000009047
dasypus_novemcinctus ENSDNOG00000039475
loxodonta_africana ENSLAFG00000001998
ornithorhynchus_anatinus ENSOANG00000013094
chelonoidis_abingdonii ENSCABG00000008293
gopherus_agassizii ENSGAGG00000022510
chrysemys_picta ENSCPBG00000006415
pelodiscus_sinensis ENSPSIG00000016957
taeniopygia_guttata ENSTGUG00000009923
lonchura_striata ENSLSDG00000002292
zonotrichia_albicollis ENSZALG00000012093
junco_hyemalis ENSJHYG00000015924
serinus_canaria ENSSCAG00000008083
cyanistes_caeruleus ENSCCEG00000020636
parus_major ENSPMJG00000005596
ficedula_albicollis ENSFALG00000013420
lepidothrix_coronata ENSLCOG00000001296
manacus_vitellinus ENSMVIG00005017348
calidris_pygmaea ENSCPGG00000007882
calidris_pugnax ENSCPUG00000019352
anser_brachyrhynchus ENSABRG00000016790
anas_platyrhynchos ENSAPLG00000023114
gallus_gallus ENSGALG00000007780
coturnix_japonica ENSCJPG00005018652
meleagris_gallopavo ENSMGAG00000009619
numida_meleagris ENSNMEG00000020878
apteryx_haastii ENSAHAG00000015526
apteryx_owenii ENSAOWG00000011141
apteryx_rowi ENSARWG00000018731
dromaius_novaehollandiae ENSDNVG00000013776
nothoprocta_perdicaria ENSNPEG00000002455
crocodylus_porosus ENSCPRG00005015751
pogona_vitticeps ENSPVIG00000015236
anolis_carolinensis ENSACAG00000013899
notechis_scutatus ENSNSUG00000007010
salvator_merianae ENSSMRG00000002895
sphenodon_punctatus ENSSPUG00000011580
xenopus_tropicalis ENSXETG00000015908
latimeria_chalumnae ENSLACG00000005925
poecilia_formosa ENSPFOG00000001273
poecilia_latipinna ENSPLAG00000005792
poecilia_mexicana ENSPMEG00000013473
poecilia_reticulata ENSPREG00000000653
xiphophorus_maculatus ENSXMAG00000002188
xiphophorus_couchianus ENSXCOG00000010474
gambusia_affinis ENSGAFG00000009003
cyprinodon_variegatus ENSCVAG00000020000
