jaculus_jaculus ENSJJAG00000012054
nannospalax_galili ENSNGAG00000010377
castor_canadensis ENSCCNG00000023013
pan_troglodytes ENSPTRG00000044589
pan_troglodytes ENSPTRG00000046642
pan_paniscus ENSPPAG00000038346
nomascus_leucogenys ENSNLEG00000035924
rhinopithecus_roxellana ENSRROG00000038285
piliocolobus_tephrosceles ENSPTEG00000012775
papio_anubis ENSPANG00000035785
mandrillus_leucophaeus ENSMLEG00000006884
macaca_nemestrina ENSMNEG00000040522
macaca_mulatta ENSMMUG00000045174
macaca_fascicularis ENSMFAG00000042687
cercocebus_atys ENSCATG00000031553
vulpes_vulpes ENSVVUG00000015411
