piliocolobus_tephrosceles ENSPTEG00000021934
otolemur_garnettii ENSOGAG00000027229
marmota_marmota_marmota ENSMMMG00000019240
spermophilus_dauricus ENSSDAG00000015969
peromyscus_maniculatus_bairdii ENSPEMG00000025315
castor_canadensis ENSCCNG00000008088
ursus_maritimus ENSUMAG00000010998
ursus_americanus ENSUAMG00000024498
neovison_vison ENSNVIG00000019428
echinops_telfairi ENSETEG00000011185
ornithorhynchus_anatinus ENSOANG00000029544
chrysemys_picta_bellii ENSCPBG00000013056
chelonoidis_abingdonii ENSCABG00000015779
calidris_pygmaea ENSCPGG00000015283
calidris_pugnax ENSCPUG00000015047
lepidothrix_coronata ENSLCOG00000011984
melopsittacus_undulatus ENSMUNG00000000982
anser_brachyrhynchus ENSABRG00000009988
nothoprocta_perdicaria ENSNPEG00000002980
notechis_scutatus ENSNSUG00000017332
