urocitellus_parryii ENSUPAG00010019529
spermophilus_dauricus ENSSDAG00000012581
marmota_marmota_marmota ENSMMMG00000000823
castor_canadensis ENSCCNG00000028102
castor_canadensis ENSCCNG00000028099
pan_troglodytes ENSPTRG00000008041
pan_paniscus ENSPPAG00000018387
homo_sapiens ENSG00000169900
pongo_abelii ENSPPYG00000007314
piliocolobus_tephrosceles ENSPTEG00000027921
colobus_angolensis_palliatus ENSCANG00000037668
rhinopithecus_roxellana ENSRROG00000034954
rhinopithecus_bieti ENSRBIG00000042074
macaca_fascicularis ENSMFAG00000030032
macaca_nemestrina ENSMNEG00000034009
macaca_mulatta ENSMMUG00000016275
papio_anubis ENSPANG00000000789
theropithecus_gelada ENSTGEG00000010017
mandrillus_leucophaeus ENSMLEG00000028675
cercocebus_atys ENSCATG00000035299
callithrix_jacchus ENSCJAG00000023216
tupaia_belangeri ENSTBEG00000001451
pteropus_vampyrus ENSPVAG00000003105
dasypus_novemcinctus ENSDNOG00000046779
canis_lupus_familiaris ENSCAFG00000016865
phascolarctos_cinereus ENSPCIG00000014885
sarcophilus_harrisii ENSSHAG00000002677
