ictidomys_tridecemlineatus ENSSTOG00000027032
rattus_norvegicus ENSRNOG00000042160
cavia_porcellus ENSCPOG00000033239
mus_musculus ENSMUSG00000068732
mus_spicilegus ENSMSIG00000019676
mus_pahari MGP_PahariEiJ_G0026980
rattus_norvegicus ENSRNOG00000000376
meriones_unguiculatus ENSMUGG00000024089
peromyscus_maniculatus_bairdii ENSPEMG00000026520
dipodomys_ordii ENSDORG00000025613
octodon_degus ENSODEG00000005336
nannospalax_galili ENSNGAG00000010620
jaculus_jaculus ENSJJAG00000011856
carlito_syrichta ENSTSYG00000033463
bos_taurus ENSBTAG00000038979
bos_mutus ENSBMUG00000003960
bison_bison_bison ENSBBBG00000009340
equus_caballus ENSECAG00000004218
neovison_vison ENSNVIG00000023896
canis_lupus_dingo ENSCAFG00020010839
panthera_pardus ENSPPRG00000011584
felis_catus ENSFCAG00000032666
marmota_marmota_marmota ENSMMMG00000020323
urocitellus_parryii ENSUPAG00010015374
monodelphis_domestica ENSMODG00000028749
heterocephalus_glaber_male ENSHGLG00100012167
heterocephalus_glaber_female ENSHGLG00000005054
chinchilla_lanigera ENSCLAG00000005530
saimiri_boliviensis_boliviensis ENSSBOG00000032451
cebus_capucinus ENSCCAG00000023495
aotus_nancymaae ENSANAG00000019374
papio_anubis ENSPANG00000003628
cercocebus_atys ENSCATG00000031937
rhinopithecus_roxellana ENSRROG00000044365
pan_troglodytes ENSPTRG00000001040
prolemur_simus ENSPSMG00000006974
ursus_maritimus ENSUMAG00000012789
sus_scrofa ENSSSCG00000037816
ursus_americanus ENSUAMG00000023600
tursiops_truncatus ENSTTRG00000009534
pan_paniscus ENSPPAG00000037984
nomascus_leucogenys ENSNLEG00000013182
colobus_angolensis_palliatus ENSCANG00000041335
macaca_fascicularis ENSMFAG00000032270
microcebus_murinus ENSMICG00000045506
castor_canadensis ENSCCNG00000017683
fukomys_damarensis ENSFDAG00000005807
ochotona_princeps ENSOPRG00000018456
homo_sapiens ENSG00000215717
gorilla_gorilla ENSGGOG00000040338
macaca_nemestrina ENSMNEG00000038889
callithrix_jacchus ENSCJAG00000047517
propithecus_coquereli ENSPCOG00000018193
ailuropoda_melanoleuca ENSAMEG00000004555
ovis_aries ENSOARG00000019060
capra_hircus ENSCHIG00000021741
vicugna_pacos ENSVPAG00000005564
equus_asinus_asinus ENSEASG00005001121
myotis_lucifugus ENSMLUG00000024542
canis_lupus_familiaris ENSCAFG00000030181
panthera_tigris_altaica ENSPTIG00000018705
chlorocebus_sabaeus ENSCSAG00000001539
otolemur_garnettii ENSOGAG00000031817
choloepus_hoffmanni ENSCHOG00000013229
notamacropus_eugenii ENSMEUG00000012721
phascolarctos_cinereus ENSPCIG00000036177
ornithorhynchus_anatinus ENSOANG00000015012
anolis_carolinensis ENSACAG00000010122
pogona_vitticeps ENSPVIG00000012144
notechis_scutatus ENSNSUG00000014600
notechis_scutatus ENSNSUG00000001086
salvator_merianae ENSSMRG00000018499
sphenodon_punctatus ENSSPUG00000011139
chelonoidis_abingdonii ENSCABG00000013706
gopherus_agassizii ENSGAGG00000012903
chrysemys_picta_bellii ENSCPBG00000010595
apteryx_haastii ENSAHAG00000017298
apteryx_owenii ENSAOWG00000011227
apteryx_rowi ENSARWG00000007572
xenopus_tropicalis ENSXETG00000008004
latimeria_chalumnae ENSLACG00000022093
paramormyrops_kingsleyae ENSPKIG00000016477
scleropages_formosus ENSSFOG00015023509
tetraodon_nigroviridis ENSTNIG00000004877
tetraodon_nigroviridis ENSTNIG00000006212
takifugu_rubripes ENSTRUG00000020157
cynoglossus_semilaevis ENSCSEG00000005133
amphiprion_ocellaris ENSAOCG00000019120
amphiprion_percula ENSAPEG00000005767
acanthochromis_polyacanthus ENSAPOG00000016500
stegastes_partitus ENSSPAG00000012168
kryptolebias_marmoratus ENSKMAG00000005380
poecilia_latipinna ENSPLAG00000005537
poecilia_mexicana ENSPMEG00000018347
poecilia_reticulata ENSPREG00000002491
xiphophorus_maculatus ENSXMAG00000018989
xiphophorus_couchianus ENSXCOG00000018391
gambusia_affinis ENSGAFG00000007440
cyprinodon_variegatus ENSCVAG00000008217
fundulus_heteroclitus ENSFHEG00000006123
astatotilapia_calliptera ENSACLG00000007760
pundamilia_nyererei ENSPNYG00000008153
haplochromis_burtoni ENSHBUG00000001289
maylandia_zebra ENSMZEG00005026999
oreochromis_niloticus ENSONIG00000019353
neolamprologus_brichardi ENSNBRG00000013654
amphilophus_citrinellus ENSACIG00000013991
anabas_testudineus ENSATEG00000024189
labrus_bergylta ENSLBEG00000010814
mola_mola ENSMMOG00000002920
seriola_dumerili ENSSDUG00000000542
seriola_lalandi_dorsalis ENSSLDG00000009414
mastacembelus_armatus ENSMAMG00000009193
monopterus_albus ENSMALG00000020810
scophthalmus_maximus ENSSMAG00000007059
hippocampus_comes ENSHCOG00000009858
oryzias_latipes ENSORLG00000025009
oryzias_latipes_asm223469v1 ENSORLG00015008915
oryzias_latipes ENSORLG00020013915
oryzias_melastigma ENSOMEG00000022995
periophthalmus_magnuspinnatus ENSPMGG00000010041
esox_lucius ENSELUG00000019528
gadus_morhua ENSGMOG00000004474
pygocentrus_nattereri ENSPNAG00000006946
astyanax_mexicanus ENSAMXG00000042007
ictalurus_punctatus ENSIPUG00000023949
danio_rerio ENSDARG00000059400
scleropages_formosus ENSSFOG00015007434
esox_lucius ENSELUG00000011516
lepisosteus_oculatus ENSLOCG00000010229
theropithecus_gelada ENSTGEG00000016321
macaca_nemestrina ENSMNEG00000029953
cyanistes_caeruleus ENSCCEG00000021176
parus_major ENSPMJG00000004559
lonchura_striata_domestica ENSLSDG00000010898
ficedula_albicollis ENSFALG00000002382
zonotrichia_albicollis ENSZALG00000014904
lepidothrix_coronata ENSLCOG00000014896
numida_meleagris ENSNMEG00000009030
gallus_gallus ENSGALG00000042589
petromyzon_marinus ENSPMAG00000007484
eptatretus_burgeri ENSEBUG00000009501
