poecilia_latipinna ENSPLAG00000013186
poecilia_reticulata ENSPREG00000021162
gambusia_affinis ENSGAFG00000019928
kryptolebias_marmoratus ENSKMAG00000002573
cynoglossus_semilaevis ENSCSEG00000014917
scophthalmus_maximus ENSSMAG00000019237
seriola_lalandi_dorsalis ENSSLDG00000005038
mola_mola ENSMMOG00000014935
labrus_bergylta ENSLBEG00000020004
haplochromis_burtoni ENSHBUG00000000178
astatotilapia_calliptera ENSACLG00000017936
neolamprologus_brichardi ENSNBRG00000001922
hippocampus_comes ENSHCOG00000008378
esox_lucius ENSELUG00000005606
astyanax_mexicanus ENSAMXG00000032748
pygocentrus_nattereri ENSPNAG00000020904
ictalurus_punctatus ENSIPUG00000019212
scleropages_formosus ENSSFOG00015021048
paramormyrops_kingsleyae ENSPKIG00000007138
