stegastes_partitus ENSSPAG00000002774
amphiprion_ocellaris ENSAOCG00000011868
amphilophus_citrinellus ENSACIG00000015528
cyprinodon_variegatus ENSCVAG00000001509
xiphophorus_maculatus ENSXMAG00000022121
xiphophorus_couchianus ENSXCOG00000014984
poecilia_reticulata ENSPREG00000012864
poecilia_reticulata ENSPREG00000012877
xiphophorus_maculatus ENSXMAG00000022323
fundulus_heteroclitus ENSFHEG00000007821
poecilia_mexicana ENSPMEG00000007909
cyprinodon_variegatus ENSCVAG00000017429
kryptolebias_marmoratus ENSKMAG00000014783
maylandia_zebra ENSMZEG00005017736
astatotilapia_calliptera ENSACLG00000024876
maylandia_zebra ENSMZEG00005004650
amphilophus_citrinellus ENSACIG00000001185
astatotilapia_calliptera ENSACLG00000004295
amphilophus_citrinellus ENSACIG00000011924
labrus_bergylta ENSLBEG00000017254
labrus_bergylta ENSLBEG00000003918
