sphenodon_punctatus ENSSPUG00000000679
coturnix_japonica ENSCJPG00005000160
loxodonta_africana ENSLAFG00000008151
echinops_telfairi ENSETEG00000005006
bison_bison_bison ENSBBBG00000022359
bos_taurus ENSBTAG00000050222
sorex_araneus ENSSARG00000000857
oryctolagus_cuniculus ENSOCUG00000004111
ochotona_princeps ENSOPRG00000007331
dipodomys_ordii ENSDORG00000010734
pan_paniscus ENSPPAG00000038932
pan_troglodytes ENSPTRG00000012275
gorilla_gorilla ENSGGOG00000041571
homo_sapiens ENSG00000241962
homo_sapiens ENSG00000185414
pongo_abelii ENSPPYG00000019961
nomascus_leucogenys ENSNLEG00000027490
nomascus_leucogenys ENSNLEG00000032435
colobus_angolensis_palliatus ENSCANG00000043682
piliocolobus_tephrosceles ENSPTEG00000022718
rhinopithecus_roxellana ENSRROG00000044692
rhinopithecus_bieti ENSRBIG00000041744
macaca_mulatta ENSMMUG00000038088
macaca_nemestrina ENSMNEG00000034146
macaca_fascicularis ENSMFAG00000001729
chlorocebus_sabaeus ENSCSAG00000017218
theropithecus_gelada ENSTGEG00000007699
papio_anubis ENSPANG00000033489
mandrillus_leucophaeus ENSMLEG00000027758
cercocebus_atys ENSCATG00000041078
saimiri_boliviensis_boliviensis ENSSBOG00000036412
saimiri_boliviensis_boliviensis ENSSBOG00000022137
callithrix_jacchus ENSCJAG00000007085
cebus_capucinus ENSCCAG00000034467
cebus_capucinus ENSCCAG00000017186
aotus_nancymaae ENSANAG00000028266
carlito_syrichta ENSTSYG00000026939
carlito_syrichta ENSTSYG00000037066
propithecus_coquereli ENSPCOG00000013471
propithecus_coquereli ENSPCOG00000000860
microcebus_murinus ENSMICG00000011627
microcebus_murinus ENSMICG00000038117
microcebus_murinus ENSMICG00000031953
prolemur_simus ENSPSMG00000019374
otolemur_garnettii ENSOGAG00000002241
otolemur_garnettii ENSOGAG00000025954
otolemur_garnettii ENSOGAG00000030016
spermophilus_dauricus ENSSDAG00000013031
spermophilus_dauricus ENSSDAG00000024115
marmota_marmota_marmota ENSMMMG00000019824
urocitellus_parryii ENSUPAG00010004939
castor_canadensis ENSCCNG00000018743
mesocricetus_auratus ENSMAUG00000021333
mesocricetus_auratus ENSMAUG00000017646
mesocricetus_auratus ENSMAUG00000014813
cricetulus_griseus_crigri ENSCGRG00000001910
cricetulus_griseus_crigri-picr ENSCGRG00015012217
cricetulus_griseus_chok1gshd ENSCGRG00001006119
cricetulus_griseus_crigri-picr ENSCGRG00015001609
microtus_ochrogaster ENSMOCG00000005615
peromyscus_maniculatus_bairdii ENSPEMG00000018330
peromyscus_maniculatus_bairdii ENSPEMG00000007715
mus_spicilegus ENSMSIG00000003911
mus_spicilegus ENSMSIG00000018029
mus_spicilegus ENSMSIG00000006547
mus_spicilegus ENSMSIG00000010990
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014861
mus_musculus ENSMUSG00000026087
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014057
mus_pahari MGP_PahariEiJ_G0027303
rattus_norvegicus ENSRNOG00000049330
meriones_unguiculatus ENSMUGG00000013814
nannospalax_galili ENSNGAG00000020323
jaculus_jaculus ENSJJAG00000006196
chinchilla_lanigera ENSCLAG00000005684
cavia_porcellus ENSCPOG00000010716
octodon_degus ENSODEG00000019187
octodon_degus ENSODEG00000009949
octodon_degus ENSODEG00000018681
octodon_degus ENSODEG00000006001
heterocephalus_glaber_female ENSHGLG00000006467
heterocephalus_glaber_male ENSHGLG00100016969
fukomys_damarensis ENSFDAG00000009803
tupaia_belangeri ENSTBEG00000007713
equus_caballus ENSECAG00000015993
equus_asinus_asinus ENSEASG00005021843
pteropus_vampyrus ENSPVAG00000006587
ursus_americanus ENSUAMG00000015567
ursus_maritimus ENSUMAG00000008932
ailuropoda_melanoleuca ENSAMEG00000013344
mustela_putorius_furo ENSMPUG00000011085
neovison_vison ENSNVIG00000023278
canis_lupus_dingo ENSCAFG00020024965
canis_lupus_familiaris ENSCAFG00000031628
panthera_tigris_altaica ENSPTIG00000004998
panthera_pardus ENSPPRG00000008888
felis_catus ENSFCAG00000024233
capra_hircus ENSCHIG00000024135
ovis_aries ENSOARG00000013442
bos_mutus ENSBMUG00000001532
bos_taurus ENSBTAG00000038949
bison_bison_bison ENSBBBG00000023204
tursiops_truncatus ENSTTRG00000004937
sus_scrofa ENSSSCG00000008183
myotis_lucifugus ENSMLUG00000029851
dasypus_novemcinctus ENSDNOG00000018648
dasypus_novemcinctus ENSDNOG00000044391
dasypus_novemcinctus ENSDNOG00000042586
dasypus_novemcinctus ENSDNOG00000032825
choloepus_hoffmanni ENSCHOG00000005804
phascolarctos_cinereus ENSPCIG00000036345
